dataset,model,seed,embedding,k,disagreement,task_effect,best_basis_task_effect,worst_basis_task_effect
california_housing,controlled_mlp,0,PLE,4,0.11939647257183614,554.1655381980036,-281.1677036581823,1173.9250532176738
california_housing,controlled_mlp,0,PLE,8,0.11854954786854172,1281.170464894045,688.9618932746962,1867.2109354818967
california_housing,controlled_mlp,0,PLE,16,0.13257122011144348,335.37751769450824,-1000.1329336463896,1511.4771026026428
california_housing,controlled_mlp,0,PLE,32,0.13497347897189627,362.1410716790024,-700.1172188268392,2503.709604687763
california_housing,controlled_mlp,0,RBF,4,0.07654301571098254,469.00955794799756,117.6093732887748,1005.9540795098073
california_housing,controlled_mlp,0,RBF,8,0.1250258039185044,225.79404418327886,-1075.7841179088864,1187.048065944473
california_housing,controlled_mlp,0,RBF,16,0.1731852579381131,557.0064592569488,-137.46980985370465,1483.7587221156136
california_housing,controlled_mlp,0,RBF,32,0.20905840241287627,-484.5366978778329,-1465.0016859884927,-7.483877189020859
phoneme,controlled_mlp,0,PLE,4,0.04171480517139295,-0.005122897151688219,-0.01033170967286784,-0.002062372176229177
phoneme,controlled_mlp,0,PLE,8,0.04893946448155143,-0.009196087266424263,-0.020336075061505587,-0.001527320832693524
phoneme,controlled_mlp,0,PLE,16,0.06382288954345271,-0.008614088323293315,-0.013090486954928204,-0.0044835804202223994
phoneme,controlled_mlp,0,PLE,32,0.06634981264083084,-0.0018251335490190729,-0.010995496678821826,0.015489884743033255
phoneme,controlled_mlp,0,RBF,4,0.04059761778783327,0.0013897927399913398,-0.003823136917815828,0.005208550132988987
phoneme,controlled_mlp,0,RBF,8,0.04680813581645952,-0.007890423057444397,-0.016720270497361023,0.0024352832195986274
phoneme,controlled_mlp,0,RBF,16,0.07417639763249961,-0.004857951903137647,-0.018195177709942723,0.0045588139106215175
phoneme,controlled_mlp,0,RBF,32,0.14010329624768658,0.05360375241833701,0.030333365826647585,0.0633721829770083
steel-plates-fault,controlled_mlp,0,PLE,4,0.012489085212020627,-0.0005491922638621571,-0.0012733282974582802,0.003405172709408419
steel-plates-fault,controlled_mlp,0,PLE,8,0.039342441985319075,0.005249875973344108,-0.004558961637823862,0.020820345664390033
steel-plates-fault,controlled_mlp,0,PLE,16,0.06107002729085465,0.01810514970532522,-0.008994762585552676,0.0411358557888933
steel-plates-fault,controlled_mlp,0,PLE,32,0.1230746979021752,-0.05043963119558502,-0.10439207758332952,-0.02516908611075583
steel-plates-fault,controlled_mlp,0,RBF,4,0.0003002557231578337,2.009366341029473e-05,-6.144084714771489e-06,0.00012251985299060507
steel-plates-fault,controlled_mlp,0,RBF,8,0.01312923658077259,0.0014573744871632503,-0.00012222277603194499,0.0068953305859058706
steel-plates-fault,controlled_mlp,0,RBF,16,0.11088807474325144,0.003307717638351325,-0.04013629746939559,0.05069108698853135
steel-plates-fault,controlled_mlp,0,RBF,32,0.1695979377212844,-0.14701491300851982,-0.18932132951427025,-0.029164811251372713
