dataset,problem_type,model,seed,method,alpha,disagreement_reduction,raw_loss,method_loss,trivial_loss,absolute_task_difference,relative_task_difference,safety_denominator,normalized_excess_risk,denominator_sensitive
steel-plates-fault,classification,controlled_mlp,0,DescriptorGate-Ridge-LODO,1.0,1.0,2.29065532434954e-05,0.38078229181429485,0.6455976337440515,0.38075938526105135,16622.290626337366,0.6455747271908081,0.5897990878885705,False
steel-plates-fault,classification,controlled_mlp,1,DescriptorGate-Ridge-LODO,1.0,1.0,0.0014089876937921665,0.4378203227961304,0.6455976337440515,0.43641133510233826,309.73395795088567,0.6441886460502594,0.6774589055211159,False
steel-plates-fault,classification,tabm_d,0,DescriptorGate-Ridge-LODO,1.0,1.0,0.0010468265312041421,0.09578343456165281,0.6455976337440515,0.09473660803044867,90.49886032356783,0.6445508072128474,0.14698082287741854,False
steel-plates-fault,classification,tabm_d,1,DescriptorGate-Ridge-LODO,1.0,1.0,0.0008120460940462759,0.12195730876288814,0.6455976337440515,0.12114526266884186,149.1852045801949,0.6447855876500053,0.1878845696758974,False
steel-plates-fault,classification,tabicl_v2,0,DescriptorGate-Ridge-LODO,1.0,1.0,0.0002682024523877627,0.0005801749063004824,0.6455976337440515,0.0003119724539127197,1.1631976185723873,0.6453294312916638,0.0004834313124202145,False
steel-plates-fault,classification,tabicl_v2,1,DescriptorGate-Ridge-LODO,1.0,1.0,0.0002682024523877627,0.0005801749063004824,0.6455976337440515,0.0003119724539127197,1.1631976185723873,0.6453294312916638,0.0004834313124202145,False
steel-plates-fault,classification,tabpfn_2_6,0,DescriptorGate-Ridge-LODO,1.0,1.0,0.00033518079090639455,9.956454239640943e-05,0.6455976337440515,-0.00023561624850998512,-0.7029527195542221,0.6452624529531451,-0.0003651479292366235,False
steel-plates-fault,classification,tabpfn_2_6,1,DescriptorGate-Ridge-LODO,1.0,1.0,0.0002208612301815658,9.093622277213246e-05,0.6455976337440515,-0.00012992500740943334,-0.5882653433679803,0.6453767725138699,-0.0002013165222903046,False
steel-plates-fault,classification,catboost,0,DescriptorGate-Ridge-LODO,1.0,1.0,0.0016948993459645408,0.0018995719610287113,0.6455976337440515,0.00020467261506417053,0.12075797630784649,0.643902734398087,0.0003178626275838014,False
steel-plates-fault,classification,catboost,1,DescriptorGate-Ridge-LODO,1.0,1.0,0.0016468880507718915,0.0020033760117295803,0.6455976337440515,0.0003564879609576888,0.21646156263663702,0.6439507456932797,0.0005535950743777656,False
wilt,classification,controlled_mlp,0,DescriptorGate-Ridge-LODO,0.75,0.75,0.05917130684909719,0.03589057049346235,0.21210188110406236,-0.023280736355634837,-0.3934463779041927,0.15293057425496517,-0.15223075221584728,False
wilt,classification,controlled_mlp,1,DescriptorGate-Ridge-LODO,0.75,0.75,0.042734372653013955,0.03912479363778643,0.21210188110406236,-0.0036095790152275223,-0.08446547336814472,0.16936750845104842,-0.021312110263880888,False
wilt,classification,tabm_d,0,DescriptorGate-Ridge-LODO,0.75,0.75,0.03271191822618737,0.03649571935628543,0.21210188110406236,0.0037838011300980606,0.11567041418772431,0.179389962877875,0.021092602224763234,False
wilt,classification,tabm_d,1,DescriptorGate-Ridge-LODO,0.75,0.75,0.030209654293299193,0.037901498332493344,0.21210188110406236,0.007691844039194151,0.25461542739005394,0.18189222681076317,0.04228792056736203,False
wilt,classification,tabicl_v2,0,DescriptorGate-Ridge-LODO,0.75,0.75,0.03106406641472565,0.0329127149166488,0.21210188110406236,0.0018486485019231502,0.059510834069258056,0.18103781468933672,0.010211394260892154,False
wilt,classification,tabicl_v2,1,DescriptorGate-Ridge-LODO,0.75,0.75,0.03106406641472565,0.0329127149166488,0.21210188110406236,0.0018486485019231502,0.059510834069258056,0.18103781468933672,0.010211394260892154,False
wilt,classification,tabpfn_2_6,0,DescriptorGate-Ridge-LODO,1.0,1.0,0.04593865508553265,0.04450821364524794,0.21210188110406236,-0.001430441440284709,-0.03113807832687715,0.1661632260185297,-0.008608652314713685,False
wilt,classification,tabpfn_2_6,1,DescriptorGate-Ridge-LODO,0.75,0.75,0.04423547419529241,0.03936569695191762,0.21210188110406236,-0.004869777243374791,-0.11008760122872241,0.16786640690876994,-0.029009837841000318,False
wilt,classification,catboost,0,DescriptorGate-Ridge-LODO,1.0,1.0,0.052910184158386026,0.05973277869625,0.21210188110406236,0.006822594537863977,0.1289467169012419,0.15919169694567634,0.04285772856728932,False
wilt,classification,catboost,1,DescriptorGate-Ridge-LODO,1.0,1.0,0.05309513131900166,0.06038475044965358,0.21210188110406236,0.007289619130651917,0.13729355120820863,0.15900674978506069,0.04584471502314052,False
eeg-eye-state,classification,controlled_mlp,0,DescriptorGate-Ridge-LODO,0.25,0.25,0.5646256516185995,0.5316801402988871,0.6879808065690332,-0.03294551131971235,-0.05834929962049759,0.1233551549504337,-0.2670785127135582,False
eeg-eye-state,classification,controlled_mlp,1,DescriptorGate-Ridge-LODO,0.25,0.25,0.5639214733386401,0.5356523494313732,0.6879808065690332,-0.02826912390726688,-0.05012953973875545,0.12405933323039309,-0.22786777238894007,False
eeg-eye-state,classification,tabm_d,0,DescriptorGate-Ridge-LODO,0.25,0.25,0.4328188895984789,0.42469645519097177,0.6879808065690332,-0.00812243440750715,-0.01876635840695918,0.25516191697055424,-0.03183247133405289,False
eeg-eye-state,classification,tabm_d,1,DescriptorGate-Ridge-LODO,0.5,0.5,0.43030215224230084,0.43047998087240935,0.6879808065690332,0.0001778286301085119,0.00041326456115045774,0.2576786543267323,0.0006901178158243101,False
eeg-eye-state,classification,tabicl_v2,0,DescriptorGate-Ridge-LODO,0.25,0.25,0.31837608883603585,0.3034188368115997,0.6879808065690332,-0.014957252024436152,-0.04697982213148914,0.3696047177329973,-0.04046823892340379,False
eeg-eye-state,classification,tabicl_v2,1,DescriptorGate-Ridge-LODO,0.25,0.25,0.31837608883603585,0.3034188368115997,0.6879808065690332,-0.014957252024436152,-0.04697982213148914,0.3696047177329973,-0.04046823892340379,False
eeg-eye-state,classification,tabpfn_2_6,0,DescriptorGate-Ridge-LODO,0.5,0.5,0.29428845506348245,0.2969757123336357,0.6879808065690332,0.0026872572701532316,0.009131371699829508,0.3936923515055507,0.0068257797233720035,False
eeg-eye-state,classification,tabpfn_2_6,1,DescriptorGate-Ridge-LODO,0.25,0.25,0.28257363324454,0.2870336624581191,0.6879808065690332,0.004460029213579131,0.015783600056270677,0.40540717332449316,0.011001357418037755,False
eeg-eye-state,classification,catboost,0,DescriptorGate-Ridge-LODO,0.5,0.5,0.41209445070931083,0.41150767161645896,0.6879808065690332,-0.0005867790928518746,-0.001423894672306047,0.2758863558597223,-0.0021268869604781373,False
eeg-eye-state,classification,catboost,1,DescriptorGate-Ridge-LODO,0.5,0.5,0.4102375348764055,0.4079814752356805,0.6879808065690332,-0.0022560596407250055,-0.0054993983946512864,0.27774327169262764,-0.008122823739261403,False
satimage,classification,controlled_mlp,0,DescriptorGate-Ridge-LODO,0.75,0.75,0.300711017871682,0.2629242187490193,1.7213411230528803,-0.037786799122662695,-0.12565817970390067,1.4206301051811985,-0.026598619151354017,False
satimage,classification,controlled_mlp,1,DescriptorGate-Ridge-LODO,0.75,0.75,0.31510587290868786,0.2663188423927912,1.7213411230528803,-0.04878703051589667,-0.15482742376570777,1.4062352501441926,-0.03469336336924717,False
satimage,classification,tabm_d,0,DescriptorGate-Ridge-LODO,0.75,0.75,0.25662036942079414,0.25318293857497565,1.7213411230528803,-0.00343743084581849,-0.01339500388678013,1.4647207536320863,-0.002346816509081782,False
satimage,classification,tabm_d,1,DescriptorGate-Ridge-LODO,0.75,0.75,0.26211061824671533,0.2536545297973095,1.7213411230528803,-0.008456088449405819,-0.03226152570990621,1.4592305048061651,-0.005794895612142559,False
satimage,classification,tabicl_v2,0,DescriptorGate-Ridge-LODO,0.75,0.75,0.2123528461484074,0.21028124940677573,1.7213411230528803,-0.0020715967416316816,-0.009755446085162904,1.508988276904473,-0.001372838194529476,False
satimage,classification,tabicl_v2,1,DescriptorGate-Ridge-LODO,0.75,0.75,0.2123528461484074,0.21028124940677573,1.7213411230528803,-0.0020715967416316816,-0.009755446085162904,1.508988276904473,-0.001372838194529476,False
satimage,classification,tabpfn_2_6,0,DescriptorGate-Ridge-LODO,0.75,0.75,0.25480872229352164,0.2488592671212646,1.7213411230528803,-0.005949455172257034,-0.023348710823971254,1.4665324007593588,-0.004056818089512686,False
satimage,classification,tabpfn_2_6,1,DescriptorGate-Ridge-LODO,0.75,0.75,0.246030866383807,0.23899406632973996,1.7213411230528803,-0.007036800054067038,-0.02860128957595777,1.4753102566690734,-0.004769708623835225,False
satimage,classification,catboost,0,DescriptorGate-Ridge-LODO,0.75,0.75,0.3326859876452415,0.33669051368332437,1.7213411230528803,0.0040045260380828784,0.012036954325690118,1.3886551354076389,0.0028837440887779183,False
satimage,classification,catboost,1,DescriptorGate-Ridge-LODO,0.75,0.75,0.32777845596649896,0.3374510327322701,1.7213411230528803,0.009672576765771157,0.029509495177925164,1.3935626670863814,0.006940898313524922,False
space-ga,regression,controlled_mlp,0,DescriptorGate-Ridge-LODO,0.5,0.5,0.11679322209821488,0.10163937682703154,0.18712234365541708,-0.015153845271183339,-0.12974935530454001,0.0703291215572022,-0.21547041873483316,False
