dataset,problem_type,model,seed,config_id,relative_threshold,anchor_rule,normalization,standardize,screen,split,maximum_coordinate_error,median_coordinate_dimension,total_coordinate_dimension,median_reconstruction_error,maximum_reconstruction_error,median_empirical_rank,fit_seconds,raw_loss,method_loss,trivial_loss,absolute_task_difference,relative_task_difference,safety_denominator,normalized_excess_risk,denominator_sensitive
steel-plates-fault,classification,controlled_mlp,0,eps1e-06__rank__N1_anchor_norm__std1,1e-06,rank,N1_anchor_norm,True,rank_anchor,validation,1.6934310974064606e-15,8.0,206,4.594068724757475e-14,3.38443688981597e-12,8.0,0.24414438707754016,2.678164835674249e-05,0.38478389724243656,0.6459857848778665,0.3847571155940798,14366.446399002703,0.6459590032295097,0.5956370507578099,False
steel-plates-fault,classification,controlled_mlp,0,eps1e-06__rank__N1_anchor_norm__std1,1e-06,rank,N1_anchor_norm,True,rank_anchor,test,1.6934310974064606e-15,8.0,206,4.594068724757475e-14,3.38443688981597e-12,8.0,0.24414438707754016,2.29065532434954e-05,0.3666628396591829,0.6455976337440515,0.3666399331059394,16005.897055247775,0.6455747271908081,0.5679279526653065,False
steel-plates-fault,classification,controlled_mlp,0,eps1e-06__rank_plus_one__N1_anchor_norm__std1,1e-06,rank_plus_one,N1_anchor_norm,True,rank_anchor,validation,1.598346240689049e-15,9.0,230,3.3885723921034854e-14,2.728469344682046e-12,8.0,0.16662253206595778,2.678164835674249e-05,0.37459667231768723,0.6459857848778665,0.3745698906693305,13986.065595362415,0.6459590032295097,0.579866351884015,False
steel-plates-fault,classification,controlled_mlp,0,eps1e-06__rank_plus_one__N1_anchor_norm__std1,1e-06,rank_plus_one,N1_anchor_norm,True,rank_anchor,test,1.598346240689049e-15,9.0,230,3.3885723921034854e-14,2.728469344682046e-12,8.0,0.16662253206595778,2.29065532434954e-05,0.34376598585936846,0.6455976337440515,0.34374307930612497,15006.320490566824,0.6455747271908081,0.5324605577450481,False
steel-plates-fault,classification,controlled_mlp,0,eps1e-06__double_rank_capped_16__N1_anchor_norm__std1,1e-06,double_rank_capped_16,N1_anchor_norm,True,rank_anchor,validation,1.2465574232537609e-15,16.0,393,3.6593896149341944e-14,1.8271475149474482e-12,8.0,0.16752849495969713,2.678164835674249e-05,0.48357766043790973,0.6459857848778665,0.483550878789553,18055.30684103002,0.6459590032295097,0.7485782787638413,False
steel-plates-fault,classification,controlled_mlp,0,eps1e-06__double_rank_capped_16__N1_anchor_norm__std1,1e-06,double_rank_capped_16,N1_anchor_norm,True,rank_anchor,test,1.2465574232537609e-15,16.0,393,3.6593896149341944e-14,1.8271475149474482e-12,8.0,0.16752849495969713,2.29065532434954e-05,0.45454836716424607,0.6455976337440515,0.4545254606110026,19842.595076588867,0.6455747271908081,0.7040632810842076,False
steel-plates-fault,classification,controlled_mlp,0,eps1e-06__fixed_16__N1_anchor_norm__std1,1e-06,fixed_16,N1_anchor_norm,True,rank_anchor,validation,1.2348341928515103e-15,16.0,403,3.02532994168022e-14,1.8271475149474482e-12,8.0,0.248820518841967,2.678164835674249e-05,0.3803480927517018,0.6459857848778665,0.38032131110334505,14200.817889821788,0.6459590032295097,0.5887700445413818,False
steel-plates-fault,classification,controlled_mlp,0,eps1e-06__fixed_16__N1_anchor_norm__std1,1e-06,fixed_16,N1_anchor_norm,True,rank_anchor,test,1.2348341928515103e-15,16.0,403,3.02532994168022e-14,1.8271475149474482e-12,8.0,0.248820518841967,2.29065532434954e-05,0.38078229181429485,0.6455976337440515,0.38075938526105135,16622.290626337366,0.6455747271908081,0.5897990878885705,False
steel-plates-fault,classification,controlled_mlp,0,eps0.0001__rank__N1_anchor_norm__std1,0.0001,rank,N1_anchor_norm,True,rank_anchor,validation,1.692015830712507e-15,8.0,202,4.594068724757475e-14,8.257791514494117e-05,8.0,0.16896457294933498,2.678164835674249e-05,0.35674752781299207,0.6459857848778665,0.35672074616463534,13319.596367369528,0.6459590032295097,0.5522343436366537,False
steel-plates-fault,classification,controlled_mlp,0,eps0.0001__rank__N1_anchor_norm__std1,0.0001,rank,N1_anchor_norm,True,rank_anchor,test,1.692015830712507e-15,8.0,202,4.594068724757475e-14,8.257791514494117e-05,8.0,0.16896457294933498,2.29065532434954e-05,0.2661430426985655,0.6455976337440515,0.266120136145322,11617.64204839024,0.6455747271908081,0.412222047946847,False
steel-plates-fault,classification,controlled_mlp,0,eps0.0001__rank_plus_one__N1_anchor_norm__std1,0.0001,rank_plus_one,N1_anchor_norm,True,rank_anchor,validation,1.6133818807056438e-15,9.0,226,3.3885723921034854e-14,3.38443688981597e-12,8.0,0.1690376040060073,2.678164835674249e-05,0.3751580384711384,0.6459857848778665,0.37513125682278164,14007.026446837033,0.6459590032295097,0.5807353948892903,False
steel-plates-fault,classification,controlled_mlp,0,eps0.0001__rank_plus_one__N1_anchor_norm__std1,0.0001,rank_plus_one,N1_anchor_norm,True,rank_anchor,test,1.6133818807056438e-15,9.0,226,3.3885723921034854e-14,3.38443688981597e-12,8.0,0.1690376040060073,2.29065532434954e-05,0.36902954693334644,0.6455976337440515,0.36900664038010295,16109.217150986562,0.6455747271908081,0.5715939996378424,False
steel-plates-fault,classification,controlled_mlp,0,eps0.0001__double_rank_capped_16__N1_anchor_norm__std1,0.0001,double_rank_capped_16,N1_anchor_norm,True,rank_anchor,validation,1.2587625665286167e-15,16.0,385,3.6593896149341944e-14,2.8743953346349724e-12,8.0,0.18793297605589032,2.678164835674249e-05,0.4624772182904161,0.6459857848778665,0.46245043664205937,17267.43740646695,0.6459590032295097,0.7159129826041768,False
steel-plates-fault,classification,controlled_mlp,0,eps0.0001__double_rank_capped_16__N1_anchor_norm__std1,0.0001,double_rank_capped_16,N1_anchor_norm,True,rank_anchor,test,1.2587625665286167e-15,16.0,385,3.6593896149341944e-14,2.8743953346349724e-12,8.0,0.18793297605589032,2.29065532434954e-05,0.5042779540030372,0.6455976337440515,0.5042550474497938,22013.5714915112,0.6455747271908081,0.7810947768107944,False
steel-plates-fault,classification,controlled_mlp,0,eps0.0001__fixed_16__N1_anchor_norm__std1,0.0001,fixed_16,N1_anchor_norm,True,rank_anchor,validation,1.2348341928515103e-15,16.0,403,3.02532994168022e-14,1.8271475149474482e-12,8.0,0.23159610107541084,2.678164835674249e-05,0.3803480927517018,0.6459857848778665,0.38032131110334505,14200.817889821788,0.6459590032295097,0.5887700445413818,False
steel-plates-fault,classification,controlled_mlp,0,eps0.0001__fixed_16__N1_anchor_norm__std1,0.0001,fixed_16,N1_anchor_norm,True,rank_anchor,test,1.2348341928515103e-15,16.0,403,3.02532994168022e-14,1.8271475149474482e-12,8.0,0.23159610107541084,2.29065532434954e-05,0.38078229181429485,0.6455976337440515,0.38075938526105135,16622.290626337366,0.6455747271908081,0.5897990878885705,False
steel-plates-fault,classification,controlled_mlp,0,eps0.001__rank__N1_anchor_norm__std1,0.001,rank,N1_anchor_norm,True,rank_anchor,validation,1.7052498987615182e-15,8.0,199,4.594068724757475e-14,0.0008848715235023908,8.0,0.1797804981470108,2.678164835674249e-05,0.39206003142016754,0.6459857848778665,0.3920332497718108,14638.129981760938,0.6459590032295097,0.6069011312046395,False
