dataset,problem_type,model,method,gate_family,alpha,disagreement_reduction,normalized_excess_risk,absolute_task_difference,relative_task_difference,denominator_sensitive,raw_fallback
california_housing,regression,tabm_d,G4-constrained-0.01,G4,0.875,0.875,-0.025159186561691506,-1325.134663741428,-0.021718580511546036,False,False
california_housing,regression,tabm_d,G4-constrained-0.05,G4,1.0,1.0,-0.024422280201258292,-1286.1316275909703,-0.021076635696647937,False,False
california_housing,regression,tabm_d,GramAnchor,fixed,1.0,1.0,-0.024422280201258292,-1286.1316275909703,-0.021076635696647937,False,False
california_housing,regression,tabm_d,Raw,fixed,0.0,0.0,0.0,0.0,0.0,False,True
california_housing,regression,tabm_d,Raw+GramAnchor@0.5,fixed,0.5,0.5,-0.020822571065962442,-1096.91441165773,-0.017980799813822626,False,False
california_housing,regression,tabm_d,Raw+GramAnchor@0.75,fixed,0.75,0.75,-0.024803858667440008,-1306.4898748411688,-0.021413994909569897,False,False
california_housing,regression,tabm_d,SafeGram-t0,SafeGram,0.375,0.37499999999999994,-0.017168263166120058,-903.4989239169736,-0.014797404834077987,False,False
california_housing,regression,tabm_d,SafeGram-t005,SafeGram,0.5,0.5,-0.020822571065962442,-1096.91441165773,-0.017980799813822626,False,False
california_housing,regression,tabm_d,SafeGram-t01,SafeGram,0.625,0.625,-0.023336619985306985,-1228.8317537646435,-0.020135832154047614,False,False
california_housing,regression,tabm_d,SafeGram-t02,SafeGram,0.875,0.875,-0.025159186561691506,-1325.134663741428,-0.021718580511546036,False,False
california_housing,regression,tabpfn_2_6,G1-point-t01,G1,1.0,1.0,0.02182784562120843,1333.1324823237155,0.02534118430254727,False,False
california_housing,regression,tabpfn_2_6,G2-oneSE-t01,G2,0.75,0.75,0.007713654718234288,470.26678660221296,0.008921620161332279,False,False
california_housing,regression,tabpfn_2_6,G3-validation-min,G3,0.625,0.625,0.003304503051030851,200.7149754487,0.003792289751557498,False,False
california_housing,regression,tabpfn_2_6,G4-constrained-0.001,G4,0.625,0.625,0.003304503051030851,200.7149754487,0.003792289751557498,False,False
california_housing,regression,tabpfn_2_6,G4-constrained-0.01,G4,0.875,0.875,0.013912708921411597,849.243608908957,0.016133210879046744,False,False
california_housing,regression,tabpfn_2_6,G4-constrained-0.05,G4,1.0,1.0,0.02182784562120843,1333.1324823237155,0.02534118430254727,False,False
california_housing,regression,tabpfn_2_6,GramAnchor,fixed,1.0,1.0,0.02182784562120843,1333.1324823237155,0.02534118430254727,False,False
california_housing,regression,tabpfn_2_6,Raw,fixed,0.0,0.0,0.0,0.0,0.0,False,True
california_housing,regression,tabpfn_2_6,Raw+GramAnchor@0.5,fixed,0.5,0.5,0.0030045461456808305,190.67516493514995,0.0037738523305717213,False,False
california_housing,regression,tabpfn_2_6,Raw+GramAnchor@0.75,fixed,0.75,0.75,0.010478626704254942,645.3535092775892,0.012379239677639441,False,False
california_housing,regression,tabpfn_2_6,SafeGram-t0,SafeGram,0.375,0.375,-0.002693738757742932,-159.93404611955702,-0.0029446638377383805,False,True
california_housing,regression,tabpfn_2_6,SafeGram-t005,SafeGram,0.625,0.625,0.003304503051030851,200.7149754487,0.003792289751557498,False,False
california_housing,regression,tabpfn_2_6,SafeGram-t01,SafeGram,0.625,0.625,0.003304503051030851,200.7149754487,0.003792289751557498,False,False
california_housing,regression,tabpfn_2_6,SafeGram-t02,SafeGram,0.75,0.75,0.007713654718234288,470.26678660221296,0.008921620161332279,False,False
eeg-eye-state,classification,catboost,G1-point-t01,G1,0.5,0.49999999999999994,0.0005216372971532613,0.00013664312390199163,0.00031963900207177204,False,False
eeg-eye-state,classification,catboost,G2-oneSE-t01,G2,0.125,0.125,-0.002577041590730824,-0.000710970613365669,-0.0017252613136185709,False,True
eeg-eye-state,classification,catboost,G3-validation-min,G3,0.125,0.125,-0.002577041590730824,-0.000710970613365669,-0.0017252613136185709,False,True
eeg-eye-state,classification,catboost,G4-constrained-0.001,G4,0.125,0.125,-0.002577041590730824,-0.000710970613365669,-0.0017252613136185709,False,True
eeg-eye-state,classification,catboost,G4-constrained-0.01,G4,0.25,0.25,-0.0010634434802390686,-0.0002933895464259373,-0.0007119473361530235,False,True
eeg-eye-state,classification,catboost,G4-constrained-0.05,G4,0.875,0.875,0.013791202400982295,0.003804114283410015,0.009230036778267042,False,False
eeg-eye-state,classification,catboost,GramAnchor,fixed,1.0,1.0,0.021709582797101327,0.00600339116113488,0.014591020819835673,False,False
eeg-eye-state,classification,catboost,Raw,fixed,0.0,0.0,0.0,0.0,0.0,False,True
eeg-eye-state,classification,catboost,Raw+GramAnchor@0.5,fixed,0.5,0.5,-0.0051248553498697705,-0.00142141936678844,-0.0034616465334786667,False,False
eeg-eye-state,classification,catboost,Raw+GramAnchor@0.75,fixed,0.75,0.75,0.004064716123186845,0.0011207094289094333,0.002718410985000922,False,False
eeg-eye-state,classification,catboost,SafeGram-t0,SafeGram,0.0,0.0,0.0,0.0,0.0,False,True
eeg-eye-state,classification,catboost,SafeGram-t005,SafeGram,0.0,0.0,0.0,0.0,0.0,False,True
eeg-eye-state,classification,catboost,SafeGram-t01,SafeGram,0.0,0.0,0.0,0.0,0.0,False,True
eeg-eye-state,classification,catboost,SafeGram-t02,SafeGram,0.125,0.125,-0.002577041590730824,-0.000710970613365669,-0.0017252613136185709,False,True
eeg-eye-state,classification,controlled_mlp,G1-point-t01,G1,1.0,1.0,-0.24860784067272718,-0.030755396372021127,-0.054504838805474076,False,False
eeg-eye-state,classification,controlled_mlp,G2-oneSE-t01,G2,0.125,0.12499999849084964,-0.1335392563567791,-0.016472755659856175,-0.029174649810248796,False,True
eeg-eye-state,classification,controlled_mlp,G3-validation-min,G3,0.75,0.7499999998177649,-0.3959058970753794,-0.048954820448850744,-0.08674903943422904,False,False
eeg-eye-state,classification,controlled_mlp,G4-constrained-0.001,G4,0.75,0.7499999998177649,-0.3959058970753794,-0.048954820448850744,-0.08674903943422904,False,False
eeg-eye-state,classification,controlled_mlp,G4-constrained-0.01,G4,0.75,0.7499999998177649,-0.3959058970753794,-0.048954820448850744,-0.08674903943422904,False,False
eeg-eye-state,classification,controlled_mlp,G4-constrained-0.05,G4,0.875,0.8750000008079527,-0.3540848040072601,-0.04376652352785365,-0.07754865043275991,False,False
eeg-eye-state,classification,controlled_mlp,GramAnchor,fixed,1.0,1.0,-0.24860784067272718,-0.030755396372021127,-0.054504838805474076,False,False
eeg-eye-state,classification,controlled_mlp,Raw,fixed,0.0,0.0,0.0,0.0,0.0,False,True
eeg-eye-state,classification,controlled_mlp,Raw+GramAnchor@0.5,fixed,0.5,0.5000000010260082,-0.3706045600726444,-0.04582991403324438,-0.08121306224530966,False,False
eeg-eye-state,classification,controlled_mlp,Raw+GramAnchor@0.75,fixed,0.75,0.7499999998177649,-0.3959058970753794,-0.048954820448850744,-0.08674903943422904,False,False
eeg-eye-state,classification,controlled_mlp,SafeGram-t0,SafeGram,0.75,0.7499999998177649,-0.3959058970753794,-0.048954820448850744,-0.08674903943422904,False,False
eeg-eye-state,classification,controlled_mlp,SafeGram-t005,SafeGram,0.75,0.7499999998177649,-0.3959058970753794,-0.048954820448850744,-0.08674903943422904,False,False
eeg-eye-state,classification,controlled_mlp,SafeGram-t01,SafeGram,0.75,0.7499999998177649,-0.3959058970753794,-0.048954820448850744,-0.08674903943422904,False,False
eeg-eye-state,classification,controlled_mlp,SafeGram-t02,SafeGram,0.75,0.7499999998177649,-0.3959058970753794,-0.048954820448850744,-0.08674903943422904,False,False
eeg-eye-state,classification,tabicl_v2,G1-point-t01,G1,0.5,0.5000000002409173,-0.051072201519119384,-0.018876526626476875,-0.059290026130694486,False,False
eeg-eye-state,classification,tabicl_v2,G2-oneSE-t01,G2,0.25,0.2500000001806879,-0.04046823892340379,-0.014957252024436152,-0.04697982213148914,False,False
eeg-eye-state,classification,tabicl_v2,G3-validation-min,G3,0.25,0.2500000001806879,-0.04046823892340379,-0.014957252024436152,-0.04697982213148914,False,False
eeg-eye-state,classification,tabicl_v2,G4-constrained-0.001,G4,0.25,0.2500000001806879,-0.04046823892340379,-0.014957252024436152,-0.04697982213148914,False,False
eeg-eye-state,classification,tabicl_v2,G4-constrained-0.01,G4,0.25,0.2500000001806879,-0.04046823892340379,-0.014957252024436152,-0.04697982213148914,False,False
eeg-eye-state,classification,tabicl_v2,G4-constrained-0.05,G4,0.5,0.5000000002409173,-0.051072201519119384,-0.018876526626476875,-0.059290026130694486,False,False
eeg-eye-state,classification,tabicl_v2,GramAnchor,fixed,1.0,1.0,-0.011579278912925057,-0.004279756114163313,-0.013442454581968917,False,False
eeg-eye-state,classification,tabicl_v2,Raw,fixed,0.0,0.0,0.0,0.0,0.0,False,True
eeg-eye-state,classification,tabicl_v2,Raw+GramAnchor@0.5,fixed,0.5,0.5000000002409173,-0.051072201519119384,-0.018876526626476875,-0.059290026130694486,False,False
eeg-eye-state,classification,tabicl_v2,Raw+GramAnchor@0.75,fixed,0.75,0.7500000001806877,-0.04208961276493355,-0.015556519445474426,-0.048862084782648536,False,False
eeg-eye-state,classification,tabicl_v2,SafeGram-t0,SafeGram,0.0,0.0,0.0,0.0,0.0,False,True
eeg-eye-state,classification,tabicl_v2,SafeGram-t005,SafeGram,0.0,0.0,0.0,0.0,0.0,False,True
eeg-eye-state,classification,tabicl_v2,SafeGram-t01,SafeGram,0.0,0.0,0.0,0.0,0.0,False,True
eeg-eye-state,classification,tabicl_v2,SafeGram-t02,SafeGram,0.25,0.2500000001806879,-0.04046823892340379,-0.014957252024436152,-0.04697982213148914,False,False
eeg-eye-state,classification,tabm_d,G1-point-t01,G1,0.5,0.5000000005291805,-0.019067751810757844,-0.004864495681708103,-0.011237900561689534,False,False
eeg-eye-state,classification,tabm_d,G2-oneSE-t01,G2,0.125,0.12500000101787095,-0.002745709763677888,-0.0007075107970762884,-0.0016442185877747896,False,True
eeg-eye-state,classification,tabm_d,G3-validation-min,G3,0.25,0.24999999994225652,-0.018661945430704333,-0.004768728000829864,-0.01102739779125438,False,False
eeg-eye-state,classification,tabm_d,G4-constrained-0.001,G4,0.25,0.24999999994225652,-0.018661945430704333,-0.004768728000829864,-0.01102739779125438,False,False
eeg-eye-state,classification,tabm_d,G4-constrained-0.01,G4,0.375,0.374999998646962,-0.01557117675911429,-0.0039723028886993195,-0.00917654692290436,False,False
eeg-eye-state,classification,tabm_d,G4-constrained-0.05,G4,0.875,0.8749999991886868,0.018042225626245,0.0046727187289791194,0.010891520955734538,False,False
eeg-eye-state,classification,tabm_d,GramAnchor,fixed,1.0,1.0,0.050324064229405344,0.01290981455029555,0.02992279712983565,False,False
eeg-eye-state,classification,tabm_d,Raw,fixed,0.0,0.0,0.0,0.0,0.0,False,True
eeg-eye-state,classification,tabm_d,Raw+GramAnchor@0.5,fixed,0.5,0.5000000005291805,-0.019067751810757844,-0.004864495681708103,-0.011237900561689534,False,False
eeg-eye-state,classification,tabm_d,Raw+GramAnchor@0.75,fixed,0.75,0.7499999979236689,0.0004202841591038724,0.00013192056510175076,0.000338940309285737,False,False
eeg-eye-state,classification,tabm_d,SafeGram-t0,SafeGram,0.0,0.0,0.0,0.0,0.0,False,True
eeg-eye-state,classification,tabm_d,SafeGram-t005,SafeGram,0.0,0.0,0.0,0.0,0.0,False,True
eeg-eye-state,classification,tabm_d,SafeGram-t01,SafeGram,0.0,0.0,0.0,0.0,0.0,False,True
eeg-eye-state,classification,tabm_d,SafeGram-t02,SafeGram,0.125,0.12500000101787095,-0.002745709763677888,-0.0007075107970762884,-0.0016442185877747896,False,True
eeg-eye-state,classification,tabpfn_2_6,G1-point-t01,G1,0.125,0.12499999985093774,0.00012793610687059857,5.03674667563514e-05,0.0001711499920901973,False,True
eeg-eye-state,classification,tabpfn_2_6,G2-oneSE-t01,G2,0.0,0.0,0.0,0.0,0.0,False,True
eeg-eye-state,classification,tabpfn_2_6,G3-validation-min,G3,0.0,0.0,0.0,0.0,0.0,False,True
eeg-eye-state,classification,tabpfn_2_6,G4-constrained-0.001,G4,0.0,0.0,0.0,0.0,0.0,False,True
eeg-eye-state,classification,tabpfn_2_6,G4-constrained-0.01,G4,0.0,0.0,0.0,0.0,0.0,False,True
eeg-eye-state,classification,tabpfn_2_6,G4-constrained-0.05,G4,0.625,0.6249999998258297,0.02444571145389316,0.009793565191579034,0.034105011193661564,False,False
eeg-eye-state,classification,tabpfn_2_6,GramAnchor,fixed,1.0,1.0,0.06460116142081021,0.025948711311843037,0.09068865537632546,False,False
