natural_pair,method,median_disagreement_reduction,median_C,p95_C,max_C,max_equivalence_error,max_coordinate_error,model_families
local_hat_to_spectral_hat,GramAnchor-m16,1.0,0.001040618261534647,0.07178469231223815,0.1051330869545344,2.24748949488383e-16,1.7222811410591125e-16,3
local_hat_to_spectral_hat,RankAdaptiveGram,1.0,0.0003460756951569982,304380.9955467774,1014602.9649946708,2.24748949488383e-16,1.7222811410591125e-16,3
local_hat_to_spectral_hat,Raw,0.0,0.0,0.0,0.0,2.24748949488383e-16,1.7222811410591125e-16,3
local_hat_to_spectral_hat,Raw+GramAnchor@0.75,0.75,-0.0056549784537911554,0.025423884075526308,0.055416560907022405,2.24748949488383e-16,1.7222811410591125e-16,3
local_hat_to_spectral_hat,SafeGram-t01,0.75,0.0,0.02876493169717994,0.055416560907022405,2.24748949488383e-16,1.7222811410591125e-16,3
local_hat_to_spectral_hat,SafeRankGram-t01,0.2500000000000001,0.0,0.00231631796675573,0.003819279125345956,2.24748949488383e-16,1.7222811410591125e-16,3
one_hot_to_helmert,GramAnchor-m16,1.0,0.010089642844645396,0.019231432978322208,0.02024718743761963,2.8466282290534746e-16,8.208809198949224e-17,3
one_hot_to_helmert,RankAdaptiveGram,1.0,0.004400052249116914,0.13351364674676108,0.14785960169094378,2.8466282290534746e-16,8.208809198949224e-17,3
one_hot_to_helmert,Raw,0.0,0.0,0.0,0.0,2.8466282290534746e-16,8.208809198949224e-17,3
one_hot_to_helmert,Raw+GramAnchor@0.75,0.75,-0.005355447485207398,0.010387353490342602,0.012136553598737049,2.8466282290534746e-16,8.208809198949224e-17,3
one_hot_to_helmert,SafeGram-t01,1.0,-0.005355447485207398,0.017686923945336927,0.02024718743761963,2.8466282290534746e-16,8.208809198949224e-17,3
one_hot_to_helmert,SafeRankGram-t01,0.75,0.0,0.002364069393570713,0.0026267437706341255,2.8466282290534746e-16,8.208809198949224e-17,3
