dataset,problem_type,model,seed,method,prior_relative_task_change,empirical_rank,reconstruction_error,feature_dimension,anchor_condition,fit_seconds,best_epoch,optimization_convergence,train_error,train_absolute_difference,train_relative_difference,train_C,train_denominator_sensitive,validation_error,validation_absolute_difference,validation_relative_difference,validation_C,validation_denominator_sensitive,test_error,test_absolute_difference,test_relative_difference,test_C,test_denominator_sensitive,test_calibration_kind,test_ece_10bin,test_brier_multiclass,failure_type,alpha,disagreement,maximum_disagreement
steel-plates-fault,classification,controlled_mlp,0,Raw,16622.29062633737,,0.0,211,,0.784548053983599,99.0,early-stopped checkpoint,2.628878111870347e-05,0.0,0.0,0.0,False,0.0009342786878791279,0.0,0.0,0.0,False,0.0002623554773872489,0.0,0.0,0.0,False,classification,0.0002587495498928005,1.3958496476071506e-05,Type C — altered generalization/inductive bias,0.0,0.0145318515626112,0.0412655037663625
steel-plates-fault,classification,controlled_mlp,0,GramAnchor,16622.29062633737,8.0,1.8271475149474482e-12,403,2395652193.062196,0.20027103601023555,24.0,early-stopped checkpoint,0.003151367312034921,0.0031250785309162176,118.87498765368177,0.004842525229057089,False,0.3803480927517018,0.37941381406382263,406.1034667558522,0.5881915016443255,False,0.38078229181429485,0.3805199363369076,1450.3982921433062,0.5896468845759737,False,classification,0.05120453619195016,0.12618621734372984,Type C — altered generalization/inductive bias,1.0,0.0,0.0
steel-plates-fault,classification,controlled_mlp,0,RankAdaptiveGram,16622.29062633737,8.0,8.257791514494117e-05,202,2654362.4239687044,0.10551307303830981,10.0,early-stopped checkpoint,0.038463421825823185,0.03843713304470448,1462.1116464527875,0.059560994919073136,False,0.35674752781299207,0.3558132491251129,380.84273326712787,0.5516044001303596,False,0.2661430426985655,0.26588068722117825,1013.4367685745931,0.41200395542503027,False,classification,0.03480701471703064,0.12363548310886753,Type C — altered generalization/inductive bias,1.0,0.0,0.0
steel-plates-fault,classification,controlled_mlp,0,SafeGram-t01,16622.29062633737,8.0,1.8271475149474482e-12,403,2395652193.062196,0.9848190899938345,,native converged fit,2.628878111870347e-05,0.0,0.0,0.0,False,0.0009342786878791279,0.0,0.0,0.0,False,0.0002623554773872489,0.0,0.0,0.0,False,classification,0.0002587495498928005,1.3958496476071506e-05,Type C — altered generalization/inductive bias,0.0,0.0145318515626112,0.0412655037663625
steel-plates-fault,classification,controlled_mlp,1,Raw,309.73395795090033,,0.0,211,,0.2072507708799094,33.0,early-stopped checkpoint,2.711195555936462e-06,0.0,0.0,0.0,False,0.00038220077358728605,0.0,0.0,0.0,False,0.003071054418687663,0.0,0.0,0.0,False,classification,0.0018012996930805401,0.0024881253266478545,Type C — altered generalization/inductive bias,0.0,0.0273761748099783,0.0545402883390347
steel-plates-fault,classification,controlled_mlp,1,GramAnchor,309.73395795090033,8.0,1.8271475149474482e-12,403,2395652193.062196,0.13663577986881137,17.0,early-stopped checkpoint,0.015741292323505164,0.01573858112794923,5805.03353713747,0.02438712852365411,False,0.42201321462161745,0.42163101384803015,1103.1663015505098,0.653080348729798,False,0.4378203227961304,0.43474926837744277,141.56351829259407,0.6766245667749935,False,classification,0.055473367869326586,0.1386776438191147,Type C — altered generalization/inductive bias,1.0,0.0,0.0
steel-plates-fault,classification,controlled_mlp,1,RankAdaptiveGram,309.73395795090033,8.0,8.257791514494117e-05,202,2654362.4239687044,0.1038386148866266,9.0,early-stopped checkpoint,0.0751476320353778,0.07514492083982187,27716.52552885157,0.1164379957457663,False,0.40190083850400055,0.40151863773041324,1050.5437599244299,0.621927522734383,False,0.3237732353515322,0.3207021809328445,104.42738460814657,0.49912671514627993,False,classification,0.04171187108014793,0.1632893196356796,Type C — altered generalization/inductive bias,1.0,0.0,0.0
steel-plates-fault,classification,controlled_mlp,1,SafeGram-t01,309.73395795090033,8.0,1.8271475149474482e-12,403,2395652193.062196,0.34388655074872077,,native converged fit,2.711195555936462e-06,0.0,0.0,0.0,False,0.00038220077358728605,0.0,0.0,0.0,False,0.003071054418687663,0.0,0.0,0.0,False,classification,0.0018012996930805401,0.0024881253266478545,Type C — altered generalization/inductive bias,0.0,0.0273761748099783,0.0545402883390347
steel-plates-fault,classification,tabm_d,1,Raw,149.18520458020888,,0.0,211,,1.3052844570484012,,native converged fit,0.005067642373190544,0.0,0.0,0.0,False,0.04958107966298647,0.0,0.0,0.0,False,0.04263754500288539,0.0,0.0,0.0,False,classification,0.011411619176896152,0.020690131987959697,Type C — altered generalization/inductive bias,0.0,0.0072534523862018,0.0107346263022151
steel-plates-fault,classification,tabm_d,1,GramAnchor,149.18520458020888,8.0,1.8271475149474482e-12,403,2395652193.062196,0.43514635995961726,,native converged fit,0.00752762525891053,0.0024599828857199855,0.48542945704576257,0.003841926391241485,False,0.05239346258546769,0.0028123829224812186,0.05672290602781556,0.004715561258806533,False,0.053597816543620155,0.010960271540734763,0.2570568155364727,0.01817744116964216,False,classification,0.021993242414747673,0.027203858821879163,Type C — altered generalization/inductive bias,1.0,0.0,0.0
steel-plates-fault,classification,tabm_d,1,RankAdaptiveGram,149.18520458020888,8.0,8.257791514494117e-05,202,2654362.4239687044,0.2539815560448915,,native converged fit,0.03703990312631416,0.031972260753123614,6.309099655940037,0.04993330363724409,False,0.07472409845289915,0.02514301878991268,0.5071091424554552,0.042157646594779705,False,0.0760916975036083,0.0334541525007229,0.784617231091963,0.05548319553051517,False,classification,0.03738042604934903,0.03476360265725746,Type C — altered generalization/inductive bias,1.0,0.0,0.0
steel-plates-fault,classification,tabm_d,1,SafeGram-t01,149.18520458020888,8.0,1.8271475149474482e-12,403,2395652193.062196,1.7404308170080185,,native converged fit,0.005067642373190544,0.0,0.0,0.0,False,0.04958107966298647,0.0,0.0,0.0,False,0.04263754500288539,0.0,0.0,0.0,False,classification,0.011411619176896152,0.020690131987959697,Type C — altered generalization/inductive bias,0.0,0.0072534523862018,0.0107346263022151
steel-plates-fault,classification,tabm_d,0,Raw,90.49886032357148,,0.0,211,,0.2597869250457734,,native converged fit,0.06666428797879803,0.0,0.0,0.0,False,0.10725896144176962,0.0,0.0,0.0,False,0.10938353611218656,0.0,0.0,0.0,False,classification,0.052986219155490746,0.049656353628171696,Type C — altered generalization/inductive bias,0.0,0.0091488540882787,0.0130813994118926
steel-plates-fault,classification,tabm_d,0,GramAnchor,90.49886032357148,8.0,1.8271475149474482e-12,403,2395652193.062196,0.39326757192611694,,native converged fit,0.0062887213464248495,-0.06037556663237318,-0.9056658139298672,-0.10432916330155084,False,0.04683731497371668,-0.06042164646805294,-0.5633249255434527,-0.11215637283971266,False,0.04971707482548995,-0.05966646128669661,-0.5454793601251029,-0.11127357812897397,False,classification,0.012492421373189521,0.026630035604150056,Type C — altered generalization/inductive bias,1.0,0.0,0.0
steel-plates-fault,classification,tabm_d,0,RankAdaptiveGram,90.49886032357148,8.0,8.257791514494117e-05,202,2654362.4239687044,0.3120797430165112,,native converged fit,0.0008791619221359052,-0.06578512605666213,-0.9868121006195175,-0.1136768984872521,False,0.02152186322678721,-0.0857370982149824,-0.7993467125031661,-0.1591476319447688,False,0.019258581567226395,-0.09012495454496017,-0.8239352808317123,-0.16807643615299908,False,classification,0.010776387953816493,0.012006677317515637,Type C — altered generalization/inductive bias,1.0,0.0,0.0
