dataset,model,seed,interface,representation_id,shape_match,train_relative_error,validation_relative_error,test_relative_error
debutanizer,catboost,0,GramAnchor-m16,gram_anchor__pivot_tie_v2__orthogonal_all__m0,True,8.843429205611799e-16,8.769448848438398e-16,9.34306178882347e-16
debutanizer,catboost,0,GramAnchor-m16,gram_anchor__pivot_tie_v2__orthogonal_all__m1,True,8.952591912867939e-16,9.21576728408182e-16,9.455179966059256e-16
debutanizer,catboost,0,GramAnchor-m16,gram_anchor__pivot_tie_v2__orthogonal_all__m2,True,8.394365262811086e-16,8.622963859474574e-16,8.852422682104659e-16
debutanizer,catboost,0,GramAnchor-m16,gram_anchor__pivot_tie_v2__orthogonal_all__m3,True,1.0206016603349418e-15,1.043820613563578e-15,1.066314579817534e-15
debutanizer,catboost,0,GramAnchor-m16,gram_anchor__pivot_tie_v2__orthogonal_all__m4,True,8.95517772585687e-16,9.278588860976369e-16,9.311997170254718e-16
debutanizer,catboost,0,GramAnchor-m16,gram_anchor__pivot_tie_v2__orthogonal_all__m5,True,8.464805604741568e-16,8.662891316740807e-16,8.894849673514032e-16
debutanizer,catboost,0,GramAnchor-m16,gram_anchor__pivot_tie_v2__orthogonal_all__m6,True,8.575840223131598e-16,8.952940243940677e-16,9.031771397547358e-16
debutanizer,catboost,0,GramAnchor-m16,gram_anchor__pivot_tie_v2__orthogonal_all__m7,True,1.2688961363036848e-15,1.312883885496149e-15,1.3322925939806065e-15
debutanizer,catboost,0,RankAdaptiveGram,rank_adaptive_gram__orthogonal_all__m0,True,1.1836656329030962e-15,1.2066920473137534e-15,1.3070869523021088e-15
debutanizer,catboost,0,RankAdaptiveGram,rank_adaptive_gram__orthogonal_all__m1,True,1.2115019755999777e-15,1.286595395209691e-15,1.336258452053397e-15
debutanizer,catboost,0,RankAdaptiveGram,rank_adaptive_gram__orthogonal_all__m2,True,1.1235065812937007e-15,1.190773273569514e-15,1.237361665950323e-15
debutanizer,catboost,0,RankAdaptiveGram,rank_adaptive_gram__orthogonal_all__m3,True,1.380540079460538e-15,1.4573406624452008e-15,1.5054601085213163e-15
