dataset,problem_type,model,seed,natural_pair,method,split,alpha,natural_reconstruction_error,gram_coordinate_error,rank_coordinate_error,raw_disagreement,method_disagreement,disagreement_reduction,fit_seconds,raw_loss,method_loss,trivial_loss,absolute_task_difference,relative_task_difference,safety_denominator,normalized_excess_risk,denominator_sensitive
ozone-level-8hr,classification,controlled_mlp,0,local_hat_to_spectral_hat,Raw,validation,0.0,2.24748949488383e-16,3.541028787570542e-17,3.334616074511831e-17,0.007828156493828436,0.007828156493828436,0.0,0.40723599400371313,0.1477533261367263,0.1477533261367263,0.23379165870645927,0.0,0.0,0.08603833256973298,0.0,False
ozone-level-8hr,classification,controlled_mlp,0,local_hat_to_spectral_hat,Raw,test,0.0,2.24748949488383e-16,3.541028787570542e-17,3.334616074511831e-17,0.006265876700470822,0.006265876700470822,0.0,0.40723599400371313,0.1515038514029306,0.1515038514029306,0.2354608217988546,0.0,0.0,0.08395697039592401,0.0,False
ozone-level-8hr,classification,controlled_mlp,0,local_hat_to_spectral_hat,GramAnchor-m16,validation,1.0,2.24748949488383e-16,3.541028787570542e-17,3.334616074511831e-17,0.007828156493828436,0.0,1.0,0.14006801880896091,0.1477533261367263,0.13770900779368478,0.23379165870645927,-0.010044318343041508,-0.06798031966973665,0.08603833256973298,-0.11674236404919534,False
ozone-level-8hr,classification,controlled_mlp,0,local_hat_to_spectral_hat,GramAnchor-m16,test,1.0,2.24748949488383e-16,3.541028787570542e-17,3.334616074511831e-17,0.006265876700470822,0.0,1.0,0.14006801880896091,0.1515038514029306,0.1426943455593986,0.2354608217988546,-0.00880950584353199,-0.05814707521924808,0.08395697039592401,-0.10492882010854072,False
ozone-level-8hr,classification,controlled_mlp,0,local_hat_to_spectral_hat,Raw+GramAnchor@0.75,validation,0.75,2.24748949488383e-16,3.541028787570542e-17,3.334616074511831e-17,0.007828156493828436,0.001957039101666741,0.7500000027835887,0.547304012812674,0.1477533261367263,0.13752523604765754,0.23379165870645927,-0.010228090089068748,-0.06922409367355964,0.08603833256973298,-0.11887829277466541,False
ozone-level-8hr,classification,controlled_mlp,0,local_hat_to_spectral_hat,Raw+GramAnchor@0.75,test,0.75,2.24748949488383e-16,3.541028787570542e-17,3.334616074511831e-17,0.006265876700470822,0.001566469203746601,0.7499999954309833,0.547304012812674,0.1515038514029306,0.14103110472937685,0.2354608217988546,-0.010472746673553746,-0.06912528346029338,0.08395697039592401,-0.12473945432006897,False
ozone-level-8hr,classification,controlled_mlp,0,local_hat_to_spectral_hat,RankAdaptiveGram,validation,1.0,2.24748949488383e-16,3.541028787570542e-17,3.334616074511831e-17,0.007828156493828436,0.0,1.0,0.08037567907012999,0.1477533261367263,0.1386503966878898,0.23379165870645927,-0.009102929448836478,-0.06160896466325849,0.08603833256973298,-0.10580085848896094,False
ozone-level-8hr,classification,controlled_mlp,0,local_hat_to_spectral_hat,RankAdaptiveGram,test,1.0,2.24748949488383e-16,3.541028787570542e-17,3.334616074511831e-17,0.006265876700470822,0.0,1.0,0.08037567907012999,0.1515038514029306,0.1345549929899456,0.2354608217988546,-0.01694885841298499,-0.1118708089334892,0.08395697039592401,-0.20187553615926848,False
ozone-level-8hr,classification,controlled_mlp,0,local_hat_to_spectral_hat,SafeGram-t01,validation,0.0,2.24748949488383e-16,3.541028787570542e-17,3.334616074511831e-17,0.007828156493828436,0.007828156493828436,0.0,0.547304012812674,0.1477533261367263,0.1477533261367263,0.23379165870645927,0.0,0.0,0.08603833256973298,0.0,False
ozone-level-8hr,classification,controlled_mlp,0,local_hat_to_spectral_hat,SafeGram-t01,test,0.0,2.24748949488383e-16,3.541028787570542e-17,3.334616074511831e-17,0.006265876700470822,0.006265876700470822,0.0,0.547304012812674,0.1515038514029306,0.1515038514029306,0.2354608217988546,0.0,0.0,0.08395697039592401,0.0,False
ozone-level-8hr,classification,controlled_mlp,0,local_hat_to_spectral_hat,SafeRankGram-t01,validation,0.25,2.24748949488383e-16,3.541028787570542e-17,3.334616074511831e-17,0.007828156493828436,0.00587111730394691,0.25000000848532056,0.4876116730738431,0.1477533261367263,0.1409101115322422,0.23379165870645927,-0.006843214604484088,-0.046315130653313295,0.08603833256973298,-0.07953681109449383,False
ozone-level-8hr,classification,controlled_mlp,0,local_hat_to_spectral_hat,SafeRankGram-t01,test,0.25,2.24748949488383e-16,3.541028787570542e-17,3.334616074511831e-17,0.006265876700470822,0.004699407550237162,0.24999999602864098,0.4876116730738431,0.1515038514029306,0.14364107989060226,0.2354608217988546,-0.007862771512328337,-0.05189816258477139,0.08395697039592401,-0.09365239687960517,False
ozone-level-8hr,classification,tabm_d,0,local_hat_to_spectral_hat,Raw,validation,0.0,2.24748949488383e-16,3.541028787570542e-17,3.334616074511831e-17,0.00011470997808200509,0.00011470997808200509,0.0,1.8521239359397441,0.3069303232399056,0.3069303232399056,0.23379165870645927,0.0,0.0,1e-08,0.0,True
ozone-level-8hr,classification,tabm_d,0,local_hat_to_spectral_hat,Raw,test,0.0,2.24748949488383e-16,3.541028787570542e-17,3.334616074511831e-17,0.0001138426214854724,0.0001138426214854724,0.0,1.8521239359397441,0.32347064336624787,0.32347064336624787,0.2354608217988546,0.0,0.0,1e-08,0.0,True
ozone-level-8hr,classification,tabm_d,0,local_hat_to_spectral_hat,GramAnchor-m16,validation,1.0,2.24748949488383e-16,3.541028787570542e-17,3.334616074511831e-17,0.00011470997808200509,0.0,1.0,0.8011527820490301,0.3069303232399056,0.2816252126292829,0.23379165870645927,-0.025305110610622683,-0.08244578229842568,1e-08,-2530511.0610622684,True
ozone-level-8hr,classification,tabm_d,0,local_hat_to_spectral_hat,GramAnchor-m16,test,1.0,2.24748949488383e-16,3.541028787570542e-17,3.334616074511831e-17,0.0001138426214854724,0.0,1.0,0.8011527820490301,0.32347064336624787,0.31093238737180734,0.2354608217988546,-0.012538255994440528,-0.03876165040499257,1e-08,-1253825.5994440527,True
ozone-level-8hr,classification,tabm_d,0,local_hat_to_spectral_hat,Raw+GramAnchor@0.75,validation,0.75,2.24748949488383e-16,3.541028787570542e-17,3.334616074511831e-17,0.00011470997808200509,2.8677502958260692e-05,0.7499999264426725,2.653276717988774,0.3069303232399056,0.28655424939642155,0.23379165870645927,-0.020376073843484055,-0.06638664315860876,1e-08,-2037607.3843484055,True
ozone-level-8hr,classification,tabm_d,0,local_hat_to_spectral_hat,Raw+GramAnchor@0.75,test,0.75,2.24748949488383e-16,3.541028787570542e-17,3.334616074511831e-17,0.0001138426214854724,2.846065316625414e-05,0.7500000193698453,2.653276717988774,0.32347064336624787,0.311191472598563,0.2354608217988546,-0.012279170767684866,-0.037960696030711644,1e-08,-1227917.0767684865,True
ozone-level-8hr,classification,tabm_d,0,local_hat_to_spectral_hat,RankAdaptiveGram,validation,1.0,2.24748949488383e-16,3.541028787570542e-17,3.334616074511831e-17,0.00011470997808200509,0.0,1.0,0.4269645258318633,0.3069303232399056,0.31302218898978607,0.23379165870645927,0.006091865749880465,0.01984771555177651,1e-08,609186.5749880465,True
ozone-level-8hr,classification,tabm_d,0,local_hat_to_spectral_hat,RankAdaptiveGram,test,1.0,2.24748949488383e-16,3.541028787570542e-17,3.334616074511831e-17,0.0001138426214854724,0.0,1.0,0.4269645258318633,0.32347064336624787,0.3336166730161946,0.2354608217988546,0.010146029649946708,0.031366152873597626,1e-08,1014602.9649946708,True
ozone-level-8hr,classification,tabm_d,0,local_hat_to_spectral_hat,SafeGram-t01,validation,1.0,2.24748949488383e-16,3.541028787570542e-17,3.334616074511831e-17,0.00011470997808200509,0.0,1.0,2.653276717988774,0.3069303232399056,0.2816252126292829,0.23379165870645927,-0.025305110610622683,-0.08244578229842568,1e-08,-2530511.0610622684,True
ozone-level-8hr,classification,tabm_d,0,local_hat_to_spectral_hat,SafeGram-t01,test,1.0,2.24748949488383e-16,3.541028787570542e-17,3.334616074511831e-17,0.0001138426214854724,0.0,1.0,2.653276717988774,0.32347064336624787,0.31093238737180734,0.2354608217988546,-0.012538255994440528,-0.03876165040499257,1e-08,-1253825.5994440527,True
ozone-level-8hr,classification,tabm_d,0,local_hat_to_spectral_hat,SafeRankGram-t01,validation,0.0,2.24748949488383e-16,3.541028787570542e-17,3.334616074511831e-17,0.00011470997808200509,0.00011470997808200509,0.0,2.2790884617716074,0.3069303232399056,0.3069303232399056,0.23379165870645927,0.0,0.0,1e-08,0.0,True
ozone-level-8hr,classification,tabm_d,0,local_hat_to_spectral_hat,SafeRankGram-t01,test,0.0,2.24748949488383e-16,3.541028787570542e-17,3.334616074511831e-17,0.0001138426214854724,0.0001138426214854724,0.0,2.2790884617716074,0.32347064336624787,0.32347064336624787,0.2354608217988546,0.0,0.0,1e-08,0.0,True
ozone-level-8hr,classification,catboost,0,local_hat_to_spectral_hat,Raw,validation,0.0,2.24748949488383e-16,3.541028787570542e-17,3.334616074511831e-17,0.026169092667165748,0.026169092667165748,0.0,6.379947358043864,0.16274949857638632,0.16274949857638632,0.23379165870645927,0.0,0.0,0.07104216013007295,0.0,False
ozone-level-8hr,classification,catboost,0,local_hat_to_spectral_hat,Raw,test,0.0,2.24748949488383e-16,3.541028787570542e-17,3.334616074511831e-17,0.026140559763740336,0.026140559763740336,0.0,6.379947358043864,0.17077106567889078,0.17077106567889078,0.2354608217988546,0.0,0.0,0.06468975611996383,0.0,False
ozone-level-8hr,classification,catboost,0,local_hat_to_spectral_hat,GramAnchor-m16,validation,1.0,2.24748949488383e-16,3.541028787570542e-17,3.334616074511831e-17,0.026169092667165748,0.0,1.0,7.707738558994606,0.16274949857638632,0.1535062871368285,0.23379165870645927,-0.009243211439557808,-0.056794100875337046,0.07104216013007295,-0.13010881739285757,False
ozone-level-8hr,classification,catboost,0,local_hat_to_spectral_hat,GramAnchor-m16,test,1.0,2.24748949488383e-16,3.541028787570542e-17,3.334616074511831e-17,0.026140559763740336,0.0,1.0,7.707738558994606,0.17077106567889078,0.17757209943411856,0.2354608217988546,0.006801033755227781,0.03982544541834797,0.06468975611996383,0.1051330869545344,False
ozone-level-8hr,classification,catboost,0,local_hat_to_spectral_hat,Raw+GramAnchor@0.75,validation,0.75,2.24748949488383e-16,3.541028787570542e-17,3.334616074511831e-17,0.026169092667165748,0.006542273166791438,0.75,14.08768591703847,0.16274949857638632,0.15462888894920457,0.23379165870645927,-0.008120609627181752,-0.049896372635337805,0.07104216013007295,-0.1143069075083516,False
ozone-level-8hr,classification,catboost,0,local_hat_to_spectral_hat,Raw+GramAnchor@0.75,test,0.75,2.24748949488383e-16,3.541028787570542e-17,3.334616074511831e-17,0.026140559763740336,0.006535139940935085,0.75,14.08768591703847,0.17077106567889078,0.17435594948897318,0.2354608217988546,0.003584883810082401,0.020992337289873417,0.06468975611996383,0.055416560907022405,False
ozone-level-8hr,classification,catboost,0,local_hat_to_spectral_hat,RankAdaptiveGram,validation,1.0,2.24748949488383e-16,3.541028787570542e-17,3.334616074511831e-17,0.026169092667165748,0.0,1.0,2.8386986539699137,0.16274949857638632,0.1569495662849586,0.23379165870645927,-0.005799932291427723,-0.03563717456681152,0.07104216013007295,-0.08164070857091726,False
ozone-level-8hr,classification,catboost,0,local_hat_to_spectral_hat,RankAdaptiveGram,test,1.0,2.24748949488383e-16,3.541028787570542e-17,3.334616074511831e-17,0.026140559763740336,0.0,1.0,2.8386986539699137,0.17077106567889078,0.16844938055063288,0.2354608217988546,-0.0023216851282578943,-0.013595307372640473,0.06468975611996383,-0.035889532864406666,False
