dataset,problem_type,model,seed,embedding,k,split,condition,rotation_member,original_task,rotated_task,task_effect,disagreement,fit_seconds,interface_location
steel-plates-fault,classification,resnet_tabular,0,PLE,8,validation,original,-1,0.04450032804022093,0.04450032804022093,0.0,0.0,0.4462277968414128,embedding_to_backbone_boundary
steel-plates-fault,classification,resnet_tabular,0,PLE,8,validation,rotated,0,0.04450032804022093,0.048859520981236,0.004359192941015069,0.048128597683656474,0.4183009499683976,embedding_to_backbone_boundary
steel-plates-fault,classification,resnet_tabular,0,PLE,8,validation,rotated,1,0.04450032804022093,0.05857067776738376,0.014070349727162833,0.057571812077584536,0.2550683179870248,embedding_to_backbone_boundary
steel-plates-fault,classification,resnet_tabular,0,PLE,8,validation,rotated,2,0.04450032804022093,0.05273545346041384,0.008235125420192911,0.043506167310071744,0.2751316810026765,embedding_to_backbone_boundary
steel-plates-fault,classification,resnet_tabular,0,PLE,8,validation,rotated,3,0.04450032804022093,0.04340166295801319,-0.0010986650822077393,0.07431538562793166,0.29031558497808874,embedding_to_backbone_boundary
steel-plates-fault,classification,resnet_tabular,0,PLE,8,validation,rotated,4,0.04450032804022093,0.004378064577105547,-0.040122263463115385,0.0831663788028434,0.4129161238670349,embedding_to_backbone_boundary
steel-plates-fault,classification,resnet_tabular,0,PLE,8,validation,rotated,5,0.04450032804022093,0.051986130171735305,0.0074858021315143755,0.06143571783852138,0.3498605671338737,embedding_to_backbone_boundary
steel-plates-fault,classification,resnet_tabular,0,PLE,8,validation,rotated,6,0.04450032804022093,0.06136604150161371,0.016865713461392783,0.04664052696929156,0.31481423089280725,embedding_to_backbone_boundary
steel-plates-fault,classification,resnet_tabular,0,PLE,8,validation,rotated,7,0.04450032804022093,0.03300291677167268,-0.011497411268548252,0.09447484683084366,0.3397871449124068,embedding_to_backbone_boundary
steel-plates-fault,classification,resnet_tabular,0,PLE,8,test,original,-1,0.06003995206852454,0.06003995206852454,0.0,0.0,0.4462277968414128,embedding_to_backbone_boundary
steel-plates-fault,classification,resnet_tabular,0,PLE,8,test,rotated,0,0.06003995206852454,0.07239310034409431,0.01235314827556977,0.0982102779514829,0.4183009499683976,embedding_to_backbone_boundary
steel-plates-fault,classification,resnet_tabular,0,PLE,8,test,rotated,1,0.06003995206852454,0.040301654243788676,-0.019738297824735865,0.1043347619762609,0.2550683179870248,embedding_to_backbone_boundary
steel-plates-fault,classification,resnet_tabular,0,PLE,8,test,rotated,2,0.06003995206852454,0.03212144815487031,-0.027918503913654233,0.1018814712686539,0.2751316810026765,embedding_to_backbone_boundary
steel-plates-fault,classification,resnet_tabular,0,PLE,8,test,rotated,3,0.06003995206852454,0.09396655275171693,0.03392660068319239,0.1109017182667359,0.29031558497808874,embedding_to_backbone_boundary
steel-plates-fault,classification,resnet_tabular,0,PLE,8,test,rotated,4,0.06003995206852454,0.05627874624489631,-0.0037612058236282317,0.10960080009239943,0.4129161238670349,embedding_to_backbone_boundary
steel-plates-fault,classification,resnet_tabular,0,PLE,8,test,rotated,5,0.06003995206852454,0.08226303422524807,0.022223082156723528,0.08312455531935031,0.3498605671338737,embedding_to_backbone_boundary
steel-plates-fault,classification,resnet_tabular,0,PLE,8,test,rotated,6,0.06003995206852454,0.060908395641361794,0.0008684435728372533,0.1396099139604896,0.31481423089280725,embedding_to_backbone_boundary
steel-plates-fault,classification,resnet_tabular,0,PLE,8,test,rotated,7,0.06003995206852454,0.05650797865936986,-0.003531973409154683,0.08283240234653,0.3397871449124068,embedding_to_backbone_boundary
steel-plates-fault,classification,resnet_tabular,0,RBF,8,validation,original,-1,0.02343690286548087,0.02343690286548087,0.0,0.0,0.3122986189555377,embedding_to_backbone_boundary
steel-plates-fault,classification,resnet_tabular,0,RBF,8,validation,rotated,0,0.02343690286548087,0.022401738746150108,-0.0010351641193307622,0.06166387880569877,0.5227447950746864,embedding_to_backbone_boundary
steel-plates-fault,classification,resnet_tabular,0,RBF,8,validation,rotated,1,0.02343690286548087,0.05111496783587241,0.02767806497039154,0.06919145839481382,0.2768493788316846,embedding_to_backbone_boundary
