method,units,datasets,model_families,successful_model_families,median_disagreement_reduction,median_reduction_ci_low,median_reduction_ci_high,median_C,median_C_ci_low,median_C_ci_high,p90_C,p95_C,max_C,task_improvement_fraction,wins,ties,losses,raw_fallback_rate,alpha_0_fraction,alpha_025_fraction,alpha_05_fraction,alpha_075_fraction,alpha_1_fraction,catastrophic_fixed_cells_prevented_fraction,safety_first_eligible,mean_predictive_rank,median_predictive_rank,paper_candidate_score,eligibility_note
Raw+GramAnchor@0.75,30,10,3,2,0.75,0.7499999998802951,0.75,0.0010775906110685285,-0.13780748765404371,0.013225303467607724,0.03881314616203102,0.04975351740975188,0.1278283978301635,0.4666666666666667,14,0,16,0.0,0.0,0.0,0.0,1.0,0.0,,True,4.233333333333333,5.0,0.7467672281667944,ELIGIBLE
Raw+GramAnchor@0.5,30,10,3,0,0.5,0.4999999997626498,0.5,-0.00297703427337175,-0.1626253553958285,0.0023402291189607,0.009097622397075227,0.028149078911106833,0.07514558026780946,0.6,18,1,11,0.0,0.0,0.0,1.0,0.0,0.0,,True,3.533333333333333,4.0,0.5,ELIGIBLE
SafeRankGram-t01,30,10,3,1,0.5,0.1875000004975114,0.875,0.0,-0.006522718935142625,0.0014218449924665749,0.004901891575561591,0.005104928097120072,0.0095783677818464,0.4666666666666667,14,6,10,0.26666666666666666,0.26666666666666666,0.2,0.11666666666666667,0.08333333333333333,0.3333333333333333,,True,3.6166666666666667,3.25,0.5,ELIGIBLE
SafeGram-t01,30,10,3,1,0.37500000072564477,0.0,0.875,0.0,-0.003999327851676325,0.0006112025912355,0.006309284870104232,0.01588018471309711,0.027642780282865,0.36666666666666664,11,10,9,0.35,0.35,0.13333333333333333,0.08333333333333333,0.06666666666666667,0.36666666666666664,,True,4.133333333333334,4.0,0.37500000072564477,ELIGIBLE
Raw,30,10,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,30,0,1.0,1.0,0.0,0.0,0.0,0.0,,True,4.216666666666667,3.5,0.0,ELIGIBLE
GramAnchor-m16,30,10,3,0,1.0,1.0,1.0,0.007004910300379325,-0.14284979645399473,0.03561487329852375,0.10056099947382033,0.13771728531502547,0.1904344976619443,0.3333333333333333,10,0,20,0.0,0.0,0.0,0.0,0.0,1.0,,False,5.616666666666666,6.5,0.8035506984688111,EXCLUDED_BY_TAIL_GATE
PCA-canonicalization,30,10,3,0,1.0,1.0,1.0,0.014006057817267624,-0.0275854393466412,0.0874495312609341,0.37616538244006653,26785.619089141517,3169707.1332931845,0.36666666666666664,11,0,19,0.0,0.0,0.0,0.0,0.0,1.0,,False,6.0,7.5,-6392984.046782825,EXCLUDED_BY_TAIL_GATE
RankAdaptiveGram,30,10,3,1,1.0,1.0,1.0,0.0054418469832975495,0.0012775588809217997,0.019934684207175472,0.09318539447056906,0.19164767211246855,856237.6443751241,0.3333333333333333,10,0,20,0.0,0.0,0.0,0.0,0.0,1.0,,False,4.65,4.5,-1712474.1883711335,EXCLUDED_BY_TAIL_GATE
