dataset,problem_type,model,seed,embedding,k,split,condition,rotation_member,original_task,rotated_task,task_effect,disagreement,fit_seconds,interface_location
steel-plates-fault,classification,tabm_d,0,PLE,8,validation,original,-1,0.07361845631277968,0.07361845631277968,0.0,0.0,2.197521389927715,embedding_to_backbone_boundary
steel-plates-fault,classification,tabm_d,0,PLE,8,validation,rotated,0,0.07361845631277968,0.03705154760008453,-0.03656690871269515,0.07551644384808576,0.31030973698943853,embedding_to_backbone_boundary
steel-plates-fault,classification,tabm_d,0,PLE,8,validation,rotated,1,0.07361845631277968,0.02538115955996293,-0.048237296752816745,0.07695279307806206,0.4233085841406137,embedding_to_backbone_boundary
steel-plates-fault,classification,tabm_d,0,PLE,8,validation,rotated,2,0.07361845631277968,0.029797629022956306,-0.043820827289823366,0.07639764968937217,0.299485290190205,embedding_to_backbone_boundary
steel-plates-fault,classification,tabm_d,0,PLE,8,validation,rotated,3,0.07361845631277968,0.053977636912428156,-0.01964081940035152,0.056832211764432226,0.27913373499177396,embedding_to_backbone_boundary
steel-plates-fault,classification,tabm_d,0,PLE,8,validation,rotated,4,0.07361845631277968,0.030614336669612136,-0.04300411964316754,0.07138621644916313,0.32005475414916873,embedding_to_backbone_boundary
steel-plates-fault,classification,tabm_d,0,PLE,8,validation,rotated,5,0.07361845631277968,0.025022093404794984,-0.04859636290798469,0.07893565169124697,0.2862558539491147,embedding_to_backbone_boundary
steel-plates-fault,classification,tabm_d,0,PLE,8,validation,rotated,6,0.07361845631277968,0.05829553859415823,-0.015322917718621445,0.058450478273421674,0.26948363007977605,embedding_to_backbone_boundary
steel-plates-fault,classification,tabm_d,0,PLE,8,validation,rotated,7,0.07361845631277968,0.036065976144760446,-0.03755248016801923,0.0727366016325567,0.30879646190442145,embedding_to_backbone_boundary
steel-plates-fault,classification,tabm_d,0,PLE,8,test,original,-1,0.07222359074382438,0.07222359074382438,0.0,0.0,2.197521389927715,embedding_to_backbone_boundary
steel-plates-fault,classification,tabm_d,0,PLE,8,test,rotated,0,0.07222359074382438,0.02696207463281338,-0.045261516111011,0.08734687644069779,0.31030973698943853,embedding_to_backbone_boundary
steel-plates-fault,classification,tabm_d,0,PLE,8,test,rotated,1,0.07222359074382438,0.016525905130766676,-0.055697685613057706,0.09319791488046707,0.4233085841406137,embedding_to_backbone_boundary
steel-plates-fault,classification,tabm_d,0,PLE,8,test,rotated,2,0.07222359074382438,0.022553278326321393,-0.049670312417502985,0.08844782362966622,0.299485290190205,embedding_to_backbone_boundary
