method,units,model_families,median_disagreement_reduction,median_C,p95_C,max_C,raw_fallback_rate
RankAdaptiveGram,24,3,1.0,-0.016845589090531743,0.4497934311118689,1.6440246675813928,0.0
SafeRankGram-t01,24,3,0.3125000035744253,-0.01596099675146847,0.0,0.0027567321987702217,0.3958333333333333
