dataset,model,seed,interface,representation_id,shape_match,train_relative_error,validation_relative_error,test_relative_error
delta_elevators,catboost,0,GramAnchor-m16,gram_anchor__pivot_tie_v2__orthogonal_all__m0,True,9.10849725545916e-16,9.13729971344839e-16,9.023994904225807e-16
delta_elevators,catboost,0,GramAnchor-m16,gram_anchor__pivot_tie_v2__orthogonal_all__m1,True,9.120636106196812e-16,8.979012553692007e-16,9.091603560955782e-16
delta_elevators,catboost,0,GramAnchor-m16,gram_anchor__pivot_tie_v2__orthogonal_all__m2,True,8.844342502821627e-16,8.948390230198413e-16,8.796736516553321e-16
delta_elevators,catboost,0,GramAnchor-m16,gram_anchor__pivot_tie_v2__orthogonal_all__m3,True,1.1798900035475502e-15,1.2059173280474633e-15,1.1778381677867754e-15
delta_elevators,catboost,0,GramAnchor-m16,gram_anchor__pivot_tie_v2__orthogonal_all__m4,True,9.502040804326537e-16,9.838640092816134e-16,9.663049627302317e-16
delta_elevators,catboost,0,GramAnchor-m16,gram_anchor__pivot_tie_v2__orthogonal_all__m5,True,6.880859450181704e-16,7.048197656034557e-16,6.86748083047283e-16
delta_elevators,catboost,0,GramAnchor-m16,gram_anchor__pivot_tie_v2__orthogonal_all__m6,True,8.317368277292708e-16,8.506874922013102e-16,8.48284880893407e-16
delta_elevators,catboost,0,GramAnchor-m16,gram_anchor__pivot_tie_v2__orthogonal_all__m7,True,7.753114369426719e-16,7.703402611462434e-16,7.77084338257103e-16
delta_elevators,catboost,0,RankAdaptiveGram,rank_adaptive_gram__orthogonal_all__m0,True,1.222009965127542e-15,1.2447930199643566e-15,1.2221527013116188e-15
delta_elevators,catboost,0,RankAdaptiveGram,rank_adaptive_gram__orthogonal_all__m1,True,1.1522517770317578e-15,1.1429039581992131e-15,1.160521351971349e-15
delta_elevators,catboost,0,RankAdaptiveGram,rank_adaptive_gram__orthogonal_all__m2,True,1.1210968197825217e-15,1.1554800529587701e-15,1.1249205562284736e-15
delta_elevators,catboost,0,RankAdaptiveGram,rank_adaptive_gram__orthogonal_all__m3,True,1.515408235702717e-15,1.58296738233644e-15,1.5281898924683721e-15
