dataset,problem_type,model,seed,target_safe_alpha,log_n_rows,log_n_raw_features,median_empirical_rank,mean_gram_spectrum_entropy,median_block_condition_log10,class_imbalance,categorical_fraction,raw_gram_validation_disagreement
steel-plates-fault,classification,controlled_mlp,0,0.0,6.932447891572508,3.526360524616161,8.0,0.3894020382913547,2.6701419777391298,0.6533203125,0.0,0.2079298307242002
steel-plates-fault,classification,controlled_mlp,1,0.0,6.932447891572508,3.526360524616161,8.0,0.3894020382913547,2.6701419777391298,0.6533203125,0.0,0.2415218264720066
steel-plates-fault,classification,tabm_d,0,0.0,6.932447891572508,3.526360524616161,8.0,0.3894020382913547,2.6701419777391298,0.6533203125,0.0,0.1378095637665266
steel-plates-fault,classification,tabm_d,1,0.0,6.932447891572508,3.526360524616161,8.0,0.3894020382913547,2.6701419777391298,0.6533203125,0.0,0.15481225748138297
steel-plates-fault,classification,tabicl_v2,0,1.0,6.932447891572508,3.526360524616161,8.0,0.3894020382913547,2.6701419777391298,0.6533203125,0.0,0.013006709687858838
steel-plates-fault,classification,tabicl_v2,1,1.0,6.932447891572508,3.526360524616161,8.0,0.3894020382913547,2.6701419777391298,0.6533203125,0.0,0.013006709687858838
steel-plates-fault,classification,tabpfn_2_6,0,1.0,6.932447891572508,3.526360524616161,8.0,0.3894020382913547,2.6701419777391298,0.6533203125,0.0,0.006569637652343708
steel-plates-fault,classification,tabpfn_2_6,1,1.0,6.932447891572508,3.526360524616161,8.0,0.3894020382913547,2.6701419777391298,0.6533203125,0.0,0.002141568870711805
steel-plates-fault,classification,catboost,0,1.0,6.932447891572508,3.526360524616161,8.0,0.3894020382913547,2.6701419777391298,0.6533203125,0.0,0.002395159823262522
steel-plates-fault,classification,catboost,1,1.0,6.932447891572508,3.526360524616161,8.0,0.3894020382913547,2.6701419777391298,0.6533203125,0.0,0.0018784567164257184
wilt,classification,controlled_mlp,0,0.0,6.932447891572508,1.791759469228055,8.0,0.45902576007737617,1.717430893361393,0.9462890625,0.0,0.12517658113897404
wilt,classification,controlled_mlp,1,0.0,6.932447891572508,1.791759469228055,8.0,0.45902576007737617,1.717430893361393,0.9462890625,0.0,0.08283721522729619
wilt,classification,tabm_d,0,0.0,6.932447891572508,1.791759469228055,8.0,0.45902576007737617,1.717430893361393,0.9462890625,0.0,0.05197726733047177
wilt,classification,tabm_d,1,0.0,6.932447891572508,1.791759469228055,8.0,0.45902576007737617,1.717430893361393,0.9462890625,0.0,0.049233209473625014
wilt,classification,tabicl_v2,0,0.0,6.932447891572508,1.791759469228055,8.0,0.45902576007737617,1.717430893361393,0.9462890625,0.0,0.047385680191779765
wilt,classification,tabicl_v2,1,0.0,6.932447891572508,1.791759469228055,8.0,0.45902576007737617,1.717430893361393,0.9462890625,0.0,0.047385680191779765
wilt,classification,tabpfn_2_6,0,1.0,6.932447891572508,1.791759469228055,8.0,0.45902576007737617,1.717430893361393,0.9462890625,0.0,0.02215022190386575
wilt,classification,tabpfn_2_6,1,1.0,6.932447891572508,1.791759469228055,8.0,0.45902576007737617,1.717430893361393,0.9462890625,0.0,0.03827705717049669
wilt,classification,catboost,0,0.75,6.932447891572508,1.791759469228055,8.0,0.45902576007737617,1.717430893361393,0.9462890625,0.0,0.021010265081299936
wilt,classification,catboost,1,1.0,6.932447891572508,1.791759469228055,8.0,0.45902576007737617,1.717430893361393,0.9462890625,0.0,0.024629502539756685
eeg-eye-state,classification,controlled_mlp,0,1.0,6.932447891572508,2.70805020110221,8.0,0.42764911237908876,1.912202789309425,0.55078125,0.0,0.19783543795260264
eeg-eye-state,classification,controlled_mlp,1,1.0,6.932447891572508,2.70805020110221,8.0,0.42764911237908876,1.912202789309425,0.55078125,0.0,0.16581816385454426
eeg-eye-state,classification,tabm_d,0,0.5,6.932447891572508,2.70805020110221,8.0,0.42764911237908876,1.912202789309425,0.55078125,0.0,0.12054884815272143
eeg-eye-state,classification,tabm_d,1,0.5,6.932447891572508,2.70805020110221,8.0,0.42764911237908876,1.912202789309425,0.55078125,0.0,0.09374893845077127
eeg-eye-state,classification,tabicl_v2,0,0.5,6.932447891572508,2.70805020110221,8.0,0.42764911237908876,1.912202789309425,0.55078125,0.0,0.16513455730564053
eeg-eye-state,classification,tabicl_v2,1,0.5,6.932447891572508,2.70805020110221,8.0,0.42764911237908876,1.912202789309425,0.55078125,0.0,0.16513455730564053
eeg-eye-state,classification,tabpfn_2_6,0,0.25,6.932447891572508,2.70805020110221,8.0,0.42764911237908876,1.912202789309425,0.55078125,0.0,0.09673565129935027
eeg-eye-state,classification,tabpfn_2_6,1,0.0,6.932447891572508,2.70805020110221,8.0,0.42764911237908876,1.912202789309425,0.55078125,0.0,0.11743226089588815
eeg-eye-state,classification,catboost,0,0.75,6.932447891572508,2.70805020110221,8.0,0.42764911237908876,1.912202789309425,0.55078125,0.0,0.09863260433277375
eeg-eye-state,classification,catboost,1,0.25,6.932447891572508,2.70805020110221,8.0,0.42764911237908876,1.912202789309425,0.55078125,0.0,0.10213478963278377
satimage,classification,controlled_mlp,0,1.0,6.932447891572508,3.6109179126442243,8.0,0.5134778653038523,1.8908673528768194,0.23828125,0.0,0.0578720101214688
