dataset,model,seed,interface,representation_id,shape_match,train_relative_error,validation_relative_error,test_relative_error
visualizing_soil,catboost,0,GramAnchor-m16,gram_anchor__pivot_tie_v2__orthogonal_all__m0,True,4.2389104091526446e-16,4.270602867138593e-16,4.283139070955326e-16
visualizing_soil,catboost,0,GramAnchor-m16,gram_anchor__pivot_tie_v2__orthogonal_all__m1,True,4.019096861206911e-16,4.0320762414115577e-16,3.9525627751796593e-16
visualizing_soil,catboost,0,GramAnchor-m16,gram_anchor__pivot_tie_v2__orthogonal_all__m2,True,3.9458139198960477e-16,3.9377796998508026e-16,3.9201008404160926e-16
visualizing_soil,catboost,0,GramAnchor-m16,gram_anchor__pivot_tie_v2__orthogonal_all__m3,True,3.8395942706794526e-16,3.806176069184924e-16,3.798717151516575e-16
visualizing_soil,catboost,0,GramAnchor-m16,gram_anchor__pivot_tie_v2__orthogonal_all__m4,True,4.894271153304384e-16,4.946911738990472e-16,4.852205814094086e-16
visualizing_soil,catboost,0,GramAnchor-m16,gram_anchor__pivot_tie_v2__orthogonal_all__m5,True,3.622513189356422e-16,3.594144277968721e-16,3.628047414765584e-16
visualizing_soil,catboost,0,GramAnchor-m16,gram_anchor__pivot_tie_v2__orthogonal_all__m6,True,3.667522925339321e-16,3.747736269037193e-16,3.675753058659731e-16
visualizing_soil,catboost,0,GramAnchor-m16,gram_anchor__pivot_tie_v2__orthogonal_all__m7,True,3.765939830225145e-16,3.730100121136931e-16,3.712234750954913e-16
visualizing_soil,catboost,0,RankAdaptiveGram,rank_adaptive_gram__orthogonal_all__m0,True,5.639765504896588e-16,5.683005424096965e-16,5.774693188318097e-16
visualizing_soil,catboost,0,RankAdaptiveGram,rank_adaptive_gram__orthogonal_all__m1,True,4.759824214874673e-16,4.78612540890693e-16,4.720626413086051e-16
visualizing_soil,catboost,0,RankAdaptiveGram,rank_adaptive_gram__orthogonal_all__m2,True,4.782786763701095e-16,4.807015961563669e-16,4.787272497337503e-16
visualizing_soil,catboost,0,RankAdaptiveGram,rank_adaptive_gram__orthogonal_all__m3,True,3.8367162843000225e-16,3.8338911709583803e-16,3.8858825663428293e-16
visualizing_soil,catboost,0,RankAdaptiveGram,rank_adaptive_gram__orthogonal_all__m4,True,6.451445977713469e-16,6.518623612476414e-16,6.486234400932786e-16
visualizing_soil,catboost,0,RankAdaptiveGram,rank_adaptive_gram__orthogonal_all__m5,True,4.683286030012277e-16,4.605989346605128e-16,4.737353068667769e-16
visualizing_soil,catboost,0,RankAdaptiveGram,rank_adaptive_gram__orthogonal_all__m6,True,4.14957493789004e-16,4.211339066298829e-16,4.216759659190315e-16
visualizing_soil,catboost,0,RankAdaptiveGram,rank_adaptive_gram__orthogonal_all__m7,True,4.3472377136246386e-16,4.294624513545831e-16,4.324081997120779e-16
