dataset,problem_type,model,method,seed,alpha,disagreement_reduction,raw_loss,method_loss,trivial_loss,absolute_task_difference,relative_task_difference,safety_denominator,normalized_excess_risk,denominator_sensitive
california_housing,regression,catboost,DescriptorGate-Ridge-LODO,0.5,1.0,1.0,61622.30009083027,61723.340538375975,113685.69177493482,101.0404475457035,0.0016570782181607308,52063.39168410455,0.0019163947400576498,0.0
california_housing,regression,controlled_mlp,DescriptorGate-Ridge-LODO,0.5,0.75,0.75,64904.49143450815,64248.35159542808,113685.69177493482,-656.1398390800678,-0.010029577649322172,48781.20034042667,-0.013593292126971612,0.0
california_housing,regression,tabicl_v2,DescriptorGate-Ridge-LODO,0.5,0.75,0.75,58786.472722064536,59167.000072140894,113685.69177493482,380.52735007635783,0.006473042733409878,54899.219052870285,0.006931380020358646,0.0
california_housing,regression,tabm_d,DescriptorGate-Ridge-LODO,0.5,1.0,1.0,60985.62031566495,59699.48868807398,113685.69177493482,-1286.1316275909703,-0.021076635696647937,52700.07145926987,-0.024422280201258292,0.0
california_housing,regression,tabpfn_2_6,DescriptorGate-Ridge-LODO,0.5,1.0,1.0,53432.124091651174,54765.25657397489,113685.69177493482,1333.1324823237155,0.02534118430254727,60253.56768328365,0.02182784562120843,0.0
eeg-eye-state,classification,catboost,DescriptorGate-Ridge-LODO,0.5,0.5,0.5,0.41116599279285815,0.40974457342606974,0.6879808065690332,-0.00142141936678844,-0.0034616465334786667,0.276814813776175,-0.0051248553498697705,0.0
eeg-eye-state,classification,controlled_mlp,DescriptorGate-Ridge-LODO,0.5,0.25,0.25,0.5642735624786197,0.5336662448651301,0.6879808065690332,-0.030607317613489615,-0.05423941967962652,0.12370724409041339,-0.24747314255124914,0.0
eeg-eye-state,classification,tabicl_v2,DescriptorGate-Ridge-LODO,0.5,0.25,0.25,0.31837608883603585,0.3034188368115997,0.6879808065690332,-0.014957252024436152,-0.04697982213148914,0.3696047177329973,-0.04046823892340379,0.0
eeg-eye-state,classification,tabm_d,DescriptorGate-Ridge-LODO,0.5,0.375,0.375,0.4315605209203899,0.42758821803169056,0.6879808065690332,-0.0039723028886993195,-0.00917654692290436,0.2564202856486433,-0.01557117675911429,0.0
eeg-eye-state,classification,tabpfn_2_6,DescriptorGate-Ridge-LODO,0.5,0.375,0.375,0.2884310441540112,0.29200468739587737,0.6879808065690332,0.003573643241866181,0.012457485878050092,0.39954976241502194,0.00891356857070488,0.0
house_16H,regression,catboost,DescriptorGate-Ridge-LODO,0.5,1.0,1.0,34672.027418768936,34957.09850958623,50393.3899336474,285.0710908172914,0.008310577979001414,15721.362514878463,0.017723557890419198,0.0
house_16H,regression,controlled_mlp,DescriptorGate-Ridge-LODO,0.5,0.625,0.625,35024.80171011288,34548.46321640333,50393.3899336474,-476.33849370954704,-0.01363875715979338,15368.58822353452,-0.030795354202938365,0.0
