dataset,problem_type,model,method,alpha,raw_fallback,raw_disagreement,method_disagreement,disagreement_reduction,raw_loss,method_loss,trivial_loss,absolute_task_difference,relative_task_difference,normalized_excess_risk,denominator_sensitive,fit_seconds,predictive_rank
CPMP-2015-regression,regression,catboost,GramAnchor-m16,1.0,False,0.04435764581909295,0.0,1.0,469.66973261724377,465.401521598916,1585.5685638698344,-4.268211018327719,-0.00906837733654985,-0.0038283769656431,False,1.9351660376414657,3.0
CPMP-2015-regression,regression,catboost,PCA-canonicalization,1.0,False,0.04435764581909295,0.0,1.0,469.66973261724377,476.9174105013326,1585.5685638698344,7.24767788408883,0.015436638831180249,0.0064940834043929006,False,7.603451351402327,8.0
CPMP-2015-regression,regression,catboost,RankAdaptiveGram,1.0,False,0.04435764581909295,0.0,1.0,469.66973261724377,466.91491354139487,1585.5685638698344,-2.754819075848957,-0.0058617633211445,-0.00246938172243375,False,0.8879856311250478,6.0
CPMP-2015-regression,regression,catboost,Raw,0.0,True,0.04435764581909295,0.04435764581909295,0.0,469.66973261724377,469.66973261724377,1585.5685638698344,0.0,0.0,0.0,False,9.454719969304278,7.0
CPMP-2015-regression,regression,catboost,Raw+GramAnchor@0.5,0.5,False,0.04435764581909295,0.022178822909546453,0.5,469.66973261724377,465.92030973007934,1585.5685638698344,-3.7494228871644566,-0.00797200405742365,-0.0033620111691788496,False,11.389886006945744,4.0
CPMP-2015-regression,regression,catboost,Raw+GramAnchor@0.75,0.75,False,0.04435764581909295,0.0110894114547732,0.75,469.66973261724377,465.25471458727725,1585.5685638698344,-4.41501802996649,-0.00938468014744555,-0.0039592776796794,False,11.389886006945744,2.0
CPMP-2015-regression,regression,catboost,SafeGram-t01,0.75,False,0.04435764581909295,0.01149291637328015,0.75,469.66973261724377,465.23884990320585,1585.5685638698344,-4.430882714037892,-0.00941632408324015,-0.0039738729193765,False,11.389886006945744,1.0
CPMP-2015-regression,regression,catboost,SafeRankGram-t01,0.875,False,0.04435764581909295,0.00574645818664005,0.875,469.66973261724377,466.8396166142741,1585.5685638698344,-2.8301160029696746,-0.006022819740413099,-0.00253672839990455,False,10.342705600429326,5.0
CPMP-2015-regression,regression,controlled_mlp,GramAnchor-m16,1.0,False,0.0633876987324591,0.0,1.0,469.70525342509086,474.7012160077229,1585.5685638698344,4.995962582632046,0.01074604187397085,0.00445796416463435,False,0.16733733995351935,7.0
CPMP-2015-regression,regression,controlled_mlp,PCA-canonicalization,1.0,False,0.0633876987324591,0.0,1.0,469.70525342509086,462.3952470028621,1585.5685638698344,-7.310006422228696,-0.015619004647676349,-0.0065413169187201,False,0.3937009505461901,3.0
CPMP-2015-regression,regression,controlled_mlp,RankAdaptiveGram,1.0,False,0.0633876987324591,0.0,1.0,469.70525342509086,614.9452043023243,1585.5685638698344,145.2399508772335,0.30958678283200874,0.13009854702004664,False,0.3162044879281893,8.0
CPMP-2015-regression,regression,controlled_mlp,Raw,0.0,True,0.0633876987324591,0.0633876987324591,0.0,469.70525342509086,469.70525342509086,1585.5685638698344,0.0,0.0,0.0,False,5.325079138274305,5.5
CPMP-2015-regression,regression,controlled_mlp,Raw+GramAnchor@0.5,0.5,False,0.0633876987324591,0.03169384936622955,0.5,469.70525342509086,452.10927543194384,1585.5685638698344,-17.595977993146988,-0.0373997352758776,-0.01578054540859225,False,5.492416478227824,1.0
CPMP-2015-regression,regression,controlled_mlp,Raw+GramAnchor@0.75,0.75,False,0.0633876987324591,0.01584692468311475,0.75,469.70525342509086,458.5038257275062,1585.5685638698344,-11.201427697584649,-0.02375934600735635,-0.01005441561396985,False,5.492416478227824,2.0
CPMP-2015-regression,regression,controlled_mlp,SafeGram-t01,0.875,False,0.0633876987324591,0.00714001957593375,0.875,469.70525342509086,466.0544509496063,1585.5685638698344,-3.6508024754845394,-0.0078136123699413,-0.00326458100029195,False,5.492416478227824,4.0
