method,units,datasets,model_families,successful_model_families,median_disagreement_reduction,median_reduction_ci_low,median_reduction_ci_high,median_C,median_C_ci_low,median_C_ci_high,p90_C,p95_C,max_C,task_improvement_fraction,wins,ties,losses,raw_fallback_rate,alpha_0_fraction,alpha_025_fraction,alpha_05_fraction,alpha_075_fraction,alpha_1_fraction,catastrophic_fixed_cells_prevented_fraction,safety_first_eligible
GramAnchor-m16,27,10,3,0,1.0,1.0,1.0,0.01481447721014725,-0.05724912689552282,0.03561487329852375,0.1008776142741328,0.1475917693441896,0.1904344976619443,0.25925925925925924,7,0,20,0.0,0.0,0.0,0.0,0.0,1.0,,False
PCA-canonicalization,27,10,3,0,1.0,1.0,1.0,0.01318845033231405,-0.0275854393466412,0.0874495312609341,0.19039897566797245,0.3309621590057628,0.4068047891710253,0.37037037037037035,10,0,17,0.0,0.0,0.0,0.0,0.0,1.0,,False
RankAdaptiveGram,27,10,3,2,1.0,1.0,1.0,0.005521067337475949,-0.06312818219039465,0.007549717559661174,0.08706192869083655,0.1177941628368874,0.24200604718808705,0.2962962962962963,8,0,19,0.0,0.0,0.0,0.0,0.0,1.0,,False
Raw,27,10,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,27,0,1.0,1.0,0.0,0.0,0.0,0.0,,True
Raw+GramAnchor@0.5,27,10,3,0,0.5,0.499999999840394,0.5,-0.0017298751526250498,-0.11002108934062295,0.0023402291189607,0.013504020871171751,0.02973969557249107,0.07514558026780946,0.5555555555555556,15,1,11,0.0,0.0,0.0,1.0,0.0,0.0,,True
Raw+GramAnchor@0.75,27,10,3,2,0.75,0.7499999998802951,0.7500000000000003,0.00215405450441005,-0.08835808623869515,0.013225303467607724,0.039693642642229035,0.052016848811695604,0.1278283978301635,0.4074074074074074,11,0,16,0.0,0.0,0.0,0.0,1.0,0.0,,False
SafeGram-t01,27,10,3,1,0.37500000145128953,0.0,0.875,0.0,-0.003999327851676325,0.0006112025912355,0.008655356512075147,0.016570916963209895,0.027642780282865,0.37037037037037035,10,8,9,0.35,0.35,0.13333333333333333,0.08333333333333333,0.06666666666666667,0.36666666666666664,,True
SafeRankGram-t01,27,10,3,1,0.5,0.25000000013548784,0.875,-0.0024467860146978,-0.03000454707197195,0.0014218449924665749,0.004952710037386411,0.005118722952415715,0.0095783677818464,0.5185185185185185,14,3,10,0.26666666666666666,0.26666666666666666,0.2,0.11666666666666667,0.08333333333333333,0.3333333333333333,,True
