method,gate_family,units,datasets,model_families,median_alpha,median_disagreement_reduction,median_C,p90_C,p95_C,max_C,raw_fallback_rate,task_improvement_fraction
G1-point-t01,G1,40,8,5,0.875,0.875,0.0,0.008054360553306897,0.0221365261283278,0.03693828793667648,0.225,0.475
G2-oneSE-t01,G2,40,8,5,0.375,0.3749999999999999,-0.0005245260450001685,0.004426707082218747,0.007610275366603995,0.012021487764941045,0.375,0.525
G3-validation-min,G3,40,8,5,0.3125,0.3124999976803368,-0.0008555349888332707,0.003401752154230398,0.005784840995419229,0.02292235751157026,0.45,0.525
G4-constrained-0.001,G4,40,8,5,0.375,0.37499999998006783,-0.0018411727372805065,0.003401752154230398,0.005784840995419229,0.02292235751157026,0.375,0.55
G4-constrained-0.01,G4,40,8,5,0.625,0.6250000004932682,-0.0008155355362901819,0.005283307997187947,0.013969029855067575,0.03117724158145481,0.275,0.55
G4-constrained-0.05,G4,40,8,5,1.0,1.0,0.0,0.0231569440113941,0.037564623656617335,0.04529965442099576,0.125,0.425
GramAnchor,fixed,40,8,5,1.0,1.0,0.0010804345566199365,0.049156328818366075,0.06974273816360231,0.6336289967048432,0.0,0.425
Raw,fixed,40,8,5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Raw+GramAnchor@0.5,fixed,40,8,5,0.5,0.5,-0.005811890462460553,0.016744149558635072,0.02000461997984502,0.08605379022142964,0.0,0.7
Raw+GramAnchor@0.75,fixed,40,8,5,0.75,0.75,-0.002849188088185268,0.028788008757969805,0.03941794422207742,0.15975253776842413,0.0,0.6
SafeGram-t0,SafeGram,40,8,5,0.0,0.0,0.0,0.0,3.3654474308154574e-05,0.0031165532269801987,0.825,0.275
SafeGram-t005,SafeGram,40,8,5,0.125,0.12499999985493598,0.0,0.001532740355497649,0.003720007101217913,0.005988462484322166,0.55,0.35
SafeGram-t01,SafeGram,40,8,5,0.25,0.25000000018815216,0.0,0.0033431219456189873,0.004351850582622523,0.0076048343480971375,0.475,0.425
SafeGram-t02,SafeGram,40,8,5,0.4375,0.43750000063609573,-0.0013803755069486333,0.004609778109533397,0.008079928362049115,0.01810799526232857,0.325,0.525
