dataset,seed,relative_proper_loss_reduction
australian_credit_approval,0,-0.031149767761601672
australian_credit_approval,1,0.0
australian_credit_approval,2,0.012390503799906754
bank_marketing_subscription,0,0.0
bank_marketing_subscription,1,0.0
bank_marketing_subscription,2,0.0022277916461162996
compustat_kor_direction,0,0.0014562686892529496
compustat_kor_direction,1,-0.001160001617018803
compustat_kor_direction,2,0.0
covtype_extension,0,0.019204507186075137
covtype_extension,1,0.01268496880548245
covtype_extension,2,0.0
credit_card_default,0,0.0
credit_card_default,1,0.005962250570701521
credit_card_default,2,0.0
credit_card_fraud,0,0.07129194874075881
credit_card_fraud,1,0.0
credit_card_fraud,2,0.0
fb_comments_extension,0,0.0
fb_comments_extension,1,0.013632141581000406
fb_comments_extension,2,-0.004110880273228389
fremtpl_claim_count,0,0.0
fremtpl_claim_count,1,0.0
fremtpl_claim_count,2,0.0027008534311608757
german_credit_risk,0,-0.006107184888816821
german_credit_risk,1,0.0
german_credit_risk,2,-0.004037988879218086
gesture_extension,0,0.0
gesture_extension,1,0.004272596728012904
gesture_extension,2,0.009005714951193832
heloc_credit_risk,0,0.0025015324742549685
heloc_credit_risk,1,0.0005641550358920147
heloc_credit_risk,2,0.0
jannis_extension,0,0.0
jannis_extension,1,0.0
jannis_extension,2,0.0016630095204194617
kdd17_stock_direction,0,0.0
kdd17_stock_direction,1,-0.0012988188035359292
kdd17_stock_direction,2,0.0004148505877915009
kdd17_stock_return,0,0.013688386458593375
kdd17_stock_return,1,0.0
kdd17_stock_return,2,0.0
lendingclub_loan_default,0,0.00496366975237373
lendingclub_loan_default,1,-0.00010854654814044108
lendingclub_loan_default,2,0.0
polish_bankruptcy_1year,0,0.0
polish_bankruptcy_1year,1,0.01316059864987174
polish_bankruptcy_1year,2,0.02615322369508109
polish_bankruptcy_2year,0,0.03984410542041586
polish_bankruptcy_2year,1,0.0
polish_bankruptcy_2year,2,-0.009178425214561688
polish_bankruptcy_3year,0,0.008424495067935635
polish_bankruptcy_3year,1,0.0
polish_bankruptcy_3year,2,0.055066526376588334
polish_bankruptcy_4year,0,0.014948899132786703
polish_bankruptcy_4year,1,0.0
polish_bankruptcy_4year,2,0.025899347842006062
polish_bankruptcy_5year,0,-0.01840385972497415
polish_bankruptcy_5year,1,-0.007556497425930981
polish_bankruptcy_5year,2,0.0
santander_extension,0,0.0
santander_extension,1,-0.000500291763259116
santander_extension,2,0.0046195280408660696
