dataset,task,selected_relative_proper_loss_reduction,orbit_relative_proper_loss_reduction,selected_official_gain,activations,paired_wins
australian_credit_approval,binclass,0.03222921670411398,0.03222921670411398,2.884615384615382,3,3
bank_marketing_subscription,binclass,0.001520838210657826,0.001520838210657826,-0.054072653984171826,3,2
compustat_kor_direction,binclass,0.00017269122771520202,0.00037757417118682626,-0.034999999999999844,2,2
covtype_extension,multiclass,0.0027460018335703925,-7.545414745782052e-05,0.010000000000002599,2,2
credit_card_default,binclass,0.002631681785483647,0.0020340848490709262,0.08886914019106869,2,2
credit_card_fraud,binclass,0.0012744277969150574,-6.322987327090952e-05,0.0,2,2
fb_comments_extension,regression,0.01689516121191394,0.012585863046765892,0.8504440102712133,2,2
fremtpl_claim_count,regression,0.0024857709677165558,0.0024857709677165558,0.12438841732559909,3,3
german_credit_risk,binclass,0.010443560113117605,0.010443560113117605,1.3333333333333346,3,3
gesture_extension,multiclass,0.0,0.0,0.0,0,0
heloc_credit_risk,binclass,0.0053419109377878275,0.0053419109377878275,0.5880969183721496,3,3
jannis_extension,multiclass,0.0005214565146603023,0.0005214565146603023,0.051750562289765156,3,3
kdd17_stock_direction,binclass,0.00010724627489131889,0.00013046872282875184,-0.023550724637681302,2,1
kdd17_stock_return,regression,0.0,-1.8378580649514194e-05,0.0,0,0
lendingclub_loan_default,binclass,0.003283387309449597,0.003283387309449597,0.06958942240779346,3,3
polish_bankruptcy_1year,binclass,0.0,-0.008257890655242055,0.0,0,0
polish_bankruptcy_2year,binclass,0.04526157554560542,0.04526157554560542,0.04374453193352057,3,3
polish_bankruptcy_3year,binclass,0.09417037966826115,0.09417037966826115,0.25332488917035506,3,3
polish_bankruptcy_4year,binclass,0.0002733667003613608,-0.01949164807160019,0.02258355916892052,1,1
polish_bankruptcy_5year,binclass,0.012294240761845208,0.0045602926102071215,0.0,2,1
santander_extension,binclass,0.0,0.0,0.0,0,0
