hypothesis,dataset,task,seed,arm,budget_per_numeric,input_features,split_fingerprint,parameters,best_epoch,epochs_trained,train_seconds,val_proper_loss,val_metric,val_member_loss_mean,val_member_loss_std,val_ensemble_gain_vs_mean_member,val_member_disagreement,val_member_prediction_correlation,val_roc_auc,val_accuracy,test_proper_loss,test_metric,test_member_loss_mean,test_member_loss_std,test_ensemble_gain_vs_mean_member,test_member_disagreement,test_member_prediction_correlation,test_roc_auc,test_accuracy,val_rmse,test_rmse
selective_measure_orbit,bank_marketing_subscription,binclass,0,baseline_tabm,128,809,ee58e1df725c42ca,110728,28,30,19.605288450838998,0.2846610073479318,0.8925254312251216,0.28509382215635515,0.0003672931050168135,0.0015181486752314174,0.010766102001070976,0.9948336725881537,0.8032306892319482,0.8925254312251216,0.28526766892582484,0.8951482082288748,0.28571657695388464,0.0005012902773790959,0.001571165498501185,0.011022313497960567,0.9946318161930863,0.7983706511042609,0.8951482082288748,,
selective_measure_orbit,bank_marketing_subscription,binclass,0,measure_orbit_tabm,128,809,ee58e1df725c42ca,110728,28,30,19.223721173824742,0.2834314382500644,0.8926728586171311,0.28562025718944384,0.0018203675799129866,0.007663388307670568,0.022515086457133293,0.9741200598521252,0.8063733797607192,0.8926728586171311,0.2838765046774759,0.8954431499778793,0.286180146654543,0.0015951212638393867,0.008049621904233332,0.023137811571359634,0.972895542821497,0.7978723001431733,0.8954431499778793,,
selective_measure_orbit,bank_marketing_subscription,binclass,1,baseline_tabm,128,809,ee58e1df725c42ca,110728,21,27,17.04863828094676,0.2865202844020765,0.8922305764411027,0.2867615668484619,0.0005025762323416741,0.0008414044079794252,0.008196579292416573,0.9968307585991733,0.798901068826354,0.8922305764411027,0.28626990340129665,0.8921987907388291,0.2865090211324395,0.0002502721583492504,0.0008345905835624322,0.008186900988221169,0.9968179748797736,0.7957589891448265,0.8921987907388291,,
selective_measure_orbit,bank_marketing_subscription,binclass,1,measure_orbit_tabm,128,809,ee58e1df725c42ca,110728,21,27,16.882029814179987,0.28439293412911437,0.8922305764411027,0.2860103971438188,0.0010045341304297669,0.00565525949705637,0.02031792141497135,0.9791171664031848,0.8029650089367105,0.8922305764411027,0.28470554029818085,0.8921987907388291,0.28632107390164874,0.0014852783293349632,0.005642384549112248,0.02038669027388096,0.9793666862088907,0.796700470667134,0.8921987907388291,,
selective_measure_orbit,bank_marketing_subscription,binclass,2,baseline_tabm,128,809,ee58e1df725c42ca,110728,23,29,17.79680707398802,0.28693860786842745,0.8931151407931593,0.2872326408271709,0.0004359620964463264,0.0010236752964312087,0.008788248524069786,0.996350728179518,0.7978044534080551,0.8931151407931593,0.28590460481602015,0.8954431499778793,0.28619570916553205,0.00034035915285948195,0.0010171513415092284,0.008813858963549137,0.9963713166380533,0.7962476633882227,0.8954431499778793,,
selective_measure_orbit,bank_marketing_subscription,binclass,2,measure_orbit_tabm,128,809,ee58e1df725c42ca,110728,24,30,19.623645514948294,0.2847308318928105,0.8911985846970367,0.2875851431788161,0.0026507847176231634,0.00992509993546794,0.026812205091118813,0.9740142042995821,0.8055506550429783,0.8911985846970367,0.287556798141882,0.8935260286093496,0.29028006234213977,0.0031953244602096692,0.009381506185044054,0.026709463447332382,0.9742257879998978,0.7961645698341369,0.8935260286093496,,
selective_measure_orbit,credit_card_default,binclass,0,baseline_tabm,44,1035,bb6c2176954b57c7,125192,18,24,11.630758933955804,0.43573465068768064,0.8135555555555556,0.43585532663909293,0.00023139938209155254,0.00027687157649956113,0.006215403787791729,0.9988722770337969,0.7777137373695697,0.8135555555555556,0.44278333982121293,0.8144856698511442,0.44290390881217956,0.00033726734518152733,0.0002722238132645581,0.0061976793222129345,0.9989059181015366,0.7610777790836671,0.8144856698511442,,
selective_measure_orbit,credit_card_default,binclass,0,measure_orbit_tabm,44,1035,bb6c2176954b57c7,125192,11,17,7.837884041946381,0.434436994672405,0.8128888888888889,0.4394436986400895,0.003993548227285524,0.01139327741683025,0.03989279270172119,0.9677688678672974,0.779018327877721,0.8128888888888889,0.4414296763404781,0.8162630526549656,0.4466022581099269,0.0037632563719304504,0.011582077061902384,0.03992156311869621,0.968920408417263,0.7631147752453081,0.8162630526549656,,
selective_measure_orbit,credit_card_default,binclass,1,baseline_tabm,44,1035,bb6c2176954b57c7,125192,13,19,9.121536216931418,0.4360018691988778,0.8126666666666666,0.43612058652336294,0.00022206765994406378,0.000272212154513352,0.006207502447068691,0.9989073493819987,0.7765267691771653,0.8126666666666666,0.4430578398447262,0.8135969784492335,0.44317349254117977,0.000334224526372857,0.000260964832960619,0.006192201282829046,0.9989374099244134,0.7604176042792399,0.8135969784492335,,
selective_measure_orbit,credit_card_default,binclass,1,measure_orbit_tabm,44,1035,bb6c2176954b57c7,125192,13,19,9.68696902692318,0.434198928509927,0.8148888888888889,0.4371962541435873,0.005050406802197881,0.006855789831803859,0.03181033208966255,0.9720106450145481,0.7785587269167997,0.8148888888888889,0.440914380777306,0.8144856698511442,0.4439761830668932,0.006393155052923705,0.006896321033342171,0.03154798224568367,0.9731969230473757,0.76291726745536,0.8144856698511442,,
