hypothesis,dataset,task,seed,arm,budget_per_numeric,input_features,split_fingerprint,parameters,best_epoch,epochs_trained,train_seconds,val_proper_loss,val_metric,val_member_loss_mean,val_member_loss_std,val_ensemble_gain_vs_mean_member,val_member_disagreement,val_member_prediction_correlation,val_roc_auc,val_accuracy,test_proper_loss,test_metric,test_member_loss_mean,test_member_loss_std,test_ensemble_gain_vs_mean_member,test_member_disagreement,test_member_prediction_correlation,test_roc_auc,test_accuracy,val_rmse,test_rmse
selective_measure_orbit,australian_credit_approval,binclass,0,baseline_tabm,128,800,4b9482ae7f627171,110152,24,30,0.45974526717327535,0.44066919043066327,0.7884615384615384,0.44142113132542615,0.0031162029774377377,0.0017034546862427678,0.0140290642157197,0.9986205085416275,0.8699400299850074,0.7884615384615384,0.44538409608179097,0.7980769230769231,0.44616988085268217,0.003109821071773717,0.001761178431384634,0.014737318269908428,0.9984956463102369,0.8712206047032476,0.7980769230769231,,
selective_measure_orbit,australian_credit_approval,binclass,0,measure_orbit_tabm,128,800,4b9482ae7f627171,110152,30,30,0.2600801009684801,0.4281869187953714,0.7884615384615384,0.44250847216562317,0.012263236503797032,0.032364472707522435,0.06537412106990814,0.9551820840612752,0.8703148425787107,0.7884615384615384,0.43459171777757416,0.8269230769230769,0.44483477436257973,0.043753261484932776,0.023026654334034988,0.07073957473039627,0.9441524292992645,0.8645016797312429,0.8269230769230769,,
selective_measure_orbit,australian_credit_approval,binclass,1,baseline_tabm,128,800,4b9482ae7f627171,110152,23,29,0.35518347402103245,0.4356910714348039,0.7692307692307693,0.4365629469396065,0.0029818477767834597,0.0019971358332506964,0.016468470916152,0.9980625095557932,0.8721889055472264,0.7692307692307693,0.4592577072394496,0.7884615384615384,0.4601302173414239,0.0025758343573200853,0.0018962243058401327,0.016113080084323883,0.9978921540116064,0.8667413213885778,0.7884615384615384,,
selective_measure_orbit,australian_credit_approval,binclass,1,measure_orbit_tabm,128,800,4b9482ae7f627171,110152,30,30,0.39233024697750807,0.4248272860271447,0.7980769230769231,0.4371511465629131,0.018081933854759463,0.028191303242972948,0.060963183641433716,0.9607760142222175,0.8744377811094454,0.7980769230769231,0.44024353434787733,0.8269230769230769,0.4495223775801338,0.04182576745542623,0.020641560231564635,0.0679493173956871,0.9462694059271785,0.8652482269503546,0.8269230769230769,,
selective_measure_orbit,australian_credit_approval,binclass,2,baseline_tabm,128,800,4b9482ae7f627171,110152,23,29,0.27092370204627514,0.4436090120904626,0.7788461538461539,0.4445315059185689,0.0028886761140669323,0.002075204604902089,0.01549476943910122,0.9984605201555846,0.8673163418290855,0.7788461538461539,0.45097186468481926,0.8173076923076923,0.45205441123105927,0.0025278471575489853,0.002394726208493277,0.016368834301829338,0.9982011058297443,0.8704740574841358,0.8173076923076923,,
selective_measure_orbit,australian_credit_approval,binclass,2,measure_orbit_tabm,128,800,4b9482ae7f627171,110152,30,30,0.2589965120423585,0.42774891086997,0.8076923076923077,0.442345479587544,0.012395736276674528,0.03299811887121407,0.06482052057981491,0.955784783868243,0.8725637181409296,0.8076923076923077,0.4369673565164008,0.8365384615384616,0.4472004399460888,0.04553700115334066,0.022882543297411927,0.07097623497247696,0.9418424784658737,0.8686076894363568,0.8365384615384616,,
selective_measure_orbit,compustat_kor_direction,binclass,0,baseline_tabm,37,1413,b899ebd561dc724d,149384,5,11,14.580138718010858,0.684756344651125,0.56525,0.6847973893646113,0.00011226223241568222,5.9937018049088895e-05,0.004456295631825924,0.9773773068850288,0.5112173631054913,0.56525,0.6894508432675518,0.5482,0.6894913849727784,0.0001666718898230029,5.879943696208039e-05,0.004420658573508263,0.9809766877339804,0.5099165032993703,0.5482,,
selective_measure_orbit,compustat_kor_direction,binclass,0,measure_orbit_tabm,37,1413,b899ebd561dc724d,149384,3,9,12.009922297904268,0.684769518243282,0.5665,0.6848302905402543,9.315750068810034e-05,8.874066730369038e-05,0.005454781465232372,0.9666662379133549,0.510110359654981,0.5665,0.6890270731131088,0.548,0.6890881710208094,0.00016804552325851483,8.8664862161371e-05,0.005456175189465284,0.9707650868484423,0.5102576172038813,0.548,,
selective_measure_orbit,compustat_kor_direction,binclass,1,baseline_tabm,37,1413,b899ebd561dc724d,149384,1,7,9.325075790053234,0.6846906330821638,0.56685,0.6847579946740054,0.00024787378461211385,9.837284466271661e-05,0.005705925170332193,0.9576050149278429,0.5068886799065182,0.56685,0.6884468175917222,0.5498,0.688512360534258,0.00025370542092387785,9.519501216353251e-05,0.00562119809910655,0.9600354563563188,0.5135118749615182,0.5498,,
selective_measure_orbit,compustat_kor_direction,binclass,1,measure_orbit_tabm,37,1413,b899ebd561dc724d,149384,1,7,9.03133449703455,0.6846864668850045,0.56685,0.6847629874212833,0.00015023766685196157,0.0001117474771336409,0.006085511762648821,0.9436514355837521,0.5069875421371048,0.56685,0.6882571663726014,0.5498,0.6883298800883293,0.00021000738092633966,0.0001056378893773905,0.005929505918174982,0.9444489943987321,0.5134751203498902,0.5498,,
