dataset,nll_tabpfn_independent,nll_tabpfn_projective,crps_tabpfn_independent,crps_tabpfn_projective,coverage90_tabpfn_independent,coverage90_tabpfn_projective,nll_advantage,crps_advantage,coverage_error_change
abalone,1.5535850633664376,1.556068542718033,0.668950587609308,0.6693916585439318,0.8802083333333334,0.8821614583333334,-0.002483479351595319,-0.00044107093462375513,-0.001953125
bike_sharing,1.970455501210597,1.970455501210597,0.9839310775257584,0.9839310775257584,0.8984375,0.8984375,0.0,0.0,0.0
cpu_act,1.9718587918789616,1.9701508832643428,1.2887589581528174,1.2865276482754184,0.9505208333333334,0.9518229166666666,0.0017079086146187805,0.002231309877398946,0.0013020833333332593
elevators,1.5443751351290758,1.5384033737703986,0.6626687679637325,0.6568160130424135,0.9453125,0.9446614583333334,0.005971761358677163,0.005852754921318981,-0.0006510416666666297
fremtpl_claim_count,12234.427773139643,12234.29271741573,13.827399403416358,11.536126772311471,0.9016927083333334,0.9016927083333334,0.13505572391295573,2.2912726311048868,0.0
kdd17_stock_return,1.653920323990192,1.6549174382639524,0.7876562156588447,0.787185506220181,0.9212239583333334,0.921875,-0.0009971142737603689,0.00047070943866367454,0.0006510416666666297
kin8nm,1.5092589829149852,1.5093345174914694,0.6985190604945083,0.6983538521638759,0.9069010416666666,0.9049479166666666,-7.553457648423745e-05,0.0001652083306323826,-0.001953125
pol,1.701075446888943,1.6888848388038051,0.773023094585434,0.7706292334512489,0.8671875,0.8665364583333334,0.012190608085137944,0.002393861134185049,0.0006510416666666297
puma32h,1.6427876838637194,1.6371143997352255,0.7956341589438494,0.7940114401593146,0.912109375,0.912109375,0.005673284128493883,0.0016227187845347935,0.0
sulfur,1.6861053178005296,1.6717124901780125,0.9100406613644679,0.9100920676841068,0.9427083333333334,0.9375,0.014392827622517146,-5.140631963884701e-05,-0.00520833333333337
superconduct,1.5977946996323222,1.5985401775481936,0.6544403864197285,0.6525957491432471,0.9205729166666666,0.9173177083333334,-0.0007454779158713176,0.0018446372764813201,-0.0032552083333332593
wine_quality,1.730537424624777,1.730537424624777,0.7995574296341137,0.7995574296341137,0.9108072916666666,0.9108072916666666,0.0,0.0,0.0
