query_family,model,rmse,nll,crps,coverage90
dense,bayes_linear,0.9404299442410564,36.01603300317348,0.8551116073502971,0.9010416666666666
dense,gp_rbf,0.9608680584801496,1.619696027718458,0.8195160517674895,0.904296875
dense,neural_direct,1.0220794303003518,1.6264910793058878,0.6232640669598523,0.943359375
dense,neural_projective,0.9640756498814432,1.478696209425483,0.5494417573437137,0.9027777777777778
dense,tabicl_independent,0.9645379331325168,2.626839640704415,1.0654435166124672,0.9503038194444444
dense,tabpfn_independent,0.8937280345432492,1309.6101690561618,1.44405669512955,0.9147135416666666
dense,tabpfn_projective,0.8937280345432492,1309.5936843999536,1.324683773552126,0.9125434027777778
difference,bayes_linear,1.264816651317891,44.64965088836711,1.14431895658183,0.921875
difference,gp_rbf,1.2614166337858133,1.8766953109707063,1.0799244052325294,0.9259982638888888
difference,neural_direct,1.3739985799121024,1.9220529978306478,0.8356572329691727,0.9665798611111112
difference,neural_projective,1.293703960612667,1.7496231992196831,0.7131638407411168,0.9129774305555556
difference,tabicl_independent,1.2909974000637647,5.533868098220757,1.309703636592761,0.951171875
difference,tabpfn_independent,1.2153909024625649,1193.4716010909224,1.9621977500961125,0.9290364583333334
difference,tabpfn_projective,1.2153909024625649,1193.423558482235,1.2512273940933225,0.9273003472222222
point,bayes_linear,0.9040343565988133,38.61718868780257,0.8207518386885821,0.9283854166666666
point,gp_rbf,0.8977936654821372,1.7743789701048316,0.7803295079661909,0.921875
point,neural_direct,0.9679480588340681,1.5901170799950872,0.6008195943731124,0.9709201388888888
point,neural_projective,0.9066977125654437,1.3957166356710857,0.5064414679902121,0.9225260416666666
point,tabicl_independent,0.9265783212937649,33.92989789317974,0.9050722097831159,0.9279513888888888
point,tabpfn_independent,0.8409683179317836,1154.6719646706601,1.3545461648551056,0.9236111111111112
point,tabpfn_projective,0.8409683179317836,1154.671774582426,1.354244314791565,0.9233940972222222
scaled_dense,bayes_linear,2.2471192726470255,36.87009000989136,2.0328919932855563,0.9010416666666666
scaled_dense,gp_rbf,2.2984197708771337,2.4737530344363408,1.9497898222465126,0.904296875
scaled_dense,neural_direct,2.446616641702317,3.2401293820635932,1.4179407504803718,0.8194444444444444
scaled_dense,neural_projective,2.3103000051396654,2.3327532161433653,1.3061171152242388,0.9027777777777778
scaled_dense,tabicl_independent,2.304540408871746,3.480896647422297,2.5317370983268885,0.9503038194444444
scaled_dense,tabpfn_independent,2.1388312895044335,1310.4642260628798,3.4424707592427164,0.9147135416666666
scaled_dense,tabpfn_projective,2.1388312895044335,1310.4477414066716,3.169866609318749,0.9125434027777778
subset,bayes_linear,0.5329424655993638,31.080469202104993,0.4612678558239829,0.8973524305555556
subset,gp_rbf,0.542864429607363,1.0021124612336356,0.44813982311563044,0.8969184027777778
subset,neural_direct,0.574309747845271,1.0188317408268879,0.35023977430545306,0.9724392361111112
subset,neural_projective,0.5468611861091129,0.8619544307001643,0.307358908647913,0.9092881944444444
subset,tabicl_independent,0.5742041395823256,2.325873763956597,0.550418862423192,0.9405381944444444
subset,tabpfn_independent,0.5168957574393845,270.7838462936841,0.7681347294545944,0.8940972222222222
subset,tabpfn_projective,0.5168957574393845,270.8079613789194,1.10262837242083,0.8975694444444444
