dataset,bayes_linear,gp_rbf,neural_direct,neural_projective,tabicl_independent,tabpfn_independent,tabpfn_projective
abalone,0.8397876892779963,0.9640418584883621,1.0229627936824783,0.9003094865600784,0.8420654889388315,0.7936122246500036,0.7936122246500036
bike_sharing,1.0046516328085253,1.0358910286745637,1.0541581285524075,0.9894704548252351,0.9549986492484096,0.9343159982263266,0.9343159982263266
cpu_act,0.5792922990586802,0.5137352296758718,0.7496394881198395,0.6487774424435243,0.5719918721163445,0.4522444513301735,0.4522444513301735
elevators,0.8215031097987882,0.8402508021204658,0.9619063649175018,0.8687166957071254,0.8465901834657976,0.758748977577628,0.758748977577628
fremtpl_claim_count,1.1151961288985341,1.125478845126471,1.1073784935256648,1.1147887668477656,1.5185771748046966,1.1215901083650888,1.1215901083650888
kdd17_stock_return,0.9818859848084709,0.9155444840850334,0.9013221391480152,0.9162992801387402,1.111560605967835,0.9983050892196924,0.9983050892196924
kin8nm,0.9430920418780494,0.926694485927067,0.9582943686166524,0.8408831045110351,0.939426082736901,0.8561912387508891,0.8561912387508891
pol,1.14528915124484,0.9618119013316093,1.1048102122561299,1.1502853698446944,0.8955669812806425,0.9874875916380911,0.9874875916380911
puma32h,1.004981813797254,1.0032105334312993,1.000965245599662,0.9975250867740248,1.071466386308251,0.9559133373142834,0.9559133373142834
sulfur,0.6741744349035942,0.6499669359362913,0.7389953512103284,0.6538882033498354,0.6060479647222077,0.5428833497023867,0.5428833497023867
superconduct,0.7759139717962963,0.8658506644359997,1.0298745293070197,0.8189829572651711,0.7281955774559635,0.7330518205166857,0.7330518205166857
wine_quality,0.9626440209147309,0.9710472165526117,0.9850695910731172,0.9804457025180948,1.0324528884793,0.9572756278901545,0.9572756278901545
