dataset,split_seed,model,variance_temperature,rho,validation_nll
fremtpl_claim_count,20260921,neural_projective,1.8455215635098452,,1.4286610581805934
fremtpl_claim_count,20260921,neural_direct,3.47518679475927,,1.765836342042506
fremtpl_claim_count,20260921,bayes_linear,1000.0,,217.7984099895988
fremtpl_claim_count,20260921,gp_rbf,1000.0,,4.079181766132388
fremtpl_claim_count,20260921,tabpfn_independent,1000.0,0.0,7928.465415178737
fremtpl_claim_count,20260921,tabpfn_projective,1000.0,1.0,7928.241578723168
fremtpl_claim_count,20260921,tabicl_independent,1000.0,,9.178258027595016
fremtpl_claim_count,20260922,neural_projective,3.452527215820382,,1.7851465436112606
fremtpl_claim_count,20260922,neural_direct,3.6192157358415287,,1.8508779124130703
fremtpl_claim_count,20260922,bayes_linear,1000.0,,822.7570412455261
fremtpl_claim_count,20260922,gp_rbf,1000.0,,4.889058701759138
fremtpl_claim_count,20260922,tabpfn_independent,1000.0,0.0,24140.64588456187
fremtpl_claim_count,20260922,tabpfn_projective,1000.0,1.0,24140.543434847285
fremtpl_claim_count,20260922,tabicl_independent,1000.0,,35.93882719397287
fremtpl_claim_count,20260923,neural_projective,1.1040509687078175,,1.4199926296273522
fremtpl_claim_count,20260923,neural_direct,1.7841412702738046,,1.6682067008065538
fremtpl_claim_count,20260923,bayes_linear,0.636369456650572,,1.413906482936601
fremtpl_claim_count,20260923,gp_rbf,0.640786109812017,,1.4162909841730436
fremtpl_claim_count,20260923,tabpfn_independent,0.8804589629775776,0.0,1.690861913689036
fremtpl_claim_count,20260923,tabpfn_projective,0.8804589629775776,0.0,1.690861913689036
fremtpl_claim_count,20260923,tabicl_independent,96.6847212188301,,3.1910431188973094
kdd17_stock_return,20260921,neural_projective,2.5991011435947637,,1.5375689537139308
kdd17_stock_return,20260921,neural_direct,6.379351544306165,,2.0323589568139555
kdd17_stock_return,20260921,bayes_linear,2.853776149436258,,1.564894938634621
kdd17_stock_return,20260921,gp_rbf,2.2582111048742064,,1.522421064081652
kdd17_stock_return,20260921,tabpfn_independent,1.3563109784245777,0.0,1.6700999400930374
kdd17_stock_return,20260921,tabpfn_projective,1.3481252812966655,0.25,1.6700568556974562
kdd17_stock_return,20260921,tabicl_independent,2.631399244349668,,1.718337568486099
kdd17_stock_return,20260922,neural_projective,3.104767909162553,,1.4606391709164808
kdd17_stock_return,20260922,neural_direct,4.623307557659821,,1.7057757650243457
kdd17_stock_return,20260922,bayes_linear,6.130305277811934,,1.570380365003644
kdd17_stock_return,20260922,gp_rbf,3.2686392769437886,,1.5158246196397371
kdd17_stock_return,20260922,tabpfn_independent,1.369312502705028,0.0,1.6371844921262366
kdd17_stock_return,20260922,tabpfn_projective,1.3759004829100898,0.25,1.6362415891666051
kdd17_stock_return,20260922,tabicl_independent,3.7883990311129656,,1.6716686959371667
kdd17_stock_return,20260923,neural_projective,1.7054632676222985,,1.4432681121814857
kdd17_stock_return,20260923,neural_direct,2.9627665939963266,,1.763929362373655
kdd17_stock_return,20260923,bayes_linear,2.67152230892063,,1.558539957179055
kdd17_stock_return,20260923,gp_rbf,2.376946170311535,,1.5072815707121625
kdd17_stock_return,20260923,tabpfn_independent,0.3028429743161241,0.0,1.7002012228876004
kdd17_stock_return,20260923,tabpfn_projective,0.3028429743161241,0.0,1.7002012228876004
kdd17_stock_return,20260923,tabicl_independent,1.701032185583586,,1.7151866080260896
abalone,20260921,neural_projective,0.6554103203184292,,1.3080959750491623
abalone,20260921,neural_direct,1.2054341476767356,,1.6715539252474725
abalone,20260921,bayes_linear,0.6018624444101451,,1.2825292145945433
abalone,20260921,gp_rbf,0.947303015903248,,1.508190585788857
abalone,20260921,tabpfn_independent,0.3457409338089276,0.0,1.4005861067867411
abalone,20260921,tabpfn_projective,0.3457409338089276,0.0,1.4005861067867411
abalone,20260921,tabicl_independent,5.190667231124138,,1.8848832124612012
abalone,20260922,neural_projective,1.7942524628786358,,1.5222103341672777
abalone,20260922,neural_direct,2.2214189148969923,,1.687797669210242
abalone,20260922,bayes_linear,1.7019407484862288,,1.4914325372830697
abalone,20260922,gp_rbf,2.6838594672303917,,1.5888758438130357
abalone,20260922,tabpfn_independent,0.5097409340820308,0.0,1.5519289957220967
abalone,20260922,tabpfn_projective,0.5051752417063301,0.25,1.548945436716435
abalone,20260922,tabicl_independent,2.221104191346349,,1.6044398379897815
abalone,20260923,neural_projective,2.3705200430277573,,1.4156638547692626
abalone,20260923,neural_direct,4.959118818068854,,1.829623060635709
abalone,20260923,bayes_linear,3.865454324838266,,1.4128088315587448
abalone,20260923,gp_rbf,2.876433688058794,,1.440634020342864
abalone,20260923,tabpfn_independent,0.9895833036915852,0.0,1.3296252246725988
