experiment,stage,dataset,task,split_fingerprint,arm,seed,failure,input_features,ensemble_size,member_specific_views,basis_relation_error,basis_transform_condition,all_orbit_transforms_full_rank,parameters,best_epoch,epochs_trained,train_seconds,peak_cuda_bytes,peak_memory_observation_valid,val_proper_loss,val_metric,val_member_loss_mean,val_member_loss_std,val_ensemble_gain_vs_mean_member,val_member_disagreement,val_member_prediction_correlation,val_roc_auc,val_accuracy,test_proper_loss,test_metric,test_member_loss_mean,test_member_loss_std,test_ensemble_gain_vs_mean_member,test_member_disagreement,test_member_prediction_correlation,test_roc_auc,test_accuracy,val_rmse,test_rmse
equivalent_basis_orbit_ensemble,confirmation,bank_marketing_subscription,binclass,ee58e1df725c42ca,cumulative,0,,67,8,False,1.8809736488322096e-13,1.0000000000141456,True,63240,18,24,6.310984426178038,135164416,True,0.2822063209362658,0.893999705145216,0.28300616707057413,0.0004325368538474715,0.0028262498396682467,0.01421988196671009,0.9890170122398542,0.8086017679739457,0.893999705145216,0.2845637699457587,0.8927886742368383,0.2853394779753791,0.0008482763942064988,0.0027185443638028115,0.014323124662041664,0.9892284403633023,0.7988448102711205,0.8927886742368383,,
equivalent_basis_orbit_ensemble,confirmation,bank_marketing_subscription,binclass,ee58e1df725c42ca,cumulative,1,,67,8,False,1.8809736488322096e-13,1.0000000000141456,True,63240,23,29,6.419576215092093,135164416,True,0.28265328798647354,0.8941471325372254,0.28367919635709,0.0004955731671885894,0.0036164385114975167,0.01579034887254238,0.9874366603196484,0.8070738957531152,0.8941471325372254,0.2833777889734517,0.8936734994838519,0.28437971217124564,0.0004859018537218076,0.003523188029638969,0.016135036945343018,0.9872984500279022,0.8023528307975424,0.8936734994838519,,
equivalent_basis_orbit_ensemble,confirmation,bank_marketing_subscription,binclass,ee58e1df725c42ca,cumulative,2,,67,8,False,1.8809736488322096e-13,1.0000000000141456,True,63240,29,30,7.035210822010413,135164416,True,0.28405387514656455,0.8937048503611971,0.285302197621306,0.0005600674104448172,0.004375439394260781,0.01787000335752964,0.9838326897264414,0.8034703699103382,0.8937048503611971,0.28426164312462837,0.8924937324878337,0.28552270773532,0.0008473324110625296,0.004416687627733802,0.01784454472362995,0.984246767647557,0.8016229748838689,0.8924937324878337,,
equivalent_basis_orbit_ensemble,confirmation,bank_marketing_subscription,binclass,ee58e1df725c42ca,local,0,,67,8,False,1.8809736488322096e-13,1.0000000000141456,True,63240,18,24,5.007900472963229,135164416,True,0.2825055681726911,0.8932625681851688,0.28327224577146015,0.0005859066915566913,0.0027065044677464516,0.014047865755856037,0.9894458588278994,0.8078339898148869,0.8932625681851688,0.28380319395318315,0.8924937324878337,0.2845369709009364,0.0006867196949512295,0.0025788457135459504,0.014114786870777607,0.9897417780127666,0.8021136475798318,0.8924937324878337,,
equivalent_basis_orbit_ensemble,confirmation,bank_marketing_subscription,binclass,ee58e1df725c42ca,local,1,,67,8,False,1.8809736488322096e-13,1.0000000000141456,True,63240,23,29,6.36247269413434,135164416,True,0.2833490504263164,0.8920831490490934,0.2842856366979354,0.0005379213944827273,0.0032945254726819916,0.015161928720772266,0.988268840950376,0.8053142374743951,0.8920831490490934,0.2844889012849021,0.8921987907388291,0.28540928349650546,0.0003231481800903437,0.0032247802185264673,0.015377418138086796,0.9882758062755984,0.800462505032945,0.8921987907388291,,
equivalent_basis_orbit_ensemble,confirmation,bank_marketing_subscription,binclass,ee58e1df725c42ca,local,2,,67,8,False,1.8809736488322096e-13,1.0000000000141456,True,63240,21,27,5.775600092019886,135164416,True,0.28291485210305767,0.8926728586171311,0.2838221700109999,0.0006596573284420203,0.0031967830698605244,0.01542612910270691,0.988266626140926,0.8089403945626065,0.8926728586171311,0.2850347711359317,0.8929361451113406,0.2859579590652286,0.0005281343446336991,0.003228404386136792,0.015787191689014435,0.9878662547511112,0.8002864308436543,0.8929361451113406,,
equivalent_basis_orbit_ensemble,confirmation,bank_marketing_subscription,binclass,ee58e1df725c42ca,orbit_natural,0,,67,8,True,1.8809736488322096e-13,1.0000000000141456,True,63240,23,29,6.466663359897211,139194880,True,0.28202808156158143,0.8938522777532065,0.28401073169901403,0.0006795559389792175,0.0069808986638355205,0.022062569856643677,0.9733633531795104,0.8090578665156514,0.8938522777532065,0.2836859146844806,0.8941159121073587,0.2856728177286565,0.000835552274830719,0.006955170113745683,0.022088371217250824,0.9744217755204561,0.8025164935445774,0.8941159121073587,,
equivalent_basis_orbit_ensemble,confirmation,bank_marketing_subscription,binclass,ee58e1df725c42ca,orbit_natural,1,,67,8,True,1.8809736488322096e-13,1.0000000000141456,True,63240,27,30,6.145032710162923,139194880,True,0.28104426934560534,0.8917882942650744,0.28321599007120307,0.0010123313421049388,0.007668072431403842,0.02383655123412609,0.9717151548917974,0.8111901508819871,0.8917882942650744,0.28157649489165243,0.894263382981861,0.2837150621522453,0.0005947239172325597,0.007537729031267565,0.023979024961590767,0.9723590123204937,0.8060878334628471,0.894263382981861,,
equivalent_basis_orbit_ensemble,confirmation,bank_marketing_subscription,binclass,ee58e1df725c42ca,orbit_natural,2,,67,8,True,1.8809736488322096e-13,1.0000000000141456,True,63240,21,27,5.574512042105198,139194880,True,0.2817093083495963,0.8938522777532065,0.2836309928250443,0.001437436976092274,0.006775297918987896,0.022425485774874687,0.9743709146987676,0.8102747959503754,0.8938522777532065,0.28252440547869734,0.8936734994838519,0.2843182443169293,0.0009143569843518648,0.006309263911437161,0.022555477917194366,0.9747609320648541,0.804064137284856,0.8936734994838519,,
equivalent_basis_orbit_ensemble,confirmation,credit_card_default,binclass,bb6c2176954b57c7,cumulative,0,,135,8,False,1.9158977343550603e-13,1.0000000000074325,True,67592,15,21,3.128341400064528,135934976,True,0.4331102016972695,0.8122222222222222,0.4340444900984983,0.0008710852449453621,0.0021525175933389084,0.016839399933815002,0.9921418863547901,0.7811942690854743,0.8122222222222222,0.4452645507186754,0.8175960897578316,0.4466453062338607,0.0008017533343944984,0.0030913915268200305,0.016291454434394836,0.9929929708718188,0.7585280939781625,0.8175960897578316,,
equivalent_basis_orbit_ensemble,confirmation,credit_card_default,binclass,bb6c2176954b57c7,cumulative,1,,135,8,False,1.9158977343550603e-13,1.0000000000074325,True,67592,12,18,2.845283841015771,135934976,True,0.43367821738964996,0.8124444444444444,0.4345137546687834,0.0004453507967203834,0.001922924809987524,0.01586569845676422,0.9926890043737916,0.7810217754579964,0.8124444444444444,0.44268583811073,0.8169295712063985,0.44386772060469004,0.0009870665290170504,0.002662690795244042,0.015533552505075932,0.9933067267236344,0.7615642387636987,0.8169295712063985,,
equivalent_basis_orbit_ensemble,confirmation,credit_card_default,binclass,bb6c2176954b57c7,cumulative,2,,135,8,False,1.9158977343550603e-13,1.0000000000074325,True,67592,13,19,2.6603801001328975,135934976,True,0.43395834730597443,0.8111111111111111,0.4349079085153841,0.0006364709120775982,0.002183361559579584,0.01627829484641552,0.9918143245452847,0.7791220532816197,0.8111111111111111,0.44338268070158626,0.8193734725616529,0.4446862278338719,0.0009815211625784739,0.0029313863364633557,0.016107888892292976,0.9923511883171742,0.7617614598950256,0.8193734725616529,,
equivalent_basis_orbit_ensemble,confirmation,credit_card_default,binclass,bb6c2176954b57c7,local,0,,135,8,False,1.9158977343550603e-13,1.0000000000074325,True,67592,11,17,2.609888524049893,135934976,True,0.43179448225481293,0.8135555555555556,0.4324802536926194,0.000730516784975388,0.001585671095850457,0.014843191020190716,0.9934874838511029,0.7828140472850303,0.8135555555555556,0.4413678545259916,0.8184847811597423,0.44239757491889864,0.0009390617163305567,0.002327590500684419,0.014500677585601807,0.9939769113458093,0.7626225823928541,0.8184847811597423,,
equivalent_basis_orbit_ensemble,confirmation,credit_card_default,binclass,bb6c2176954b57c7,local,1,,135,8,False,1.9158977343550603e-13,1.0000000000074325,True,67592,12,18,2.9827219070866704,135934976,True,0.433659615632283,0.8115555555555556,0.43437877153123633,0.0007091243822151678,0.0016555963276433108,0.014959562569856644,0.993475574597119,0.7810392540481561,0.8115555555555556,0.4432732385680944,0.8153743612530548,0.4441244121224883,0.0005269914814139107,0.0019165205315468026,0.014778248965740204,0.993908241564111,0.7617611732364045,0.8153743612530548,,
