stage,dataset,task,seed,cumulative_test_proper_loss,local_test_proper_loss,orbit_test_proper_loss,orbit_vs_cumulative_relative_loss_reduction,orbit_vs_local_relative_loss_reduction,validation_selected_basis,selected_test_proper_loss,orbit_vs_selected_relative_loss_reduction,score_change,score_unit,cumulative_member_correlation,orbit_member_correlation,member_correlation_reduction,cumulative_ensemble_gain,orbit_ensemble_gain,runtime_ratio,memory_ratio,parameters_equal,random_test_proper_loss,random_vs_cumulative_relative_loss_reduction
confirmation,australian_credit_approval,binclass,0,0.417966000670732,0.487450754600952,0.4256846199628915,-0.018467098471581487,0.12671256338217163,cumulative,0.417966000670732,-0.018467098471581487,5.769230769230771,accuracy_percentage_points,0.981539070254794,0.9540951039840634,0.027443966270730646,0.0141693908022627,0.0413867469925928,0.5827579440439927,1.0198769317284713,True,,
confirmation,australian_credit_approval,binclass,1,0.4302041965690751,0.4498341524377398,0.424438603390718,0.013401991947866497,0.05645536006859043,cumulative,0.4302041965690751,0.013401991947866497,0.0,accuracy_percentage_points,0.9894171954284652,0.9709619701505784,0.01845522527788679,0.0116793028149567,0.0356263648635509,1.330377940306667,1.0198769317284713,True,,
confirmation,australian_credit_approval,binclass,2,0.4077734610271558,0.4391487281409023,0.3885771396576482,0.04707594584785699,0.11515822600089154,local,0.4391487281409023,0.11515822600089154,2.8846153846153855,accuracy_percentage_points,0.9867573501883148,0.9729795968988366,0.013777753289478167,0.0119536287574782,0.025154721466759,1.1068029853763763,1.0198769317284713,True,,
confirmation,bank_marketing_subscription,binclass,0,0.2845637699457587,0.2838031939531831,0.2836859146844806,0.0030849157693033902,0.0004132415392119284,cumulative,0.2845637699457587,0.0030849157693033902,0.13272378705204702,accuracy_percentage_points,0.9892284403633024,0.974421775520456,0.014806664842846429,0.0027185443638028,0.0069551701137456,1.0246679318480671,1.029818972472755,True,,
confirmation,bank_marketing_subscription,binclass,1,0.2833777889734517,0.2844889012849021,0.2815764948916524,0.006356511173033778,0.010237328697519584,cumulative,0.2833777889734517,0.006356511173033778,0.05898834980091472,accuracy_percentage_points,0.9872984500279022,0.9723590123204936,0.014939437707408576,0.0035231880296389,0.0075377290312675,0.9572333911569221,1.029818972472755,True,,
confirmation,bank_marketing_subscription,binclass,2,0.2842616431246283,0.2850347711359317,0.2825244054786973,0.006111403659090859,0.008807226035020167,local,0.2850347711359317,0.008807226035020167,0.11797669960181834,accuracy_percentage_points,0.984246767647557,0.974760932064854,0.009485835582702995,0.0044166876277338,0.0063092639114371,0.7923731332492181,1.029818972472755,True,,
confirmation,compustat_kor_direction,binclass,0,0.6881908539068143,0.6883321503967259,0.6882511075480041,-8.75536791105579e-05,0.00011773799709207389,cumulative,0.6881908539068143,-8.75536791105579e-05,0.0,accuracy_percentage_points,0.565741179430524,0.4580816960110539,0.10765948341947013,0.0003242653967598,0.0003742665964999,0.9353517856876241,1.1454445941644877,True,,
confirmation,compustat_kor_direction,binclass,1,0.688053844711675,0.6880016783271216,0.6879839951468831,0.00010151758518420196,2.570223415940288e-05,local,0.6880016783271216,2.570223415940288e-05,0.0,accuracy_percentage_points,0.8045010885613911,0.6750505526921174,0.1294505358692737,0.0002029040877893,0.0002509094625047,0.9465823595387576,1.1454445941644877,True,,
confirmation,compustat_kor_direction,binclass,2,0.688311918277445,0.6883170879960402,0.6881635293886401,0.0002155837852934717,0.0002230928304382822,cumulative,0.688311918277445,0.0002155837852934717,0.0,accuracy_percentage_points,0.786160539689624,0.6576787748652745,0.12848176482434948,0.0002297811900771,0.0002986592489594,0.7304137140071579,1.1454445941644877,True,,
confirmation,covtype_extension,multiclass,0,0.5212054165920533,0.5217152562232227,0.5218725503086603,-0.0012799823167017217,-0.0003014941264633656,cumulative,0.5212054165920533,-0.0012799823167017217,-0.09500000000000064,accuracy_percentage_points,0.9926389737254372,0.990080187856454,0.002558785868983171,0.0111443759895636,0.0143399986072604,0.8756655679635401,1.054439541577744,True,,
confirmation,covtype_extension,multiclass,1,0.5215528715683214,0.5212351557785019,0.5191066956322947,0.0046901782530139055,0.004083493069511302,local,0.5212351557785019,0.004083493069511302,0.2650000000000041,accuracy_percentage_points,0.9922851044997631,0.9892988591732798,0.0029862453264833944,0.0113782752818902,0.0155801571019146,0.953300784298823,1.054439541577744,True,,
confirmation,covtype_extension,multiclass,2,0.5160774972888438,0.5177394204225296,0.515634041573185,0.0008592812474645411,0.004066483575128153,cumulative,0.5160774972888438,0.0008592812474645411,-0.11500000000000954,accuracy_percentage_points,0.9920074504177548,0.9892578115255164,0.0027496388922384485,0.0116995521430567,0.0155728923618769,0.862313522241445,1.054439541577744,True,,
