variant,true_prior,scale,noise,tasks,mse_model,se_model,mse_zero,se_zero,mse_always_smooth,se_always_smooth,mse_hard_route,se_hard_route,mse_bayes_mixture,se_bayes_mixture,mse_regime_oracle,se_regime_oracle,trust_posterior_correlation,trust_regime_auroc,trust_mean,posterior_mean,seed
structured,0.1,0.3,0.1,4096,1.008976936340332,0.006619107443839312,0.9931317567825317,0.006513227708637714,1.0781127214431763,0.007078032474964857,1.013244390487671,0.006714558228850365,1.002546787261963,0.00657531525939703,0.9838207960128784,0.006467536557465792,0.926854587571305,0.7500655886402509,0.4948594868183136,0.4076419472694397,20260833
structured,0.1,0.3,0.3,4096,1.0138146877288818,0.006392918527126312,1.0003511905670166,0.0062597328796982765,1.081093192100525,0.006923963315784931,1.0226783752441406,0.00646628113463521,1.0107920169830322,0.006368817761540413,0.9908705949783325,0.006226235534995794,0.9285012785175472,0.7167677271622469,0.46359163522720337,0.4212861657142639,20260833
structured,0.1,0.3,1.0,4096,1.0026443004608154,0.006463829427957535,0.9940556883811951,0.006428879220038652,1.0372374057769775,0.006659382954239845,1.0108821392059326,0.006529196165502071,1.001624345779419,0.006453900597989559,0.9890196323394775,0.006412631366401911,0.8636488041743359,0.629135749228128,0.4871978759765625,0.47721660137176514,20260833
structured,0.1,1.0,0.1,4096,0.9723764061927795,0.007112318184226751,1.0135679244995117,0.006483776494860649,1.7056785821914673,0.013816064223647118,0.9756503701210022,0.007363335695117712,0.9666197299957275,0.007125122006982565,0.945401668548584,0.006816832348704338,0.9723926511971043,0.9871099720806616,0.17978492379188538,0.15078559517860413,20260833
structured,0.1,1.0,0.3,4096,0.9983384013175964,0.007102746982127428,1.0110836029052734,0.006408109329640865,1.5400218963623047,0.0118026128038764,1.0087471008300781,0.007614181376993656,0.9954233765602112,0.007136901840567589,0.9591740369796753,0.006600687280297279,0.9734624637254154,0.9761945473148055,0.20909422636032104,0.18297718465328217,20260833
structured,0.1,1.0,1.0,4096,1.0237929821014404,0.006990233436226845,0.9961712956428528,0.006633243523538113,1.224820852279663,0.008652388118207455,1.0526409149169922,0.0074630859307944775,1.0227227210998535,0.006986153777688742,0.9704824090003967,0.006610124837607145,0.971550643844675,0.8160589717946082,0.3881796896457672,0.3746383786201477,20260833
structured,0.1,3.0,0.1,4096,0.899762749671936,0.007448792923241854,0.9901812076568604,0.006610581185668707,2.47184681892395,0.029441626742482185,0.8956249952316284,0.007495090365409851,0.8956259489059448,0.007495093159377575,0.8956249952316284,0.007495090365409851,0.9946369688323383,0.9999745786409742,0.1132083386182785,0.10180700570344925,20260833
structured,0.1,3.0,0.3,4096,0.9272472858428955,0.007167873904109001,0.9895003437995911,0.0065511842258274555,1.6422213315963745,0.014510362409055233,0.9260762929916382,0.0072284420020878315,0.9246155023574829,0.007193094585090876,0.9217003583908081,0.007159011904150248,0.9888161532541208,0.9989330488130168,0.10271471738815308,0.09009590744972229,20260833
structured,0.1,3.0,1.0,4096,0.976188063621521,0.007228734437376261,0.9748072028160095,0.006620495114475489,1.2579032182693481,0.009800947271287441,1.0064047574996948,0.008025298826396465,0.9787551760673523,0.007348967250436544,0.9224534034729004,0.006723473779857159,0.9661294691754483,0.8920629679618505,0.29697340726852417,0.2945532202720642,20260833
structured,0.5,0.3,0.1,4096,0.9659150838851929,0.006302306894212961,0.9948375225067139,0.006393030751496553,0.9982865452766418,0.006712278816848993,0.9736335873603821,0.006384509149938822,0.9629952907562256,0.006261754315346479,0.9412786960601807,0.006088149733841419,0.922144190651266,0.7421923273669487,0.569951057434082,0.4908294677734375,20260833
structured,0.5,0.3,0.3,4096,0.9718989133834839,0.006282458081841469,0.9994790554046631,0.006373905576765537,1.0011100769042969,0.006646909285336733,0.9815863966941833,0.006397739984095097,0.9705088138580322,0.006264760624617338,0.9490443468093872,0.006116232834756374,0.9252870206004558,0.7403064012657756,0.5210055708885193,0.4963512718677521,20260833
structured,0.5,0.3,1.0,4096,0.9830647706985474,0.0063982391729950905,0.9949053525924683,0.006390704307705164,0.9962582588195801,0.006568485870957375,0.9911825656890869,0.0065090237185359,0.982074499130249,0.006387387402355671,0.9696835279464722,0.006315131206065416,0.8662392755841645,0.6179820956787054,0.5079841613769531,0.4977284073829651,20260833
structured,0.5,1.0,0.1,4096,0.725735068321228,0.007306340150535107,0.9949944615364075,0.006940287537872791,1.1286914348602295,0.014713038690388203,0.7191725373268127,0.007517428603023291,0.713746190071106,0.00732006411999464,0.6941062211990356,0.007088341750204563,0.9846453136926968,0.9871971485110745,0.5054073333740234,0.4988197684288025,20260833
structured,0.5,1.0,0.3,4096,0.7550008296966553,0.007160144858062267,0.9872880578041077,0.006945247761905193,1.0542635917663574,0.012678524479269981,0.7565582990646362,0.0073715378530323505,0.7478122711181641,0.0071468534879386425,0.7215020656585693,0.0068354071117937565,0.9846004804491532,0.9751771984157247,0.495635986328125,0.4939785301685333,20260833
structured,0.5,1.0,1.0,4096,0.8950263261795044,0.006967305205762386,0.9925109148025513,0.007074032910168171,0.9842228889465332,0.008565928786993027,0.9190412759780884,0.007371441926807165,0.8922123908996582,0.006963978987187147,0.8431368470191956,0.006542540621012449,0.9733949892581578,0.8061244001570732,0.4976676106452942,0.500182032585144,20260833
structured,0.5,3.0,0.1,4096,0.547103762626648,0.00865629967302084,1.0047423839569092,0.008020729757845402,1.4274792671203613,0.028562186285853386,0.5346902012825012,0.008782650344073772,0.5344918966293335,0.008777239359915257,0.5343904495239258,0.008776230737566948,0.9967547543082774,0.9999973759541985,0.4826449453830719,0.4884289801120758,20260833
structured,0.5,3.0,0.3,4096,0.5763099193572998,0.008177900686860085,1.0004079341888428,0.008151654154062271,0.9404993653297424,0.015444204211235046,0.5682758092880249,0.008290531113743782,0.5671605467796326,0.008261268027126789,0.5642549991607666,0.008222217671573162,0.9939117310967781,0.9992008161593446,0.49642783403396606,0.49827128648757935,20260833
structured,0.5,3.0,1.0,4096,0.7726933360099792,0.007416943553835154,0.9972789883613586,0.0077471500262618065,0.9013671875,0.010215128771960735,0.7886515855789185,0.00805995985865593,0.7656776905059814,0.0075033288449049,0.7164981961250305,0.007029025349766016,0.9737003965538297,0.9003981393129771,0.4860054850578308,0.501084566116333,20260833
