dataset,problem_type,model,seed,pair,method,split,reconstruction_error,coordinate_error,disagreement,disagreement_reduction,task_error,relative_task_change
house_16H,regression,tabpfn_2_6,2,local_vs_spectral_hat,Raw,validation,2.0748109606082272e-16,0.0,0.05578160379538366,0.0,42156.59289934523,0.0
house_16H,regression,tabpfn_2_6,2,local_vs_spectral_hat,GramAnchor,validation,2.0748109606082272e-16,9.499670588806313e-17,0.0,1.0,43421.07839045467,0.02999496411222257
house_16H,regression,tabpfn_2_6,2,local_vs_spectral_hat,Raw,test,2.0748109606082272e-16,0.0,0.07467740010855838,0.0,30853.962714923957,0.0
house_16H,regression,tabpfn_2_6,2,local_vs_spectral_hat,GramAnchor,test,2.0748109606082272e-16,9.499670588806313e-17,0.0,1.0,31214.626864197395,0.01168939473369448
