dataset,fold,outer_fold,fit_rows,holdout_rows,singletons,pairs,candidate_count,baseline_loss,corrected_loss,relative_gain,win
wine_quality,0,0,2771,693,,,6,0.6960865942680176,0.6960865942680176,0.0,0
wine_quality,0,1,2771,693,,,6,0.7325505381838441,0.7325505381838441,0.0,0
wine_quality,0,2,2771,693,,,6,0.6880974431862265,0.6880974431862265,0.0,0
wine_quality,0,3,2771,693,,,6,0.7068812964878112,0.7068812964878112,0.0,0
wine_quality,0,4,2772,692,,,6,0.7011849634488639,0.7011849634488639,0.0,0
miami_housing,0,0,5877,1470,,11+13,5,0.15825897598652475,0.15554725934194447,0.017134678318727243,1
miami_housing,0,1,5877,1470,13,,5,0.15409710861698248,0.15224845873377757,0.011996655224724788,1
miami_housing,0,2,5878,1469,,11+13;12+13,5,0.16246949338831554,0.15916279949004586,0.020352706402342303,1
miami_housing,0,3,5878,1469,13,11+13,5,0.14382863967082213,0.13928395167254715,0.03159793493615961,1
miami_housing,0,4,5878,1469,,11+13,5,0.14655101527964567,0.14640510067804283,0.0009956573915534913,1
Food_Delivery_Time,0,0,19392,4848,,,3,0.6699888030218519,0.6699888030218519,0.0,0
Food_Delivery_Time,0,1,19392,4848,,,3,0.6634491340896346,0.6634491340896346,0.0,0
Food_Delivery_Time,0,2,19392,4848,,0+1,3,0.6417904966292964,0.6415392692117016,0.00039144770593257813,1
Food_Delivery_Time,0,3,19392,4848,,,3,0.6597892505822965,0.6597892505822965,0.0,0
Food_Delivery_Time,0,4,19392,4848,,,3,0.6481579078582763,0.6481579078582763,0.0,0
seismic-bumps,0,0,1101,276,,,21,0.294582641701941,0.294582641701941,0.0,0
seismic-bumps,0,1,1101,276,,,21,0.2173274875023366,0.2173274875023366,0.0,0
seismic-bumps,0,2,1102,275,,,21,0.24257023112160592,0.24257023112160592,0.0,0
seismic-bumps,0,3,1102,275,,,21,0.28756271285798657,0.28756271285798657,0.0,0
seismic-bumps,0,4,1102,275,,,21,0.2788326998919615,0.2788326998919615,0.0,0
heloc,0,0,4461,1116,16,,147,0.6423124488850896,0.6602136684446432,-0.027869955798966835,0
heloc,0,1,4461,1116,,,147,0.5965386901118543,0.5965386901118543,0.0,0
heloc,0,2,4462,1115,,,149,0.6402739753128524,0.6402739753128524,0.0,0
heloc,0,3,4462,1115,,,147,0.6374107122679831,0.6374107122679831,0.0,0
heloc,0,4,4462,1115,,,148,0.5994446788851724,0.5994446788851724,0.0,0
credit_card_clients_default,0,0,12800,3200,,,35,0.47592104525696155,0.47592104525696155,0.0,0
credit_card_clients_default,0,1,12800,3200,,,35,0.4683297879940131,0.4683297879940131,0.0,0
credit_card_clients_default,0,2,12800,3200,,,35,0.4661456751808408,0.4661456751808408,0.0,0
credit_card_clients_default,0,3,12800,3200,,,35,0.46103860655343126,0.46103860655343126,0.0,0
credit_card_clients_default,0,4,12800,3200,,,35,0.4711438944809236,0.4711438944809236,0.0,0
