dataset,fold,kind,columns,cardinality,relative_gain,incremental_gain,fold_wins,incremental_fold_wins
wine_quality,0,singleton,0,93,0.001424187537511361,0.001424187537511361,3,3
wine_quality,0,singleton,2,84,-0.0026007858987199643,-0.0026007858987199643,0,0
wine_quality,0,singleton,5,109,-0.003448845201997456,-0.003448845201997456,0,0
wine_quality,0,singleton,8,100,-0.0032973612018498454,-0.0032973612018498454,1,1
wine_quality,0,singleton,9,96,-0.0031075485973700435,-0.0031075485973700435,1,1
wine_quality,0,singleton,10,88,-0.003171941181325951,-0.003171941181325951,2,2
miami_housing,0,singleton,11,95,-0.003416963017076405,-0.003416963017076405,0,0
miami_housing,0,singleton,12,12,-8.011058667904804e-05,-8.011058667904804e-05,1,1
miami_housing,0,singleton,13,5,0.01136365752192259,0.01136365752192259,4,4
miami_housing,0,pair,11;13,310,0.021873027630578065,0.013877160082216868,5,5
miami_housing,0,pair,12;13,52,0.011686676942621236,0.00030357629549146735,4,2
Food_Delivery_Time,0,singleton,0,22,3.0304407069893276e-05,3.0304407069893276e-05,3,3
Food_Delivery_Time,0,singleton,1,28,0.0003022007579541766,0.0003022007579541766,5,5
Food_Delivery_Time,0,pair,0;1,386,0.0037460895731488623,0.0034475543435353692,4,4
seismic-bumps,0,singleton,5,10,-0.04934421800087821,-0.04934421800087821,0,0
seismic-bumps,0,singleton,6,6,-0.036184849986486446,-0.036184849986486446,0,0
seismic-bumps,0,singleton,7,6,-0.0006546230433484511,-0.0006546230433484511,1,1
seismic-bumps,0,singleton,8,4,-0.013811814401053116,-0.013811814401053116,2,2
seismic-bumps,0,singleton,9,2,-0.0006627058462947081,-0.0006627058462947081,1,1
seismic-bumps,0,singleton,11,32,-0.061030602922096014,-0.061030602922096014,1,1
seismic-bumps,0,pair,5;6,30,-0.07751740716586078,-0.011332009426074907,1,3
seismic-bumps,0,pair,5;7,28,-0.06360475892936389,-0.0018814728394456438,1,2
seismic-bumps,0,pair,5;8,23,-0.022376683004994864,0.021074788045845765,0,2
seismic-bumps,0,pair,5;9,14,-0.04533179830273776,-5.2978135781102074e-05,0,2
seismic-bumps,0,pair,5;11,117,-0.21891262662330907,-0.12100902594209899,0,1
seismic-bumps,0,pair,6;7,25,-0.07453192165360144,-0.051451503269081426,1,1
seismic-bumps,0,pair,6;8,16,-0.007698610296390544,0.02364885126397337,3,5
seismic-bumps,0,pair,6;9,8,-0.031942150186233656,4.804249947479163e-05,1,4
seismic-bumps,0,pair,6;11,93,-0.1983346468124246,-0.10886679502712868,0,0
seismic-bumps,0,pair,7;8,15,-0.03689383281795266,-0.02294267786185446,0,1
seismic-bumps,0,pair,7;9,9,0.0013180744018245064,-2.4909871490252906e-05,1,0
seismic-bumps,0,pair,7;11,73,-0.11128121977084549,-0.04444965111587592,1,2
seismic-bumps,0,pair,8;9,5,-0.014698930402490927,4.1009745857014397e-16,2,3
seismic-bumps,0,pair,8;11,37,-0.061242489032760805,-0.00022202314334393366,1,2
seismic-bumps,0,pair,9;11,32,-0.061267503140248425,0.0,1,0
heloc,0,singleton,0,56,-0.019866677540264183,-0.019866677540264183,0,0
heloc,0,singleton,2,94,-0.018678272965146007,-0.018678272965146007,0,0
heloc,0,singleton,4,71,-0.02849699658258837,-0.02849699658258837,0,0
heloc,0,singleton,5,18,0.0008372442370118221,0.0008372442370118221,3,3
heloc,0,singleton,6,17,0.00026337601898574186,0.00026337601898574186,3,3
heloc,0,singleton,7,68,-0.010388248906091628,-0.010388248906091628,1,1
heloc,0,singleton,8,86,-0.03305256066721551,-0.03305256066721551,0,0
heloc,0,singleton,9,10,-0.003365444987383356,-0.003365444987383356,2,2
heloc,0,singleton,10,8,-0.003281059369629418,-0.003281059369629418,1,1
heloc,0,singleton,11,84,-0.02332904748157363,-0.02332904748157363,0,0
heloc,0,singleton,12,17,-0.003472623786440615,-0.003472623786440615,1,1
heloc,0,singleton,13,93,-0.02615256070602982,-0.02615256070602982,0,0
heloc,0,singleton,14,28,-0.010309704957431763,-0.010309704957431763,0,0
heloc,0,singleton,15,21,-0.003819427424306945,-0.003819427424306945,2,2
heloc,0,singleton,16,22,-0.004991747131677977,-0.004991747131677977,2,2
heloc,0,singleton,17,120,-0.02775459300010351,-0.02775459300010351,0,0
heloc,0,singleton,18,126,-0.030104216836746408,-0.030104216836746408,0,0
heloc,0,singleton,19,27,-0.005134988661703467,-0.005134988661703467,2,2
heloc,0,singleton,20,17,-6.738422288667063e-06,-6.738422288667063e-06,3,3
heloc,0,singleton,21,17,-0.011534856694991047,-0.011534856694991047,1,1
heloc,0,singleton,22,94,-0.019246388453685245,-0.019246388453685245,0,0
heloc,0,pair,0;5,236,-0.0616198463307332,-0.04395417869075118,0,0
heloc,0,pair,0;6,204,-0.0672902287978004,-0.04861015429255159,0,0
heloc,0,pair,0;9,242,-0.08068121996134518,-0.05974487038848049,0,0
heloc,0,pair,0;10,256,-0.06257833641951734,-0.04104916027253842,0,0
heloc,0,pair,0;12,352,-0.08229342910750632,-0.057397000039301566,0,0
heloc,0,pair,0;15,370,-0.10021811282535446,-0.07641725387730511,0,0
heloc,0,pair,0;16,366,-0.10351621829793393,-0.07647876985914309,0,0
heloc,0,pair,0;20,360,-0.0799262009692023,-0.05877462531109863,0,0
heloc,0,pair,0;21,318,-0.11623713547415089,-0.08310564383939696,0,0
heloc,0,pair,2;5,312,-0.04454324365021538,-0.026500767287987077,0,0
heloc,0,pair,2;6,266,-0.04174249688753743,-0.027002076860998384,0,0
heloc,0,pair,2;9,330,-0.06466037633844317,-0.04526224565036298,0,0
heloc,0,pair,2;10,327,-0.07559617965939425,-0.05053107995055058,0,0
heloc,0,pair,2;12,182,-0.05194576479825142,-0.029040331154121257,0,0
heloc,0,pair,2;15,358,-0.09361997111303673,-0.07115461903951485,0,0
heloc,0,pair,2;16,352,-0.09491993142291298,-0.06988185650126842,0,0
heloc,0,pair,2;20,359,-0.08555692554119003,-0.064825741327964,0,0
