backbone,source,task,split,operator,validation_gain,validation_se,test_gain,validation_states,test_states,ordinary_dimensions,oof_finite
mlp,ACS,acs_occupation,0,harmonic,0.00032714185588710764,5.9124830469910815e-05,0.0003888265732484791,86,88,10,True
mlp,ACS,acs_occupation,0,kernel_ridge,0.019768742117265856,0.0033596824459242672,0.017810320879257092,86,88,10,True
mlp,ACS,acs_occupation,0,knn_1,0.006174754018189454,0.007103619621153035,0.00717379831784502,86,88,10,True
mlp,ACS,acs_occupation,0,knn_10,0.015269992044656518,0.0037186505213403073,0.01592493060490338,86,88,10,True
mlp,ACS,acs_occupation,0,knn_3,0.017408625923973242,0.004315928019235004,0.012386871447906176,86,88,10,True
mlp,ACS,acs_occupation,0,knn_5,0.018491801973934383,0.003879427301099356,0.019344474085389366,86,88,10,True
mlp,ACS,acs_occupation,0,rbf,0.00015567605654675935,3.4875704779073644e-05,0.0001802497342781403,86,88,10,True
mlp,ACS,acs_occupation,0,rbf_double,5.866113627544158e-05,2.773897778724305e-05,8.112792383261998e-05,86,88,10,True
mlp,ACS,acs_occupation,0,rbf_half,0.0006127863701351009,0.0001075878167392337,0.0006429300984034305,86,88,10,True
mlp,ACS,acs_occupation,1,harmonic,-0.0004900062189120874,0.00040590327441887125,-0.0008642742465314184,86,88,10,True
mlp,ACS,acs_occupation,1,kernel_ridge,0.02711980610842325,0.004627748784952413,0.011514152263001454,86,88,10,True
mlp,ACS,acs_occupation,1,knn_1,0.003364005054882672,0.010535783797848025,-0.0024962467196796194,86,88,10,True
mlp,ACS,acs_occupation,1,knn_10,0.02326482699358788,0.004553287265274853,0.010221962899072602,86,88,10,True
mlp,ACS,acs_occupation,1,knn_3,0.027348244837054655,0.006090089636239156,0.007832884891461306,86,88,10,True
mlp,ACS,acs_occupation,1,knn_5,0.027246245944049844,0.005428764883264259,0.007830422000147328,86,88,10,True
mlp,ACS,acs_occupation,1,rbf,-0.000736342160393275,0.00039102728667363547,-0.0010094885913395346,86,88,10,True
mlp,ACS,acs_occupation,1,rbf_double,-0.0008558122903164239,0.00038566416272314255,-0.0010783602186413448,86,88,10,True
mlp,ACS,acs_occupation,1,rbf_half,-0.00017537333201617176,0.0004326024269414279,-0.0006942694595594438,86,88,10,True
mlp,NYC_TLC,tlc_pickup_zone,0,harmonic,-0.007681873678243296,0.008070924369512827,-0.002573669564337143,18,19,258,True
mlp,NYC_TLC,tlc_pickup_zone,0,kernel_ridge,0.007673753637091298,0.010492450443806834,0.009921713465352098,18,19,258,True
mlp,NYC_TLC,tlc_pickup_zone,0,knn_1,0.03149772240646722,0.014168912294332071,-0.030900438402892385,18,19,258,True
mlp,NYC_TLC,tlc_pickup_zone,0,knn_10,0.016309377629992218,0.0075509258563940555,0.01914185822263793,18,19,258,True
