dataset,K,parameterization,rank,regularization,val_mse,r2,spearman,mae,coefficient
electricity,16,ID-factor joint,2.0,0.01,0.03060634548285465,0.08270570108189612,0.26865392025645585,0.11686113212640527,
electricity,16,ID-factor residual,2.0,0.02,0.01992057244661473,0.1006918264353992,0.30731042826543725,0.11679866797968695,
electricity,16,ID-factor joint,4.0,0.01,0.02461712433662363,0.08446151223500087,0.2634376488239112,0.11760650280621675,
electricity,16,ID-factor residual,4.0,0.02,0.02736883548535528,0.1015139289309761,0.2984165424863878,0.11600114825848368,
electricity,16,ID-factor joint,8.0,0.01,0.02519136281670266,0.04907793247088621,0.28374758162570357,0.1185375073897451,
electricity,16,ID-factor residual,8.0,0.02,0.02356455178768047,0.1019822852099691,0.3043922855160516,0.11608282051191643,
electricity,16,ID-factor joint,16.0,0.01,0.018276842296892398,0.07049789846329457,0.2508449745182737,0.11598199848125615,
electricity,16,ID-factor residual,16.0,0.02,0.026103120389440543,0.10128740597155395,0.30629443269351814,0.11637982715207015,
electricity,16,feature-bilinear MLP,4.0,0.01,0.029579968529200012,0.09040139026967098,0.2597523679639279,0.11863560385951265,
electricity,16,feature-bilinear MLP,8.0,0.01,0.025308438483608107,-0.062089086352211664,0.11902511641083531,0.12749875632097207,
electricity,16,feature-bilinear MLP,16.0,0.01,0.031953948123549285,-0.16461979044144104,0.15909274966259734,0.1330508652105551,
electricity,16,signed bilinear,4.0,0.02,0.043388101238342754,0.019895330287947988,0.20132501691044252,0.12023361402456587,
electricity,16,signed bilinear,8.0,0.02,0.024878769052596172,0.027086030015626816,0.17793205588730304,0.12145997917667098,
electricity,16,signed bilinear,16.0,0.02,0.04263106967262333,-0.1053214637519102,0.10556113676384661,0.12926989412079587,
electricity,16,DeepSets,,0.01,0.02823400185890575,0.05141448756980127,0.2611673873087927,0.11953175342928404,
electricity,16,cosine_diversity,,1.0,,0.10123007087321623,0.30756731731230774,0.11655935596116071,1.916087421705015e-05
electricity,16,rbf_diversity,,1.0,,0.10120563577855302,0.3075203447059165,0.11655657216931131,3.876787943005617e-06
electricity,16,euclidean_neighbor_diversity,,1.0,,0.10126855169514581,0.3075181542734941,0.11651568574444719,1.1043499510674967e-06
electricity,16,label_target_complementarity,,1.0,,0.1037942300814072,0.31108661207094973,0.11642248768722778,0.00036008702504256664
electricity,16,geometry + complementarity,,1.0,,0.10379423008140687,0.31108661207094973,0.11642248768722778,"[0.0, 0.00036008702504254414]"
electricity,32,ID-factor joint,2.0,0.01,0.015814300258050168,0.07496560374048722,0.2855892485301742,0.09249568056288619,
electricity,32,ID-factor residual,2.0,0.02,0.009071440440535707,0.09995333359768732,0.31731182101538585,0.09171517682320408,
electricity,32,ID-factor joint,4.0,0.01,0.01685412607294429,0.05456347855498578,0.2727606159763691,0.09336841063927794,
electricity,32,ID-factor residual,4.0,0.02,0.01409700253645243,0.09965357870982317,0.31444223285136313,0.0913053680391402,
electricity,32,ID-factor joint,8.0,0.01,0.015139216396324926,0.09167400942028048,0.3157843594728383,0.09175399432862139,
electricity,32,ID-factor residual,8.0,0.02,0.009875419186661096,0.10352689730130826,0.3197288415028045,0.0912789050849052,
electricity,32,ID-factor joint,16.0,0.01,0.015476329171703562,0.08053836657738955,0.2825464945140924,0.09233623427761672,
electricity,32,ID-factor residual,16.0,0.02,0.012053757735311891,0.0993155781824383,0.31513696500133154,0.09162818662628908,
electricity,32,feature-bilinear MLP,4.0,0.01,0.01233039581535642,0.04490997398452656,0.2596849513215943,0.09507836244361106,
electricity,32,feature-bilinear MLP,8.0,0.01,0.01672057004965155,-0.14031664840780134,0.23381679624798393,0.10327946124324763,
electricity,32,feature-bilinear MLP,16.0,0.01,0.01760623032796388,-0.35912681047792927,0.1660129341383821,0.11349203689596228,
electricity,32,signed bilinear,4.0,0.02,0.015178990363079969,-0.019848577873107898,0.12616312722195788,0.09867251829163722,
electricity,32,signed bilinear,8.0,0.02,0.019668319119393,-0.000292663266201032,0.13603139035690115,0.09831484795700124,
electricity,32,signed bilinear,16.0,0.02,0.0160579121244899,-0.06334511241511831,0.16555854110142607,0.1011645336412549,
electricity,32,DeepSets,,0.01,0.01957182503827903,0.03164195527629565,0.2315479950211471,0.09561190893733038,
electricity,32,cosine_diversity,,1.0,,0.09894834485249615,0.3154871908075339,0.09167304942924726,0.0
electricity,32,rbf_diversity,,1.0,,0.0989406237380338,0.3154871908075339,0.09167552901447326,7.382082181572236e-08
electricity,32,euclidean_neighbor_diversity,,1.0,,0.09894834485249615,0.3154871908075339,0.09167304942924726,0.0
electricity,32,label_target_complementarity,,1.0,,0.09894834485249615,0.3154871908075339,0.09167304942924726,0.0
electricity,32,geometry + complementarity,,1.0,,0.09894062373803814,0.3154871908075339,0.09167552901447185,"[7.382082177314532e-08, 0.0]"
electricity,64,ID-factor joint,2.0,0.01,0.0035720309256355946,0.08852651040556836,0.335695998645826,0.05003462802652422,
electricity,64,ID-factor residual,2.0,0.02,0.002322108482545068,0.13208316340760562,0.37745002148144907,0.04966607020253065,
electricity,64,ID-factor joint,4.0,0.01,0.004507939686989406,0.09116583175415316,0.33719109046479817,0.04998390768979284,
electricity,64,ID-factor residual,4.0,0.02,0.003059987042192976,0.12912231408053698,0.3756437665678071,0.04972627462596605,
electricity,64,ID-factor joint,8.0,0.01,0.004429747617103236,0.07160296184896042,0.3069784560627549,0.05034140097833293,
electricity,64,ID-factor residual,8.0,0.02,0.0035791428066988423,0.13079204497478758,0.3766383445782629,0.04964768103246642,
electricity,64,ID-factor joint,16.0,0.01,0.0036611172474156207,0.09533028587854786,0.33845618687941925,0.05007387447733699,
electricity,64,ID-factor residual,16.0,0.02,0.0030688693684688675,0.13051912803307086,0.37556892679337545,0.04977457132055365,
electricity,64,feature-bilinear MLP,4.0,0.01,0.004281292599429028,0.003271005656092507,0.27802252141771355,0.053987712627721667,
electricity,64,feature-bilinear MLP,8.0,0.01,0.004906661344031731,-0.16328565593182165,0.2965281463569062,0.058472195495220106,
electricity,64,feature-bilinear MLP,16.0,0.01,0.00496665451654218,-0.1921894754713087,0.28458785584107094,0.05873367207334884,
electricity,64,signed bilinear,4.0,0.02,0.0035748347298568683,-0.0012424916156221766,0.21723960367532652,0.054246962996542504,
electricity,64,signed bilinear,8.0,0.02,0.0037583315161701524,-0.004580032586333882,0.11035587164577106,0.05381603480018364,
electricity,64,signed bilinear,16.0,0.02,0.005839749468241004,-0.12503184060805128,0.151836820572736,0.057902463961425586,
electricity,64,DeepSets,,0.01,0.004314901764001687,0.04949342783227073,0.23161833224004388,0.053803499174659625,
electricity,64,cosine_diversity,,1.0,,0.13191412099072375,0.3766977296350478,0.0497532234428414,1.5609494994350825e-06
electricity,64,rbf_diversity,,1.0,,0.13174515999028968,0.37672778723551054,0.049736386336146896,4.801397549592271e-08
electricity,64,euclidean_neighbor_diversity,,1.0,,0.131861130556023,0.37668702085431605,0.049751760754340374,7.353648618945865e-07
electricity,64,label_target_complementarity,,1.0,,0.14020297505312718,0.3901301913932921,0.049688783104403,4.331928581201993e-05
electricity,64,geometry + complementarity,,1.0,,0.1402029750531255,0.3901301913932921,0.04968878310440298,"[0.0, 4.3319285812007826e-05]"
