dataset,K,parameterization,rank,regularization,val_mse,r2,spearman,mae,coefficient
adult,16,ID-factor joint,2.0,0.01,0.012427922591164561,0.15846932453208107,0.401966679750444,0.08146595278325713,
adult,16,ID-factor residual,2.0,0.02,0.007880837694870977,0.307717830433212,0.5728709103333709,0.07288650389098594,
adult,16,ID-factor joint,4.0,0.01,0.01209942365563339,0.10648545425941103,0.48171204928278244,0.08383450514579475,
adult,16,ID-factor residual,4.0,0.02,0.006660250380805833,0.30732896537271703,0.5718083072271309,0.07294781124338916,
adult,16,ID-factor joint,8.0,0.01,0.01316957117503562,0.17006673729824906,0.4277581696892707,0.08158588437274057,
adult,16,ID-factor residual,8.0,0.02,0.007477620782248244,0.3048911261538225,0.5712709211395043,0.07333816374577537,
adult,16,ID-factor joint,16.0,0.01,0.014696968172800175,0.14435873815493883,0.4544903286628243,0.08254351617061663,
adult,16,ID-factor residual,16.0,0.02,0.008306505061021548,0.3082497768124369,0.5717646202693732,0.0727812266174374,
adult,16,feature-bilinear MLP,4.0,0.01,0.015383693456043618,0.1740807183813271,0.4519368929117667,0.0796677116798644,
adult,16,feature-bilinear MLP,8.0,0.01,0.011336064184102528,0.14407386843457326,0.4295343670024498,0.08266533849084685,
adult,16,feature-bilinear MLP,16.0,0.01,0.012305191078703795,0.08901420369060531,0.47593662360834155,0.08348372153197536,
adult,16,signed bilinear,4.0,0.02,0.01631321899086903,-0.0006705847847470192,0.2519210852911185,0.08973434950150395,
adult,16,signed bilinear,8.0,0.02,0.0156829360520107,0.046370757454120115,0.2555099871245165,0.08703122974140821,
adult,16,signed bilinear,16.0,0.02,0.014395899420599836,-0.04365158919256951,0.3798949091369081,0.09313693099362072,
adult,16,DeepSets,,0.01,0.01186946515263975,0.2163082546234768,0.46041362300504085,0.08031297043222772,
adult,16,cosine_diversity,,1.0,,0.30684657504231727,0.5719147865809971,0.07305026847852134,2.1880627173231915e-05
adult,16,rbf_diversity,,1.0,,0.307134210167457,0.5719509287159666,0.07300114107655309,9.967045155802911e-07
adult,16,euclidean_neighbor_diversity,,1.0,,0.3071923947487558,0.571962245950149,0.07299060519670904,0.0
adult,16,label_target_complementarity,,1.0,,0.3071923947487558,0.571962245950149,0.07299060519670904,0.0
adult,16,geometry + complementarity,,1.0,,0.30713421016745546,0.5719509287159666,0.07300114107655334,"[9.967045156052598e-07, 0.0]"
adult,32,ID-factor joint,2.0,0.01,0.012937513430058735,0.14865427163793887,0.431468275450041,0.07331040638634116,
adult,32,ID-factor residual,2.0,0.02,0.005592312661813659,0.22855366880323114,0.5516238375268654,0.06909141655431553,
adult,32,ID-factor joint,4.0,0.01,0.010896522207900536,0.11676583331542356,0.4020367735879605,0.07442166964839968,
adult,32,ID-factor residual,4.0,0.02,0.005930608336057923,0.2289479830397112,0.5511885499282602,0.0688072356671368,
adult,32,ID-factor joint,8.0,0.01,0.014615530259582787,0.16302174265733382,0.4683724375211094,0.07309221980363106,
adult,32,ID-factor residual,8.0,0.02,0.007693170596671788,0.2284984746482832,0.5519578784712802,0.06892707004941075,
adult,32,ID-factor joint,16.0,0.01,0.009201406865719032,0.10704398576776364,0.4581028384901081,0.07662259450555371,
adult,32,ID-factor residual,16.0,0.02,0.008282055274348032,0.2307779974986227,0.5530495656524619,0.06818456751334884,
adult,32,feature-bilinear MLP,4.0,0.01,0.010189009879697303,0.14905673040429468,0.43701359850870486,0.07374609582418097,
adult,32,feature-bilinear MLP,8.0,0.01,0.014255371836621723,0.1284049725807458,0.4473126602951652,0.07411878820341056,
adult,32,feature-bilinear MLP,16.0,0.01,0.010876750781142388,-0.13850353706248053,0.33065763900225553,0.08524857637157873,
adult,32,signed bilinear,4.0,0.02,0.008298248268094666,0.051229652453156915,0.2396140190352228,0.07807482786234714,
adult,32,signed bilinear,8.0,0.02,0.013666890737388561,0.005952424375298637,0.4826546653685515,0.07992682312417226,
adult,32,signed bilinear,16.0,0.02,0.010890755846568187,0.041884472487692115,0.21888121108521869,0.07853410203734551,
adult,32,DeepSets,,0.01,0.007809233389247397,0.18426701617370977,0.4934710206703198,0.07302059861174603,
adult,32,cosine_diversity,,1.0,,0.22776882715508673,0.5519218580270008,0.06921877071536335,2.6626545150065795e-05
adult,32,rbf_diversity,,1.0,,0.22844312960451763,0.551841542171513,0.06899838438625981,3.6326083769615627e-07
adult,32,euclidean_neighbor_diversity,,1.0,,0.22773716514398012,0.5523878116795196,0.06927724233862081,2.419526478554185e-05
adult,32,label_target_complementarity,,1.0,,0.22811156670685895,0.5517877548864745,0.06906963388338912,3.0815997314781897e-06
adult,32,geometry + complementarity,,1.0,,0.22819336509415256,0.5519331752611831,0.06905856452513805,"[4.6239161061064333e-07, 1.879115837685454e-06]"
adult,64,ID-factor joint,2.0,0.01,0.0026155506541418226,0.24827645334762194,0.589912109507505,0.04011618850638404,
adult,64,ID-factor residual,2.0,0.02,0.001624024672109405,0.3506657974733861,0.6340943483740389,0.03571367115652047,
adult,64,ID-factor joint,4.0,0.01,0.002650554684724455,0.21108944303732669,0.48171716029176803,0.039749354945692754,
adult,64,ID-factor residual,4.0,0.02,0.001847317566119596,0.35142379539868007,0.6355219018599874,0.03562612846990647,
adult,64,ID-factor joint,8.0,0.01,0.0020613236938651375,0.24283555819663727,0.5852108330756025,0.04046153555352858,
adult,64,ID-factor residual,8.0,0.02,0.0011131022531135977,0.35197484030282167,0.6347721655180788,0.03565579948575048,
adult,64,ID-factor joint,16.0,0.01,0.0021237827251522168,0.29541970751059554,0.623170296811503,0.0378691762515477,
adult,64,ID-factor residual,16.0,0.02,0.0020291281762292983,0.34705299496084774,0.6333674898818753,0.035693914387228604,
adult,64,feature-bilinear MLP,4.0,0.01,0.0021740611743593144,0.2645387721696397,0.5798450037848847,0.03943980159178781,
adult,64,feature-bilinear MLP,8.0,0.01,0.0030138070599992853,0.05142270316106434,0.5047979901078854,0.04594678372777239,
adult,64,feature-bilinear MLP,16.0,0.01,0.004556452248578,-0.14613980464680476,0.36487669599554273,0.04973389020534254,
adult,64,signed bilinear,4.0,0.02,0.0024003399425639384,0.19689804042974157,0.5724518075965535,0.04213939965159634,
adult,64,signed bilinear,8.0,0.02,0.0028249862843037375,0.039566915873752384,0.3403402124981151,0.04437651873391365,
adult,64,signed bilinear,16.0,0.02,0.0032664623019505574,0.10376754719438752,0.4640909939701654,0.04271706008495016,
adult,64,DeepSets,,0.01,0.002333887355947495,0.30927236120300206,0.590570699522504,0.038424414732707135,
adult,64,cosine_diversity,,1.0,,0.3527066052540647,0.634481933222112,0.035739204159805006,2.834927727235481e-06
adult,64,rbf_diversity,,1.0,,0.352161574776633,0.6343974798831599,0.03572098375723645,4.185108245471811e-08
adult,64,euclidean_neighbor_diversity,,1.0,,0.3524931226402228,0.6347930963167817,0.03572884886280575,9.436769136803249e-07
adult,64,label_target_complementarity,,1.0,,0.3554407569891289,0.6361388736589609,0.035798040936235155,3.1717062685405293e-06
adult,64,geometry + complementarity,,1.0,,0.35543931712113397,0.6361388736589609,0.03579798592471787,"[0.0, 3.169856536299466e-06]"
