dataset,K,parameterization,rank,regularization,val_mse,r2,spearman,mae,coefficient
bank-marketing,16,ID-factor joint,2.0,0.01,0.010345980064964474,-0.011403698413846364,0.2727410237752577,0.07145641045522608,
bank-marketing,16,ID-factor residual,2.0,0.02,0.00788688978164909,0.1636415258803624,0.4179281174310292,0.06483531972828052,
bank-marketing,16,ID-factor joint,4.0,0.01,0.008875285629394842,0.05454632012178684,0.26369246912904937,0.0683735501009009,
bank-marketing,16,ID-factor residual,4.0,0.02,0.004349138445522343,0.15888389315483686,0.4178216380771629,0.06519024901045004,
bank-marketing,16,ID-factor joint,8.0,0.01,0.0093546909310574,0.06478081622231036,0.31728237186837366,0.06761182920233048,
bank-marketing,16,ID-factor residual,8.0,0.02,0.004256230124218872,0.1594722205515896,0.4149936681291656,0.06440131907418688,
bank-marketing,16,ID-factor joint,16.0,0.01,0.009248234578661162,0.05638815409843734,0.3263275191752583,0.06891519309466781,
bank-marketing,16,ID-factor residual,16.0,0.02,0.008374773713520934,0.15733136203801523,0.41817575798544954,0.06550273627698311,
bank-marketing,16,feature-bilinear MLP,4.0,0.01,0.0086150638760272,-0.0034045292844240294,0.2102647800796721,0.07038693772588818,
bank-marketing,16,feature-bilinear MLP,8.0,0.01,0.010036688132809349,0.007073413830215758,0.33801152909767385,0.07208608805637128,
bank-marketing,16,feature-bilinear MLP,16.0,0.01,0.006509309490323257,-0.12563564121644277,0.29676568658404556,0.07607668220154665,
bank-marketing,16,signed bilinear,4.0,0.02,0.006876775352458058,0.022102349422188805,0.25780775073560497,0.07114650217912444,
bank-marketing,16,signed bilinear,8.0,0.02,0.00852859027456781,0.04380161977603547,0.2443675007731922,0.06973484575996948,
bank-marketing,16,signed bilinear,16.0,0.02,0.010529614090854598,0.06280321889507723,0.2632155633144187,0.06942612096555494,
bank-marketing,16,DeepSets,,0.01,0.007811174754329253,0.13322454192648225,0.4210943874975958,0.06628516805948284,
bank-marketing,16,cosine_diversity,,1.0,,0.15631088314660269,0.42006524933114225,0.06571159199012867,0.0
bank-marketing,16,rbf_diversity,,1.0,,0.15584232305774293,0.4200517416645375,0.06578764816846609,5.2674440175896845e-06
bank-marketing,16,euclidean_neighbor_diversity,,1.0,,0.15420766435283428,0.4190582588702929,0.06610578401974766,0.00012251556814214093
