dataset,K,parameterization,rank,regularization,val_mse,r2,spearman,mae,coefficient
diamonds,16,ID-factor joint,2.0,0.01,0.012648143438959347,0.07098752250380014,0.2819358506310058,0.08878310756165016,
diamonds,16,ID-factor residual,2.0,0.02,0.009109503675346657,0.1451234028509244,0.41859047985742226,0.08615002576850815,
diamonds,16,ID-factor joint,4.0,0.01,0.01123852956688458,0.028836593769620555,0.29034881480265023,0.09161526418138036,
diamonds,16,ID-factor residual,4.0,0.02,0.007849965233426667,0.14576860033610772,0.41817660982028043,0.08619262638216,
diamonds,16,ID-factor joint,8.0,0.01,0.013193186855677216,0.02509204546841326,0.3006759735300844,0.09155256058362272,
diamonds,16,ID-factor residual,8.0,0.02,0.005792170915408365,0.14724604538856811,0.41935129005213284,0.08628588335415292,
diamonds,16,ID-factor joint,16.0,0.01,0.012068590492153534,0.06069689876128581,0.2795284437081076,0.0897881139269719,
diamonds,16,ID-factor residual,16.0,0.02,0.00793706812090969,0.1465746909732546,0.41879394669132436,0.08619891053719106,
diamonds,16,feature-bilinear MLP,4.0,0.01,0.011631971588293684,0.057725650751922375,0.29989192041355844,0.09239632894864373,
diamonds,16,feature-bilinear MLP,8.0,0.01,0.010775124036603575,0.025515202346741317,0.31719256413905567,0.09232029958978656,
diamonds,16,feature-bilinear MLP,16.0,0.01,0.010878541830511753,-0.0774143992400631,0.27678918627321714,0.09923928509258713,
diamonds,16,signed bilinear,4.0,0.02,0.011330223797563918,0.10161997431834446,0.3457730830050372,0.09046839418923436,
diamonds,16,signed bilinear,8.0,0.02,0.012284410339275654,-0.08969754225532411,0.3163143224283669,0.09869432582495956,
diamonds,16,signed bilinear,16.0,0.02,0.010461518751399352,0.002177013798690064,0.25065489366028615,0.09526170009839892,
diamonds,16,DeepSets,,0.01,0.006664754293761168,0.4862148206375436,0.6034353525205883,0.06666368766011792,
diamonds,16,cosine_diversity,,1.0,,0.15073784864391082,0.421122984809777,0.08635667576529431,0.0004794886917807162
diamonds,16,rbf_diversity,,1.0,,0.1468752317182327,0.41885649570605266,0.08626523773383034,8.914647515509549e-06
diamonds,16,euclidean_neighbor_diversity,,1.0,,0.1487913560723465,0.41980592647046916,0.08629441498964331,0.0001318199014812902
