dataset,K,parameterization,rank,regularization,val_mse,r2,spearman,mae,coefficient
house_16H,16,ID-factor joint,2.0,0.01,0.040145930845505974,0.06327875280238071,0.369239915690256,0.152676741872227,
house_16H,16,ID-factor residual,2.0,0.02,0.011417980902769369,0.4385953024550151,0.4700035795316502,0.11067558478249845,
house_16H,16,ID-factor joint,4.0,0.01,0.04913656172895548,0.11125196216228272,0.4166624125629574,0.1468726694151986,
house_16H,16,ID-factor residual,4.0,0.02,0.011786014569270553,0.4384928970563122,0.47015277231775304,0.11085688947492615,
house_16H,16,ID-factor joint,8.0,0.01,0.03937655467410782,0.05596380698968351,0.3932621446852412,0.14818501035461942,
house_16H,16,ID-factor residual,8.0,0.02,0.022505416986756798,0.4386883178458192,0.47016968732368153,0.11059301893198874,
house_16H,16,ID-factor joint,16.0,0.01,0.03531614467020966,0.029988267950306513,0.3303267620157843,0.1545955849592416,
house_16H,16,ID-factor residual,16.0,0.02,0.01585242579403571,0.4384216014408896,0.47020084014035557,0.11073123823922186,
house_16H,16,feature-bilinear MLP,4.0,0.01,0.02308956013005823,0.36352816121067366,0.5325129230949519,0.12254407445852743,
house_16H,16,feature-bilinear MLP,8.0,0.01,0.03160970910806509,0.3166016278763648,0.43617210738643625,0.13358189886862398,
house_16H,16,feature-bilinear MLP,16.0,0.01,0.017432835368042868,0.305047709285322,0.4566137095149524,0.13208356636315272,
house_16H,16,signed bilinear,4.0,0.02,0.03867650126938561,0.01105186928345192,0.13534578500869265,0.138111062519586,
house_16H,16,signed bilinear,8.0,0.02,0.04720963918881418,0.0028958297539399824,0.08796156253406393,0.136619350754762,
house_16H,16,signed bilinear,16.0,0.02,0.02635255208254656,0.235598099413465,0.42412777133053736,0.14134870923712123,
house_16H,16,DeepSets,,0.01,0.01817027740490193,0.5086005649087357,0.553100919123698,0.09583173724301647,
house_16H,16,cosine_diversity,,1.0,,0.43865283835170954,0.47024014623326843,0.11079830675307559,5.1790368161164224e-05
house_16H,16,rbf_diversity,,1.0,,0.43860686288482464,0.47013038123076856,0.11074720441414432,0.0
house_16H,16,euclidean_neighbor_diversity,,1.0,,0.43860686288482464,0.47013038123076856,0.11074720441414432,0.0
house_16H,16,label_target_complementarity,,1.0,,0.43860686288482464,0.47013038123076856,0.11074720441414432,0.0
house_16H,16,geometry + complementarity,,1.0,,0.43860686288482464,0.47013038123076856,0.11074720441414432,"[0.0, 0.0]"
house_16H,32,ID-factor joint,2.0,0.01,0.017852012447261745,0.19609864320386994,0.44631758191350207,0.09462543624435543,
house_16H,32,ID-factor residual,2.0,0.02,0.007192217699226466,0.44816988587552475,0.5993235457916894,0.07640141218618526,
house_16H,32,ID-factor joint,4.0,0.01,0.018974020039417804,0.20206085293611797,0.4683982359474176,0.09467245329025459,
house_16H,32,ID-factor residual,4.0,0.02,0.0063374137812461356,0.44722781288678304,0.5999175180502279,0.07649930275302735,
house_16H,32,ID-factor joint,8.0,0.01,0.013275291448233677,0.07203223030933015,0.222681976410138,0.09573689087510233,
house_16H,32,ID-factor residual,8.0,0.02,0.005765563129857854,0.4493601499804952,0.5995951594120661,0.07633178063959707,
house_16H,32,ID-factor joint,16.0,0.01,0.014803836690261358,0.06902139305878274,0.2730396527288438,0.09433626338007901,
house_16H,32,ID-factor residual,16.0,0.02,0.008025618015327963,0.4471881473054473,0.5994005759985436,0.07653805157685822,
house_16H,32,feature-bilinear MLP,4.0,0.01,0.01347244736397328,0.31416235492150846,0.5520580299092595,0.0873043305751296,
house_16H,32,feature-bilinear MLP,8.0,0.01,0.014101973619856214,0.24313670040602975,0.46869345756167996,0.09219332112829756,
house_16H,32,feature-bilinear MLP,16.0,0.01,0.019954329152786807,0.17386946763348432,0.5093993584831887,0.09567744428686732,
house_16H,32,signed bilinear,4.0,0.02,0.01759098183754464,-0.009220062974574006,0.17612421358152067,0.09973555776974621,
house_16H,32,signed bilinear,8.0,0.02,0.015116586367767615,0.028864688310874298,0.23163183990664862,0.0966409573011855,
house_16H,32,signed bilinear,16.0,0.02,0.014451818452938704,0.0034727163690396745,0.11910080802009793,0.09902330986936579,
house_16H,32,DeepSets,,0.01,0.009125713106217485,0.3995906914612234,0.5450839364577458,0.07883094914083336,
house_16H,32,cosine_diversity,,1.0,,0.4484557383488502,0.6001013926830187,0.07637713361551025,4.9111964472103864e-05
house_16H,32,rbf_diversity,,1.0,,0.44846761846491423,0.5993435030648712,0.07634325964081853,0.0
house_16H,32,euclidean_neighbor_diversity,,1.0,,0.4483568906000507,0.5994367181335131,0.07636756016619031,7.259568331910986e-06
house_16H,32,label_target_complementarity,,1.0,,0.44851869646686915,0.5992878904194805,0.07633521727412139,5.964772924786028e-07
house_16H,32,geometry + complementarity,,1.0,,0.44851869646686915,0.5992878904194805,0.07633521727412139,"[0.0, 5.964772924786148e-07]"
house_16H,64,ID-factor joint,2.0,0.01,0.004372198847279497,0.3382361255916084,0.6333101735668227,0.04911673919761289,
house_16H,64,ID-factor residual,2.0,0.02,0.0029531444901981607,0.40686914212794123,0.669035152850504,0.04500213259866216,
house_16H,64,ID-factor joint,4.0,0.01,0.004199403544099836,0.18570520512161048,0.5265985121731152,0.054816200128571545,
house_16H,64,ID-factor residual,4.0,0.02,0.002483237551450779,0.40767345959652435,0.6692372810868146,0.04498921743031716,
house_16H,64,ID-factor joint,8.0,0.01,0.005718481872079084,0.26066413539143785,0.5710462974982738,0.051953906154051814,
house_16H,64,ID-factor residual,8.0,0.02,0.002405206168671897,0.4081474362796762,0.6696917958144607,0.044993930680480576,
house_16H,64,ID-factor joint,16.0,0.01,0.0046306139447869245,0.29338212115207585,0.5657139157745876,0.05073031982524918,
house_16H,64,ID-factor residual,16.0,0.02,0.0024430961625102206,0.4065880931621162,0.6673767521253735,0.04500857294536526,
house_16H,64,feature-bilinear MLP,4.0,0.01,0.005956955092399746,0.20703608458133005,0.511733629301317,0.0546099405440881,
house_16H,64,feature-bilinear MLP,8.0,0.01,0.004252776872229969,0.2011080779932114,0.5854122311677724,0.0538192229461663,
house_16H,64,feature-bilinear MLP,16.0,0.01,0.005530868304938915,0.038886048306978505,0.5268770621628293,0.05886451469085379,
