data_role,method,selector_calls_count,selector_calls_mean,selector_calls_median,selector_calls_std,selector_improvement_count,selector_improvement_mean,selector_improvement_median,selector_improvement_std,test_improvement_count,test_improvement_mean,test_improvement_median,test_improvement_std
confirmation,additive_static,18,5.0,5.0,0.0,18,0.08266015158976169,0.05911048961433615,0.08186833444315872,18,0.030211203901326516,0.0324098641133969,0.07473943059810684
confirmation,contextual_active,18,257.0,257.0,0.0,18,0.19035745197228673,0.17120161367791148,0.10159063756949183,18,0.08940768233141422,0.0711756606776949,0.07933163636396763
confirmation,fm_static,18,5.0,5.0,0.0,18,0.05685541268277732,0.01850863961403635,0.08265480171365172,18,0.024255105726129468,0.0,0.058588956033800973
confirmation,random_search,18,257.0,257.0,0.0,18,0.16991790466568074,0.15955410347777021,0.0717150457833326,18,0.10586942346297835,0.08104560629669691,0.08725387354084486
confirmation,row_active,18,257.0,257.0,0.0,18,0.18452963521585783,0.164342501207171,0.09149085106805913,18,0.09994025842744508,0.08681924042601749,0.07431181774180731
confirmation,vip_style,18,254.0,254.0,0.0,18,0.14891839919995073,0.12190745510079225,0.09474784705265199,18,0.04066862102650225,0.0548548618405595,0.12251338028775408
development,additive_static,6,5.0,5.0,0.0,6,0.051211958546247736,0.05056815133132505,0.04990066562563732,6,0.013494203494914566,0.01144502015811715,0.01911581029724233
development,contextual_active,6,257.0,257.0,0.0,6,0.14375278675268344,0.1370245700350199,0.08226777523464994,6,0.10113801388033443,0.09667677727766474,0.03946725180234966
development,fm_static,6,5.0,5.0,0.0,6,0.05827015101005325,0.06229513652106705,0.033952715108360905,6,0.030969183467523784,0.015819344735177848,0.041687523343877576
development,random_search,6,257.0,257.0,0.0,6,0.13170010984351901,0.12127321299389165,0.08009625404103675,6,0.08590992154616282,0.0746582981145407,0.0612321851309271
development,row_active,6,257.0,257.0,0.0,6,0.1536340553662232,0.1543294786622332,0.07519521498657411,6,0.11210291961711623,0.11254080786799439,0.037832075544726
development,vip_style,6,254.0,254.0,0.0,6,0.08865522257235568,0.07708776395107164,0.07781995709242197,6,0.05081065080625794,0.04531124930391705,0.08803385877540254
