method,actual budget,mean residual,median residual,relative to equal-budget IID
IID,16,0.0014591302629487967,0.000479652890584,1.0
SRSWOR,16,0.0009690187293684219,8.365816856443643e-05,0.6641070739017537
LHS,16,0.0010828863956656649,0.0002534134554225,0.7421451142252575
Sobol,16,0.0016117614757662118,0.0004891768601248,1.1046042404116534
strength-1,16,0.001191917077747994,0.0002892121345897,0.8168681768954719
strength-2,16,0.0006921395371406995,3.5262179097952915e-05,0.47435075175669067
strength-3,64,4.268913596469472e-05,0.0,0.115611199465917
