method,winner_agreement,spearman,pairwise_accuracy,test_regret
IID,0.9668511284722222,0.9676866319444445,0.9741301359953705,0.005028762685832514
SRSWOR,0.98681640625,0.9740234375000001,0.9791847511574073,0.004977334684729813
strength-1,0.9759657118055556,0.9743055555555556,0.9787235966435185,0.004976558815455324
strength-2,0.9940863715277778,0.9864257812499999,0.9887514467592593,0.004906416302526631
strength-3,1.0,0.996560329861111,0.9971336082175927,0.0049205224657691525
LHS,0.9810655381944444,0.9762912326388888,0.9803602430555556,0.004957589967273982
Sobol,0.9525282118055556,0.9686306423611111,0.9739402488425927,0.004830719560271147
