dataset,model,ordinary nuisance variance,matched-function nuisance variance,fraction_removed,fraction remaining
australian_credit_approval,mlp,0.001043323555849,3.925091134583911e-16,0.9999999999996236,3.7636560534792807e-13
australian_credit_approval,resnet,0.0104014506715768,3.08112404819985e-15,0.9999999999997038,2.9620750296999176e-13
australian_credit_approval,ft_transformer,0.0200656710211981,3.7552569631603535e-14,0.9999999999981284,1.871613974913089e-12
australian_credit_approval,tabm,0.001556941496111,1.2222619076111697e-10,0.9999999214959644,7.850403560549779e-08
bank_marketing_subscription,mlp,0.0002553539586074,4.444168750124514e-16,0.9999999999982596,1.7403856134023954e-12
bank_marketing_subscription,resnet,0.0141087628675234,1.1991802906216344e-14,0.99999999999915,8.499867476530198e-13
bank_marketing_subscription,ft_transformer,0.0275603538989856,0.0014844702052946,0.94613747665449,0.053862523345510005
bank_marketing_subscription,tabm,0.0004996712573155,2.302880526969953e-07,0.9995391208733234,0.00046087912667658326
fremtpl_claim_count,mlp,0.0006446150054633,2.2133770299098842e-16,0.9999999999996566,3.433919815165609e-13
fremtpl_claim_count,resnet,0.0727790456019951,6.292242744906256e-14,0.9999999999991356,8.644196469731469e-13
fremtpl_claim_count,ft_transformer,0.135687415399252,0.0076386824602345,0.9437038251649338,0.056296174835066215
fremtpl_claim_count,tabm,0.0034380856499394,5.833830377428204e-06,0.9983031747980068,0.0016968252019932129
kdd17_stock_return,mlp,0.0083678580095031,2.528748069070529e-15,0.9999999999996978,3.022027073029676e-13
kdd17_stock_return,resnet,0.09818480957955,2.585508022151748e-13,0.9999999999973668,2.6332269698059463e-12
kdd17_stock_return,ft_transformer,0.1669645507802185,0.0013400949905481,0.9919737753655736,0.008026224634426371
kdd17_stock_return,tabm,0.0083772855163283,1.0708180730797098e-05,0.9987217600844658,0.0012782399155342183
