seed,n_rows,gap_scale,model,mae,rmse,mean_effect_gap
3,32,0.6,constant,0.293378041847245,0.30653592794712525,0.6
3,32,0.6,ridge_full_summary,0.293378041847245,0.3030889460134471,0.6
3,32,0.6,ridge_3stats,0.293378041847245,0.3039043360521621,0.6
3,32,1.0,constant,0.49348924698616614,0.5091186346315916,1.0
3,32,1.0,ridge_full_summary,0.49348924698616614,0.5060977093844673,1.0
3,32,1.0,ridge_3stats,0.49348924698616614,0.5073214542917213,1.0
3,32,1.4,constant,0.6842564980091127,0.6952739786401335,1.4
3,32,1.4,ridge_full_summary,0.6842564980091128,0.6937977702936836,1.4
3,32,1.4,ridge_3stats,0.6842564980091128,0.6939362316151262,1.4
3,160,0.6,constant,0.289613388470747,0.30646132410897686,0.6
3,160,0.6,ridge_full_summary,0.289613388470747,0.298503839783638,0.6
3,160,0.6,ridge_3stats,0.289613388470747,0.299336813969895,0.6
3,160,1.0,constant,0.5067767313911268,0.5195202324959769,1.0
3,160,1.0,ridge_full_summary,0.5067767313911268,0.5122980143225333,1.0
3,160,1.0,ridge_3stats,0.5067767313911268,0.5140522164844712,1.0
3,160,1.4,constant,0.6989883014270515,0.7100122220422732,1.4
3,160,1.4,ridge_full_summary,0.6989883014270515,0.7062668760096379,1.4
3,160,1.4,ridge_3stats,0.6989883014270514,0.7069215438925799,1.4
3,512,0.6,constant,0.30043995786551986,0.3170193796545702,0.6
3,512,0.6,ridge_full_summary,0.30043995786551986,0.3045385082041811,0.6
3,512,0.6,ridge_3stats,0.3004399578655198,0.3055174936154047,0.6
3,512,1.0,constant,0.5015271527065965,0.5135248739702999,1.0
3,512,1.0,ridge_full_summary,0.5015271527065965,0.5056731365430559,1.0
3,512,1.0,ridge_3stats,0.5015271527065965,0.5064057837760506,1.0
3,512,1.4,constant,0.7079683466314474,0.720136470004885,1.4
3,512,1.4,ridge_full_summary,0.7079683466314474,0.71407311260472,1.4
3,512,1.4,ridge_3stats,0.7079683466314474,0.7145571585258256,1.4
11,32,0.6,constant,0.30167452567134984,0.32071199690730096,0.6
11,32,0.6,ridge_full_summary,0.30167452567134984,0.31513983540792034,0.6
11,32,0.6,ridge_3stats,0.30167452567134984,0.31703633313165297,0.6
11,32,1.0,constant,0.5007658262078118,0.5169788480903971,1.0
11,32,1.0,ridge_full_summary,0.5007658262078117,0.514181563957917,1.0
11,32,1.0,ridge_3stats,0.5007658262078117,0.5152370476037283,1.0
11,32,1.4,constant,0.7147270681639385,0.7278870191410048,1.4
11,32,1.4,ridge_full_summary,0.7147270681639385,0.7241504708346045,1.4
11,32,1.4,ridge_3stats,0.7147270681639385,0.7255420822980813,1.4
11,160,0.6,constant,0.29984619837869286,0.319447040225235,0.6
11,160,0.6,ridge_full_summary,0.29984619837869286,0.30964190824102306,0.6
