seed,n_rows,flip_noise,model,mae,rmse,true_effect_gap
3,32,0.05,ridge,0.4499999999999999,0.45,0.9
3,32,0.2,ridge,0.29999999999999993,0.3,0.6
3,32,0.35,ridge,0.15000000000000002,0.15000000000000002,0.30000000000000004
3,160,0.05,ridge,0.45000000000000007,0.45,0.9
3,160,0.2,ridge,0.29999999999999993,0.3,0.6
3,160,0.35,ridge,0.15000000000000002,0.15000000000000002,0.30000000000000004
3,512,0.05,ridge,0.44999999999999996,0.45,0.9
3,512,0.2,ridge,0.29999999999999993,0.3,0.6
3,512,0.35,ridge,0.15000000000000002,0.15000000000000002,0.30000000000000004
11,32,0.05,ridge,0.45000000000000007,0.45,0.9
11,32,0.2,ridge,0.29999999999999993,0.3,0.6
11,32,0.35,ridge,0.15000000000000002,0.15000000000000002,0.30000000000000004
11,160,0.05,ridge,0.44999999999999996,0.45,0.9
11,160,0.2,ridge,0.29999999999999993,0.3,0.6
11,160,0.35,ridge,0.15000000000000002,0.15000000000000002,0.30000000000000004
11,512,0.05,ridge,0.44999999999999996,0.45,0.9
11,512,0.2,ridge,0.29999999999999993,0.3,0.6
11,512,0.35,ridge,0.15000000000000002,0.15000000000000002,0.30000000000000004
29,32,0.05,ridge,0.44999999999999996,0.45,0.9
29,32,0.2,ridge,0.29999999999999993,0.3,0.6
29,32,0.35,ridge,0.15000000000000002,0.15000000000000002,0.30000000000000004
29,160,0.05,ridge,0.44999999999999996,0.45,0.9
29,160,0.2,ridge,0.29999999999999993,0.3,0.6
29,160,0.35,ridge,0.15000000000000002,0.15000000000000002,0.30000000000000004
29,512,0.05,ridge,0.44999999999999996,0.45,0.9
29,512,0.2,ridge,0.29999999999999993,0.30000000000000004,0.6
29,512,0.35,ridge,0.15000000000000002,0.15000000000000002,0.30000000000000004
47,32,0.05,ridge,0.44999999999999996,0.45,0.9
47,32,0.2,ridge,0.29999999999999993,0.30000000000000004,0.6
47,32,0.35,ridge,0.15000000000000002,0.15000000000000002,0.30000000000000004
47,160,0.05,ridge,0.45000000000000007,0.45,0.9
47,160,0.2,ridge,0.29999999999999993,0.3,0.6
47,160,0.35,ridge,0.15000000000000002,0.15000000000000002,0.30000000000000004
47,512,0.05,ridge,0.44999999999999996,0.45,0.9
47,512,0.2,ridge,0.29999999999999993,0.3,0.6
47,512,0.35,ridge,0.15000000000000002,0.15000000000000002,0.30000000000000004
71,32,0.05,ridge,0.44999999999999996,0.45,0.9
71,32,0.2,ridge,0.29999999999999993,0.30000000000000004,0.6
71,32,0.35,ridge,0.15000000000000002,0.15000000000000002,0.30000000000000004
71,160,0.05,ridge,0.44999999999999996,0.45,0.9
71,160,0.2,ridge,0.29999999999999993,0.3,0.6
71,160,0.35,ridge,0.15000000000000002,0.15000000000000002,0.30000000000000004
71,512,0.05,ridge,0.44999999999999996,0.45,0.9
71,512,0.2,ridge,0.29999999999999993,0.30000000000000004,0.6
71,512,0.35,ridge,0.15000000000000002,0.15000000000000002,0.30000000000000004
