scope,dataset,model,method,seeds,C_A_mean_per_seed_C,C_B_median_per_seed_C,C_C_ratio_of_mean_losses,C_D_ratio_of_median_losses,reported_unit_C,reported_raw_task_error,reported_method_task_error,displayed_loss_delta,reported_C_matches,apparent_sign_mismatch,diagnosis
general,mfeat-fourier,controlled_mlp,Raw+Gram@0.75,3,-0.004790255458235555,0.0016003666379497928,-0.004513483832870269,-0.00471821424578941,0.0016003666379497,0.624761809712978,0.6168454260697952,-0.007916383643182812,B: median of per-seed C,True,AGGREGATION-EXPLAINED
general,mfeat-fourier,controlled_mlp,GuardedGram-G2-g0p0-t01,3,-0.004790255458235555,0.0016003666379497928,-0.004513483832870269,-0.00471821424578941,0.0016003666379497,0.624761809712978,0.6168454260697952,-0.007916383643182812,B: median of per-seed C,True,AGGREGATION-EXPLAINED
general,mfeat-fourier,controlled_mlp,BlockGuard-Greedy-t01,3,-0.008823519808365932,-0.00619158558241094,-0.008618792736953283,0.0006075544616136141,-0.0061915855824109,0.624761809712978,0.625781185678483,0.0010193759655049428,B: median of per-seed C,True,AGGREGATION-EXPLAINED
general,mfeat-fourier,tabm_d,PureGram,3,0.004254634377582849,0.007020286111382465,0.004269623265238914,-0.0006503520046923896,0.0070202861113824,0.50367737287535,0.502507442200218,-0.001169930675131936,B: median of per-seed C,True,AGGREGATION-EXPLAINED
general,waveform-5000,controlled_mlp,PureGram,3,0.009986810904849744,-0.01601088905346354,0.011111379802507553,0.0250320693671701,-0.0160108890534635,0.4137852468401882,0.4309268613452017,0.017141614505013503,B: median of per-seed C,True,AGGREGATION-EXPLAINED
general,waveform-5000,catboost,Raw+Gram@0.5,3,-0.001228861281930199,-0.002705036530386633,-0.0012271780950922316,0.0005572205237440556,-0.0027050365303866,0.3641576184000293,0.3645668488324455,0.0004092304324161966,B: median of per-seed C,True,AGGREGATION-EXPLAINED
general,waveform-5000,catboost,Raw+Gram@0.75,3,-0.0003375771274955388,-0.0028597407582508284,-0.00033549531854433755,0.0004200163608201064,-0.0028597407582508,0.3641576184000293,0.3644660842042057,0.00030846580417637215,B: median of per-seed C,True,AGGREGATION-EXPLAINED
general,waveform-5000,catboost,PureGram,3,0.0015875247100499174,-0.002176700760069827,0.0015897627176932614,0.0013540148133181192,-0.0021767007600698,0.3641576184000293,0.365152025540364,0.0009944071403347188,B: median of per-seed C,True,AGGREGATION-EXPLAINED
general,waveform-5000,catboost,GuardedGram-G2-g0p0-t01,3,-0.0013263502060433593,-0.0028597407582508284,-0.0013246668607903287,0.0004200163608201064,-0.0028597407582508,0.3641576184000293,0.3644660842042057,0.00030846580417637215,B: median of per-seed C,True,AGGREGATION-EXPLAINED
general,waveform-5000,catboost,SafeGram-t01,3,-0.0011206979108439733,-0.0017492148702928096,-0.0011196902703263876,0.0006944495434821847,-0.0017492148702928,0.3641576184000293,0.3646676317158723,0.0005100133158429943,B: median of per-seed C,True,AGGREGATION-EXPLAINED
general,JapaneseVowels,tabm_d,Raw+Gram@0.5,3,-0.006242244776911106,-0.004761404672332766,-0.005946619285503207,0.007774988193555363,-0.0047614046723327,0.1752159174526387,0.1907308538492969,0.015514936396658185,B: median of per-seed C,True,AGGREGATION-EXPLAINED
general,JapaneseVowels,tabm_d,Raw+Gram@0.75,3,-0.006880046182326541,-0.00504217085184972,-0.006446287923054413,0.014036655686960735,-0.0050421708518497,0.1752159174526387,0.2032259690158681,0.028010051563229388,B: median of per-seed C,True,AGGREGATION-EXPLAINED
general,JapaneseVowels,tabm_d,PureGram,3,-0.005163799735772005,-0.0030702659508227855,-0.004575063423782883,0.021918716493201935,-0.0030702659508227,0.1752159174526387,0.2189545680875412,0.04373865063490251,B: median of per-seed C,True,AGGREGATION-EXPLAINED
general,JapaneseVowels,tabm_d,GuardedGram-G2-g0p0-t01,3,-0.006880046182326541,-0.00504217085184972,-0.006446287923054413,0.014036655686960735,-0.0050421708518497,0.1752159174526387,0.2032259690158681,0.028010051563229388,B: median of per-seed C,True,AGGREGATION-EXPLAINED
general,JapaneseVowels,tabm_d,SafeGram-t01,3,-0.010453850970596028,-0.0030702659508227855,-0.009961112392126308,0.007774988193555363,-0.0030702659508227,0.1752159174526387,0.1907308538492969,0.015514936396658185,B: median of per-seed C,True,AGGREGATION-EXPLAINED
general,JapaneseVowels,tabpfn_2_6,Raw+Gram@0.5,3,-0.0027998393529786447,-0.004312389684714078,-0.002795111408303242,0.0007280321992684595,-0.004312389684714,0.1096918577818232,0.1111923447406691,0.0015004869588459008,B: median of per-seed C,True,AGGREGATION-EXPLAINED
general,JapaneseVowels,tabpfn_2_6,Raw+Gram@0.75,3,-0.001490453500250265,-0.004367418600330493,-0.0014856243062135658,0.001739560971491545,-0.0043674186003304,0.1096918577818232,0.1132771230413312,0.0035852652595080026,B: median of per-seed C,True,AGGREGATION-EXPLAINED
general,JapaneseVowels,tabpfn_2_6,PureGram,3,0.0023202562705060656,-0.001123221409747373,0.002325472706461133,0.00496403206821405,-0.0011232214097473,0.1096918577818232,0.1199228137603261,0.010230955978502904,B: median of per-seed C,True,AGGREGATION-EXPLAINED
general,JapaneseVowels,tabpfn_2_6,GuardedGram-G2-g0p0-t01,3,-0.001490453500250265,-0.004367418600330493,-0.0014856243062135658,0.001739560971491545,-0.0043674186003304,0.1096918577818232,0.1132771230413312,0.0035852652595080026,B: median of per-seed C,True,AGGREGATION-EXPLAINED
general,JapaneseVowels,tabpfn_2_6,SafeGram-t01,3,-0.0008863367998352581,-0.001123221409747373,-0.0008865264030065297,0.0012980071485445932,-0.0011232214097473,0.1096918577818232,0.1123670729726307,0.0026752151908075034,B: median of per-seed C,True,AGGREGATION-EXPLAINED
general,JapaneseVowels,tabpfn_2_6,BlockGuard-Greedy-t01,3,0.0007285142399724781,-0.001123221409747373,0.0007310471362618215,0.00496403206821405,-0.0011232214097473,0.1096918577818232,0.1199228137603261,0.010230955978502904,B: median of per-seed C,True,AGGREGATION-EXPLAINED
general,ada_prior,catboost,Raw+Gram@0.5,3,-0.008625917421346102,-0.009912546635773954,-0.00848471676434661,0.003913822646237818,-0.0099125466357739,0.3783753126544908,0.3790868609325115,0.0007115482780206683,B: median of per-seed C,True,AGGREGATION-EXPLAINED
general,ada_prior,catboost,Raw+Gram@0.75,3,-0.004153392676492659,-0.007114765212528879,-0.003945295795444948,0.015944252112983708,-0.0071147652125288,0.3783753126544908,0.3812740401035301,0.0028987274490392956,B: median of per-seed C,True,AGGREGATION-EXPLAINED
general,ada_prior,catboost,GuardedGram-G2-g0p0-t01,3,-0.00540564750868554,-0.007114765212528879,-0.005315952040630537,0.003913822646237818,-0.0071147652125288,0.3783753126544908,0.3790868609325115,0.0007115482780206683,B: median of per-seed C,True,AGGREGATION-EXPLAINED
general,eye_movements,tabm_d,Raw+Gram@0.5,3,-0.13604564289474771,-0.09012295235047559,-0.06783199392598518,0.06025621939483737,-0.0901229523504755,0.9461642308677304,0.9545502254302404,0.00838599456250999,B: median of per-seed C,True,AGGREGATION-EXPLAINED
general,eye_movements,tabm_d,Raw+Gram@0.75,3,-0.06557452317994376,-0.012287315486337663,0.027900959721904654,0.2230144033739009,-0.0122873154863376,0.9461642308677304,0.9772016506202086,0.0310374197524782,B: median of per-seed C,True,AGGREGATION-EXPLAINED
