scope,dataset,model,seed,problem_type,n_test,trivial_loss_recomputed,trivial_loss_stored,trivial_loss_mismatch,trivial_matches_tolerance
general,mfeat-fourier,controlled_mlp,0,classification,400,2.302596522337036,2.302596522337036,0.0,True
general,mfeat-fourier,controlled_mlp,1,classification,400,2.302596522337036,2.302596522337036,0.0,True
general,mfeat-fourier,controlled_mlp,2,classification,400,2.302596522337036,2.302596522337036,0.0,True
general,mfeat-fourier,tabm_d,0,classification,400,2.302596522337036,2.302596522337036,0.0,True
general,mfeat-fourier,tabm_d,1,classification,400,2.302596522337036,2.302596522337036,0.0,True
general,mfeat-fourier,tabm_d,2,classification,400,2.302596522337036,2.302596522337036,0.0,True
general,mfeat-fourier,catboost,0,classification,400,2.302596522337036,2.302596522337036,0.0,True
general,mfeat-fourier,catboost,1,classification,400,2.302596522337036,2.302596522337036,0.0,True
general,mfeat-fourier,catboost,2,classification,400,2.302596522337036,2.302596522337036,0.0,True
general,mfeat-fourier,tabicl_v2,0,classification,400,2.302596522337036,2.302596522337036,0.0,True
general,mfeat-fourier,tabicl_v2,1,classification,400,2.302596522337036,2.302596522337036,0.0,True
general,mfeat-fourier,tabicl_v2,2,classification,400,2.302596522337036,2.302596522337036,0.0,True
general,mfeat-fourier,tabpfn_2_6,0,classification,400,2.302596522337036,2.302596522337036,0.0,True
general,mfeat-fourier,tabpfn_2_6,1,classification,400,2.302596522337036,2.302596522337036,0.0,True
general,mfeat-fourier,tabpfn_2_6,2,classification,400,2.302596522337036,2.302596522337036,0.0,True
general,waveform-5000,controlled_mlp,0,classification,512,1.0985714006966874,1.0985714006966874,0.0,True
general,waveform-5000,controlled_mlp,1,classification,512,1.0985714006966874,1.0985714006966874,0.0,True
general,waveform-5000,controlled_mlp,2,classification,512,1.0985714006966874,1.0985714006966874,0.0,True
general,waveform-5000,tabm_d,0,classification,512,1.0985714006966874,1.0985714006966874,0.0,True
general,waveform-5000,tabm_d,1,classification,512,1.0985714006966874,1.0985714006966874,0.0,True
general,waveform-5000,tabm_d,2,classification,512,1.0985714006966874,1.0985714006966874,0.0,True
general,waveform-5000,catboost,0,classification,512,1.0985714006966874,1.0985714006966874,0.0,True
general,waveform-5000,catboost,1,classification,512,1.0985714006966874,1.0985714006966874,0.0,True
