record_type,dataset,model,method,seed,problem_type,L_raw,L_method,L_trivial,numerator,raw_headroom,denominator_used,C_recomputed,reported_raw_loss,reported_method_loss,reported_C,denominator_clipped,aggregation_semantics
seed,2dplanes,catboost,PureGram,1.0,regression,1.0512728540518608,1.0466144644744855,4.3739142822513895,-0.004658389577375299,3.3226414281995287,3.3226414281995287,-0.0014020139332036154,1.0512728540518608,1.0466144644744855,-0.0014020139332036154,False,per-seed
seed,2dplanes,catboost,PureGram,2.0,regression,1.052750588487655,1.0448237862256704,4.3739142822513895,-0.0079268022619845,3.3211636937637348,3.3211636937637348,-0.0023867544610550015,1.052750588487655,1.0448237862256704,-0.0023867544610550015,False,per-seed
aggregated_report,2dplanes,catboost,Raw+Gram@0.75,,regression,1.052750588487655,1.044570060626992,4.3739142822513895,-0.008180527860662812,3.3211636937637348,3.3211636937637348,-0.0024631510563672835,1.052750588487655,1.044570060626992,-0.0024631510563672,False,"independent medians of raw loss, method loss, and per-seed C"
seed,2dplanes,catboost,Raw+Gram@0.75,0.0,regression,1.0554507565728168,1.035405970253488,4.3739142822513895,-0.020044786319328933,3.3184635256785726,3.3184635256785726,-0.00604038168996602,1.0554507565728168,1.035405970253488,-0.00604038168996602,False,per-seed
seed,2dplanes,catboost,Raw+Gram@0.75,1.0,regression,1.0512728540518608,1.0459487249575465,4.3739142822513895,-0.005324129094314234,3.3226414281995287,3.3226414281995287,-0.0016023784718771988,1.0512728540518608,1.0459487249575465,-0.0016023784718771988,False,per-seed
seed,2dplanes,catboost,Raw+Gram@0.75,2.0,regression,1.052750588487655,1.044570060626992,4.3739142822513895,-0.008180527860662812,3.3211636937637348,3.3211636937637348,-0.0024631510563672835,1.052750588487655,1.044570060626992,-0.0024631510563672835,False,per-seed
aggregated_report,2dplanes,catboost,SafeGram-t01,,regression,1.052750588487655,1.0448237862256704,4.3739142822513895,-0.0079268022619845,3.3211636937637348,3.3211636937637348,-0.0023867544610550015,1.052750588487655,1.0448237862256704,-0.002386754461055,False,"independent medians of raw loss, method loss, and per-seed C"
seed,2dplanes,catboost,SafeGram-t01,0.0,regression,1.0554507565728168,1.0318704038255497,4.3739142822513895,-0.023580352747267108,3.3184635256785726,3.3184635256785726,-0.007105804407612196,1.0554507565728168,1.0318704038255497,-0.007105804407612196,False,per-seed
seed,2dplanes,catboost,SafeGram-t01,1.0,regression,1.0512728540518608,1.0466144644744855,4.3739142822513895,-0.004658389577375299,3.3226414281995287,3.3226414281995287,-0.0014020139332036154,1.0512728540518608,1.0466144644744855,-0.0014020139332036154,False,per-seed
seed,2dplanes,catboost,SafeGram-t01,2.0,regression,1.052750588487655,1.0448237862256704,4.3739142822513895,-0.0079268022619845,3.3211636937637348,3.3211636937637348,-0.0023867544610550015,1.052750588487655,1.0448237862256704,-0.0023867544610550015,False,per-seed
aggregated_report,2dplanes,catboost,SafeRankGram-t01,,regression,1.052750588487655,1.0386304342464274,4.3739142822513895,-0.014120154241227478,3.3211636937637348,3.3211636937637348,-0.003804930528505453,1.052750588487655,1.0386304342464274,-0.0038049305285054,False,"independent medians of raw loss, method loss, and per-seed C"
seed,2dplanes,catboost,SafeRankGram-t01,0.0,regression,1.0554507565728168,1.0443776039743624,4.3739142822513895,-0.011073152598454428,3.3184635256785726,3.3184635256785726,-0.003336831190931998,1.0554507565728168,1.0443776039743624,-0.003336831190931998,False,per-seed
seed,2dplanes,catboost,SafeRankGram-t01,1.0,regression,1.0512728540518608,1.0386304342464274,4.3739142822513895,-0.012642419805433347,3.3226414281995287,3.3226414281995287,-0.003804930528505453,1.0512728540518608,1.0386304342464274,-0.003804930528505453,False,per-seed
seed,2dplanes,catboost,SafeRankGram-t01,2.0,regression,1.052750588487655,1.0364626589089074,4.3739142822513895,-0.016287929578747473,3.3211636937637348,3.3211636937637348,-0.004904283883788049,1.052750588487655,1.0364626589089074,-0.004904283883788049,False,per-seed
aggregated_report,2dplanes,controlled_mlp,BlockGuard-Greedy-t01,,regression,0.9825998145996574,1.0041510424264766,4.3739142822513895,0.021551227826819175,3.391314467651732,3.391314467651732,0.00834385022915162,0.9825998145996574,1.0041510424264766,0.0083438502291516,False,"independent medians of raw loss, method loss, and per-seed C"
seed,2dplanes,controlled_mlp,BlockGuard-Greedy-t01,0.0,regression,0.97579766632197,1.0041510424264766,4.3739142822513895,0.02835337610450661,3.3981166159294194,3.3981166159294194,0.00834385022915162,0.97579766632197,1.0041510424264766,0.00834385022915162,False,per-seed
seed,2dplanes,controlled_mlp,BlockGuard-Greedy-t01,1.0,regression,0.9889547905700358,1.018300367515764,4.3739142822513895,0.029345576945728258,3.3849594916813537,3.3849594916813537,0.00866940269679621,0.9889547905700358,1.018300367515764,0.00866940269679621,False,per-seed
seed,2dplanes,controlled_mlp,BlockGuard-Greedy-t01,2.0,regression,0.9825998145996574,0.9881418152334535,4.3739142822513895,0.0055420006337960626,3.391314467651732,3.391314467651732,0.0016341747976068828,0.9825998145996574,0.9881418152334535,0.0016341747976068828,False,per-seed
aggregated_report,2dplanes,controlled_mlp,GuardedGram-G2-g0p0-t01,,regression,0.9825998145996574,1.0118121648686933,4.3739142822513895,0.029212350269035903,3.391314467651732,3.391314467651732,0.009587127302293599,0.9825998145996574,1.0118121648686933,0.0095871273022935,False,"independent medians of raw loss, method loss, and per-seed C"
seed,2dplanes,controlled_mlp,GuardedGram-G2-g0p0-t01,0.0,regression,0.97579766632197,1.0118121648686933,4.3739142822513895,0.03601449854672334,3.3981166159294194,3.3981166159294194,0.010598370396677222,0.97579766632197,1.0118121648686933,0.010598370396677222,False,per-seed
seed,2dplanes,controlled_mlp,GuardedGram-G2-g0p0-t01,1.0,regression,0.9889547905700358,1.0099098516791212,4.3739142822513895,0.020955061109085404,3.3849594916813537,3.3849594916813537,0.00619063866512528,0.9889547905700358,1.0099098516791212,0.00619063866512528,False,per-seed
seed,2dplanes,controlled_mlp,GuardedGram-G2-g0p0-t01,2.0,regression,0.9825998145996574,1.0151127781231446,4.3739142822513895,0.032512963523487204,3.391314467651732,3.391314467651732,0.009587127302293599,0.9825998145996574,1.0151127781231446,0.009587127302293599,False,per-seed
aggregated_report,2dplanes,controlled_mlp,PureGram,,regression,0.9825998145996574,1.0406898102706368,4.3739142822513895,0.05808999567097939,3.391314467651732,3.391314467651732,0.01909650294062029,0.9825998145996574,1.0406898102706368,0.0190965029406202,False,"independent medians of raw loss, method loss, and per-seed C"
seed,2dplanes,controlled_mlp,PureGram,0.0,regression,0.97579766632197,1.0406898102706368,4.3739142822513895,0.06489214394866683,3.3981166159294194,3.3981166159294194,0.01909650294062029,0.97579766632197,1.0406898102706368,0.01909650294062029,False,per-seed
seed,2dplanes,controlled_mlp,PureGram,1.0,regression,0.9889547905700358,1.0348660222826918,4.3739142822513895,0.04591123171265599,3.3849594916813537,3.3849594916813537,0.013563303143061034,0.9889547905700358,1.0348660222826918,0.013563303143061034,False,per-seed
seed,2dplanes,controlled_mlp,PureGram,2.0,regression,0.9825998145996574,1.0505619384365819,4.3739142822513895,0.06796212383692446,3.391314467651732,3.391314467651732,0.02004005363854797,0.9825998145996574,1.0505619384365819,0.02004005363854797,False,per-seed
aggregated_report,2dplanes,controlled_mlp,Raw+Gram@0.75,,regression,0.9825998145996574,1.0118121648686933,4.3739142822513895,0.029212350269035903,3.391314467651732,3.391314467651732,0.009587127302293599,0.9825998145996574,1.0118121648686933,0.0095871273022935,False,"independent medians of raw loss, method loss, and per-seed C"
seed,2dplanes,controlled_mlp,Raw+Gram@0.75,0.0,regression,0.97579766632197,1.0118121648686933,4.3739142822513895,0.03601449854672334,3.3981166159294194,3.3981166159294194,0.010598370396677222,0.97579766632197,1.0118121648686933,0.010598370396677222,False,per-seed
seed,2dplanes,controlled_mlp,Raw+Gram@0.75,1.0,regression,0.9889547905700358,1.0099098516791212,4.3739142822513895,0.020955061109085404,3.3849594916813537,3.3849594916813537,0.00619063866512528,0.9889547905700358,1.0099098516791212,0.00619063866512528,False,per-seed
seed,2dplanes,controlled_mlp,Raw+Gram@0.75,2.0,regression,0.9825998145996574,1.0151127781231446,4.3739142822513895,0.032512963523487204,3.391314467651732,3.391314467651732,0.009587127302293599,0.9825998145996574,1.0151127781231446,0.009587127302293599,False,per-seed
aggregated_report,2dplanes,controlled_mlp,SafeGram-t01,,regression,0.9825998145996574,0.9914713691149051,4.3739142822513895,0.008871554515247682,3.391314467651732,3.391314467651732,0.0026159633970454723,0.9825998145996574,0.9914713691149052,0.0026159633970454,False,"independent medians of raw loss, method loss, and per-seed C"
seed,2dplanes,controlled_mlp,SafeGram-t01,0.0,regression,0.97579766632197,0.9910588695772293,4.3739142822513895,0.01526120325525937,3.3981166159294194,3.3981166159294194,0.0044910769641392295,0.97579766632197,0.9910588695772293,0.0044910769641392295,False,per-seed
seed,2dplanes,controlled_mlp,SafeGram-t01,1.0,regression,0.9889547905700358,0.9936910815837231,4.3739142822513895,0.004736291013687333,3.3849594916813537,3.3849594916813537,0.0013992164530556184,0.9889547905700358,0.9936910815837231,0.0013992164530556184,False,per-seed
seed,2dplanes,controlled_mlp,SafeGram-t01,2.0,regression,0.9825998145996574,0.9914713691149051,4.3739142822513895,0.008871554515247682,3.391314467651732,3.391314467651732,0.0026159633970454723,0.9825998145996574,0.9914713691149051,0.0026159633970454723,False,per-seed
aggregated_report,2dplanes,controlled_mlp,SafeRankGram-t01,,regression,0.9825998145996574,0.9925667768332815,4.3739142822513895,0.009966962233624144,3.391314467651732,3.391314467651732,0.001205002448548192,0.9825998145996574,0.9925667768332816,0.0012050024485481,False,"independent medians of raw loss, method loss, and per-seed C"
seed,2dplanes,controlled_mlp,SafeRankGram-t01,0.0,regression,0.97579766632197,0.9925667768332815,4.3739142822513895,0.01676911051131158,3.3981166159294194,3.3981166159294194,0.004934824906450439,0.97579766632197,0.9925667768332815,0.004934824906450439,False,per-seed
seed,2dplanes,controlled_mlp,SafeRankGram-t01,1.0,regression,0.9889547905700358,0.9930336750457482,4.3739142822513895,0.004078884475712474,3.3849594916813537,3.3849594916813537,0.001205002448548192,0.9889547905700358,0.9930336750457482,0.001205002448548192,False,per-seed
seed,2dplanes,controlled_mlp,SafeRankGram-t01,2.0,regression,0.9825998145996574,0.9786840998490858,4.3739142822513895,-0.0039157147505716194,3.391314467651732,3.391314467651732,-0.0011546303912308672,0.9825998145996574,0.9786840998490858,-0.0011546303912308672,False,per-seed
aggregated_report,2dplanes,tabicl_v2,BlockGuard-Greedy-t01,,regression,0.9847244247204872,0.9895600431785818,4.3739142822513895,0.004835618458094659,3.3891898575309023,3.3891898575309023,0.0014267770946350912,0.9847244247204872,0.9895600431785818,0.001426777094635,False,"independent medians of raw loss, method loss, and per-seed C"
seed,2dplanes,tabicl_v2,BlockGuard-Greedy-t01,0.0,regression,0.9847244247204872,0.9895600431785818,4.3739142822513895,0.004835618458094659,3.3891898575309023,3.3891898575309023,0.0014267770946350912,0.9847244247204872,0.9895600431785818,0.0014267770946350912,False,per-seed
seed,2dplanes,tabicl_v2,BlockGuard-Greedy-t01,1.0,regression,0.9847244247204872,0.9895600431785818,4.3739142822513895,0.004835618458094659,3.3891898575309023,3.3891898575309023,0.0014267770946350912,0.9847244247204872,0.9895600431785818,0.0014267770946350912,False,per-seed
seed,2dplanes,tabicl_v2,BlockGuard-Greedy-t01,2.0,regression,0.9847244247204872,0.9895600431785818,4.3739142822513895,0.004835618458094659,3.3891898575309023,3.3891898575309023,0.0014267770946350912,0.9847244247204872,0.9895600431785818,0.0014267770946350912,False,per-seed
aggregated_report,2dplanes,tabicl_v2,GuardedGram-G2-g0p0-t01,,regression,0.9847244247204872,0.9867689653270515,4.3739142822513895,0.002044540606564338,3.3891898575309023,3.3891898575309023,0.0006032534890370024,0.9847244247204872,0.9867689653270516,0.000603253489037,False,"independent medians of raw loss, method loss, and per-seed C"
seed,2dplanes,tabicl_v2,GuardedGram-G2-g0p0-t01,0.0,regression,0.9847244247204872,0.9867689653270515,4.3739142822513895,0.002044540606564338,3.3891898575309023,3.3891898575309023,0.0006032534890370024,0.9847244247204872,0.9867689653270515,0.0006032534890370024,False,per-seed
seed,2dplanes,tabicl_v2,GuardedGram-G2-g0p0-t01,1.0,regression,0.9847244247204872,0.9867689653270515,4.3739142822513895,0.002044540606564338,3.3891898575309023,3.3891898575309023,0.0006032534890370024,0.9847244247204872,0.9867689653270515,0.0006032534890370024,False,per-seed
seed,2dplanes,tabicl_v2,GuardedGram-G2-g0p0-t01,2.0,regression,0.9847244247204872,0.9867689653270515,4.3739142822513895,0.002044540606564338,3.3891898575309023,3.3891898575309023,0.0006032534890370024,0.9847244247204872,0.9867689653270515,0.0006032534890370024,False,per-seed
aggregated_report,2dplanes,tabicl_v2,PureGram,,regression,0.9847244247204872,0.9895600431785818,4.3739142822513895,0.004835618458094659,3.3891898575309023,3.3891898575309023,0.0014267770946350912,0.9847244247204872,0.9895600431785818,0.001426777094635,False,"independent medians of raw loss, method loss, and per-seed C"
seed,2dplanes,tabicl_v2,PureGram,0.0,regression,0.9847244247204872,0.9895600431785818,4.3739142822513895,0.004835618458094659,3.3891898575309023,3.3891898575309023,0.0014267770946350912,0.9847244247204872,0.9895600431785818,0.0014267770946350912,False,per-seed
seed,2dplanes,tabicl_v2,PureGram,1.0,regression,0.9847244247204872,0.9895600431785818,4.3739142822513895,0.004835618458094659,3.3891898575309023,3.3891898575309023,0.0014267770946350912,0.9847244247204872,0.9895600431785818,0.0014267770946350912,False,per-seed
seed,2dplanes,tabicl_v2,PureGram,2.0,regression,0.9847244247204872,0.9895600431785818,4.3739142822513895,0.004835618458094659,3.3891898575309023,3.3891898575309023,0.0014267770946350912,0.9847244247204872,0.9895600431785818,0.0014267770946350912,False,per-seed
aggregated_report,2dplanes,tabicl_v2,Raw+Gram@0.75,,regression,0.9847244247204872,0.9867689653270515,4.3739142822513895,0.002044540606564338,3.3891898575309023,3.3891898575309023,0.0006032534890370024,0.9847244247204872,0.9867689653270516,0.000603253489037,False,"independent medians of raw loss, method loss, and per-seed C"
seed,2dplanes,tabicl_v2,Raw+Gram@0.75,0.0,regression,0.9847244247204872,0.9867689653270515,4.3739142822513895,0.002044540606564338,3.3891898575309023,3.3891898575309023,0.0006032534890370024,0.9847244247204872,0.9867689653270515,0.0006032534890370024,False,per-seed
seed,2dplanes,tabicl_v2,Raw+Gram@0.75,1.0,regression,0.9847244247204872,0.9867689653270515,4.3739142822513895,0.002044540606564338,3.3891898575309023,3.3891898575309023,0.0006032534890370024,0.9847244247204872,0.9867689653270515,0.0006032534890370024,False,per-seed
seed,2dplanes,tabicl_v2,Raw+Gram@0.75,2.0,regression,0.9847244247204872,0.9867689653270515,4.3739142822513895,0.002044540606564338,3.3891898575309023,3.3891898575309023,0.0006032534890370024,0.9847244247204872,0.9867689653270515,0.0006032534890370024,False,per-seed
aggregated_report,2dplanes,tabicl_v2,SafeGram-t01,,regression,0.9847244247204872,0.9895600431785818,4.3739142822513895,0.004835618458094659,3.3891898575309023,3.3891898575309023,0.0014267770946350912,0.9847244247204872,0.9895600431785818,0.001426777094635,False,"independent medians of raw loss, method loss, and per-seed C"
seed,2dplanes,tabicl_v2,SafeGram-t01,0.0,regression,0.9847244247204872,0.9895600431785818,4.3739142822513895,0.004835618458094659,3.3891898575309023,3.3891898575309023,0.0014267770946350912,0.9847244247204872,0.9895600431785818,0.0014267770946350912,False,per-seed
seed,2dplanes,tabicl_v2,SafeGram-t01,1.0,regression,0.9847244247204872,0.9895600431785818,4.3739142822513895,0.004835618458094659,3.3891898575309023,3.3891898575309023,0.0014267770946350912,0.9847244247204872,0.9895600431785818,0.0014267770946350912,False,per-seed
seed,2dplanes,tabicl_v2,SafeGram-t01,2.0,regression,0.9847244247204872,0.9895600431785818,4.3739142822513895,0.004835618458094659,3.3891898575309023,3.3891898575309023,0.0014267770946350912,0.9847244247204872,0.9895600431785818,0.0014267770946350912,False,per-seed
aggregated_report,2dplanes,tabicl_v2,SafeRankGram-t01,,regression,0.9847244247204872,0.9794072660469343,4.3739142822513895,-0.005317158673552869,3.3891898575309023,3.3891898575309023,-0.001568858310412428,0.9847244247204872,0.9794072660469344,-0.0015688583104124,False,"independent medians of raw loss, method loss, and per-seed C"
seed,2dplanes,tabicl_v2,SafeRankGram-t01,0.0,regression,0.9847244247204872,0.9794072660469343,4.3739142822513895,-0.005317158673552869,3.3891898575309023,3.3891898575309023,-0.001568858310412428,0.9847244247204872,0.9794072660469343,-0.001568858310412428,False,per-seed
seed,2dplanes,tabicl_v2,SafeRankGram-t01,1.0,regression,0.9847244247204872,0.9794072660469343,4.3739142822513895,-0.005317158673552869,3.3891898575309023,3.3891898575309023,-0.001568858310412428,0.9847244247204872,0.9794072660469343,-0.001568858310412428,False,per-seed
seed,2dplanes,tabicl_v2,SafeRankGram-t01,2.0,regression,0.9847244247204872,0.9794072660469343,4.3739142822513895,-0.005317158673552869,3.3891898575309023,3.3891898575309023,-0.001568858310412428,0.9847244247204872,0.9794072660469343,-0.001568858310412428,False,per-seed
aggregated_report,2dplanes,tabm_d,BlockGuard-Greedy-t01,,regression,1.0377689646176242,1.018286793077321,4.3739142822513895,-0.019482171540303295,3.336145317633765,3.336145317633765,-0.0021910229624748437,1.0377689646176242,1.018286793077321,-0.0021910229624748,False,"independent medians of raw loss, method loss, and per-seed C"
seed,2dplanes,tabm_d,BlockGuard-Greedy-t01,0.0,regression,1.0058379838297793,1.0061641981237526,4.3739142822513895,0.0003262142939732815,3.3680762984216104,3.3680762984216104,9.685478150425395e-05,1.0058379838297793,1.0061641981237526,9.685478150425395e-05,False,per-seed
seed,2dplanes,tabm_d,BlockGuard-Greedy-t01,1.0,regression,1.041559189598063,1.018286793077321,4.3739142822513895,-0.023272396520741978,3.3323550926533265,3.3323550926533265,-0.006983768498155987,1.041559189598063,1.018286793077321,-0.006983768498155987,False,per-seed
seed,2dplanes,tabm_d,BlockGuard-Greedy-t01,2.0,regression,1.0377689646176242,1.0304593936205357,4.3739142822513895,-0.00730957099708851,3.336145317633765,3.336145317633765,-0.0021910229624748437,1.0377689646176242,1.0304593936205357,-0.0021910229624748437,False,per-seed
aggregated_report,2dplanes,tabm_d,GuardedGram-G2-g0p0-t01,,regression,1.0377689646176242,1.0194308714514286,4.3739142822513895,-0.018338093166195613,3.336145317633765,3.336145317633765,-0.002850378525225012,1.0377689646176242,1.0194308714514286,-0.002850378525225,False,"independent medians of raw loss, method loss, and per-seed C"
seed,2dplanes,tabm_d,GuardedGram-G2-g0p0-t01,0.0,regression,1.0058379838297793,1.0046158393738491,4.3739142822513895,-0.001222144455930163,3.3680762984216104,3.3680762984216104,-0.00036286127380870186,1.0058379838297793,1.0046158393738491,-0.00036286127380870186,False,per-seed
seed,2dplanes,tabm_d,GuardedGram-G2-g0p0-t01,1.0,regression,1.041559189598063,1.0194308714514286,4.3739142822513895,-0.022128318146634296,3.3323550926533265,3.3323550926533265,-0.006640444229793959,1.041559189598063,1.0194308714514286,-0.006640444229793959,False,per-seed
seed,2dplanes,tabm_d,GuardedGram-G2-g0p0-t01,2.0,regression,1.0377689646176242,1.028259687647211,4.3739142822513895,-0.00950927697041326,3.336145317633765,3.336145317633765,-0.002850378525225012,1.0377689646176242,1.028259687647211,-0.002850378525225012,False,per-seed
aggregated_report,2dplanes,tabm_d,PureGram,,regression,1.0377689646176242,1.018286793077321,4.3739142822513895,-0.019482171540303295,3.336145317633765,3.336145317633765,-0.0021910229624748437,1.0377689646176242,1.018286793077321,-0.0021910229624748,False,"independent medians of raw loss, method loss, and per-seed C"
seed,2dplanes,tabm_d,PureGram,0.0,regression,1.0058379838297793,1.0061641981237526,4.3739142822513895,0.0003262142939732815,3.3680762984216104,3.3680762984216104,9.685478150425395e-05,1.0058379838297793,1.0061641981237526,9.685478150425395e-05,False,per-seed
seed,2dplanes,tabm_d,PureGram,1.0,regression,1.041559189598063,1.018286793077321,4.3739142822513895,-0.023272396520741978,3.3323550926533265,3.3323550926533265,-0.006983768498155987,1.041559189598063,1.018286793077321,-0.006983768498155987,False,per-seed
seed,2dplanes,tabm_d,PureGram,2.0,regression,1.0377689646176242,1.0304593936205357,4.3739142822513895,-0.00730957099708851,3.336145317633765,3.336145317633765,-0.0021910229624748437,1.0377689646176242,1.0304593936205357,-0.0021910229624748437,False,per-seed
aggregated_report,2dplanes,tabm_d,Raw+Gram@0.75,,regression,1.0377689646176242,1.0194308714514286,4.3739142822513895,-0.018338093166195613,3.336145317633765,3.336145317633765,-0.002850378525225012,1.0377689646176242,1.0194308714514286,-0.002850378525225,False,"independent medians of raw loss, method loss, and per-seed C"
seed,2dplanes,tabm_d,Raw+Gram@0.75,0.0,regression,1.0058379838297793,1.0046158393738491,4.3739142822513895,-0.001222144455930163,3.3680762984216104,3.3680762984216104,-0.00036286127380870186,1.0058379838297793,1.0046158393738491,-0.00036286127380870186,False,per-seed
seed,2dplanes,tabm_d,Raw+Gram@0.75,1.0,regression,1.041559189598063,1.0194308714514286,4.3739142822513895,-0.022128318146634296,3.3323550926533265,3.3323550926533265,-0.006640444229793959,1.041559189598063,1.0194308714514286,-0.006640444229793959,False,per-seed
seed,2dplanes,tabm_d,Raw+Gram@0.75,2.0,regression,1.0377689646176242,1.028259687647211,4.3739142822513895,-0.00950927697041326,3.336145317633765,3.336145317633765,-0.002850378525225012,1.0377689646176242,1.028259687647211,-0.002850378525225012,False,per-seed
aggregated_report,2dplanes,tabm_d,SafeGram-t01,,regression,1.0377689646176242,1.0194308714514286,4.3739142822513895,-0.018338093166195613,3.336145317633765,3.336145317633765,-0.002850378525225012,1.0377689646176242,1.0194308714514286,-0.002850378525225,False,"independent medians of raw loss, method loss, and per-seed C"
seed,2dplanes,tabm_d,SafeGram-t01,0.0,regression,1.0058379838297793,1.0061641981237526,4.3739142822513895,0.0003262142939732815,3.3680762984216104,3.3680762984216104,9.685478150425395e-05,1.0058379838297793,1.0061641981237526,9.685478150425395e-05,False,per-seed
seed,2dplanes,tabm_d,SafeGram-t01,1.0,regression,1.041559189598063,1.0194308714514286,4.3739142822513895,-0.022128318146634296,3.3323550926533265,3.3323550926533265,-0.006640444229793959,1.041559189598063,1.0194308714514286,-0.006640444229793959,False,per-seed
seed,2dplanes,tabm_d,SafeGram-t01,2.0,regression,1.0377689646176242,1.028259687647211,4.3739142822513895,-0.00950927697041326,3.336145317633765,3.336145317633765,-0.002850378525225012,1.0377689646176242,1.028259687647211,-0.002850378525225012,False,per-seed
aggregated_report,2dplanes,tabm_d,SafeRankGram-t01,,regression,1.0377689646176242,0.9842922813660713,4.3739142822513895,-0.05347668325155297,3.336145317633765,3.336145317633765,-0.013984277749503768,1.0377689646176242,0.9842922813660712,-0.0139842777495037,False,"independent medians of raw loss, method loss, and per-seed C"
seed,2dplanes,tabm_d,SafeRankGram-t01,0.0,regression,1.0058379838297793,0.9842922813660713,4.3739142822513895,-0.021545702463708016,3.3680762984216104,3.3680762984216104,-0.0063970351484629465,1.0058379838297793,0.9842922813660713,-0.0063970351484629465,False,per-seed
seed,2dplanes,tabm_d,SafeRankGram-t01,1.0,regression,1.041559189598063,0.9831436375107878,4.3739142822513895,-0.05841555208727511,3.3323550926533265,3.3323550926533265,-0.017529810138199528,1.041559189598063,0.9831436375107878,-0.017529810138199528,False,per-seed
seed,2dplanes,tabm_d,SafeRankGram-t01,2.0,regression,1.0377689646176242,0.9911153818831272,4.3739142822513895,-0.046653582734497046,3.336145317633765,3.336145317633765,-0.013984277749503768,1.0377689646176242,0.9911153818831272,-0.013984277749503768,False,per-seed
aggregated_report,2dplanes,tabpfn_2_6,BlockGuard-Greedy-t01,,regression,0.9646361826974531,0.9729957590310897,4.3739142822513895,0.008359576333636598,3.4092780995539362,3.4092780995539362,0.002452007753409835,0.9646361826974532,0.9729957590310896,0.0024520077534098,False,"independent medians of raw loss, method loss, and per-seed C"
seed,2dplanes,tabpfn_2_6,BlockGuard-Greedy-t01,0.0,regression,0.9689723064116189,0.967819918862004,4.3739142822513895,-0.001152387549614886,3.4049419758397708,3.4049419758397708,-0.00033844557639801465,0.9689723064116189,0.967819918862004,-0.00033844557639801465,False,per-seed
seed,2dplanes,tabpfn_2_6,BlockGuard-Greedy-t01,1.0,regression,0.9616412994857364,0.9765998374506532,4.3739142822513895,0.014958537964916752,3.412272982765653,3.412272982765653,0.004383745978257822,0.9616412994857364,0.9765998374506532,0.004383745978257822,False,per-seed
seed,2dplanes,tabpfn_2_6,BlockGuard-Greedy-t01,2.0,regression,0.9646361826974531,0.9729957590310897,4.3739142822513895,0.008359576333636598,3.4092780995539362,3.4092780995539362,0.002452007753409835,0.9646361826974531,0.9729957590310897,0.002452007753409835,False,per-seed
