record_type,dataset,model,method,seed,problem_type,L_raw,L_method,L_trivial,numerator,raw_headroom,denominator_used,C_recomputed,reported_raw_loss,reported_method_loss,reported_C,denominator_clipped,aggregation_semantics
aggregated_report,2dplanes,catboost,BlockGuard-Greedy-t01,,regression,1.052750588487655,1.0448237862256704,4.3739142822513895,-0.0079268022619845,3.3211636937637348,3.3211636937637348,-0.0023867544610550015,1.052750588487655,1.0448237862256704,-0.002386754461055,False,"independent medians of raw loss, method loss, and per-seed C"
seed,2dplanes,catboost,BlockGuard-Greedy-t01,0.0,regression,1.0554507565728168,1.0318704038255497,4.3739142822513895,-0.023580352747267108,3.3184635256785726,3.3184635256785726,-0.007105804407612196,1.0554507565728168,1.0318704038255497,-0.007105804407612196,False,per-seed
seed,2dplanes,catboost,BlockGuard-Greedy-t01,1.0,regression,1.0512728540518608,1.0466144644744855,4.3739142822513895,-0.004658389577375299,3.3226414281995287,3.3226414281995287,-0.0014020139332036154,1.0512728540518608,1.0466144644744855,-0.0014020139332036154,False,per-seed
seed,2dplanes,catboost,BlockGuard-Greedy-t01,2.0,regression,1.052750588487655,1.0448237862256704,4.3739142822513895,-0.0079268022619845,3.3211636937637348,3.3211636937637348,-0.0023867544610550015,1.052750588487655,1.0448237862256704,-0.0023867544610550015,False,per-seed
aggregated_report,2dplanes,catboost,GuardedGram-G2-g0p0-t01,,regression,1.052750588487655,1.044570060626992,4.3739142822513895,-0.008180527860662812,3.3211636937637348,3.3211636937637348,-0.0024631510563672835,1.052750588487655,1.044570060626992,-0.0024631510563672,False,"independent medians of raw loss, method loss, and per-seed C"
seed,2dplanes,catboost,GuardedGram-G2-g0p0-t01,0.0,regression,1.0554507565728168,1.035405970253488,4.3739142822513895,-0.020044786319328933,3.3184635256785726,3.3184635256785726,-0.00604038168996602,1.0554507565728168,1.035405970253488,-0.00604038168996602,False,per-seed
seed,2dplanes,catboost,GuardedGram-G2-g0p0-t01,1.0,regression,1.0512728540518608,1.0459487249575465,4.3739142822513895,-0.005324129094314234,3.3226414281995287,3.3226414281995287,-0.0016023784718771988,1.0512728540518608,1.0459487249575465,-0.0016023784718771988,False,per-seed
seed,2dplanes,catboost,GuardedGram-G2-g0p0-t01,2.0,regression,1.052750588487655,1.044570060626992,4.3739142822513895,-0.008180527860662812,3.3211636937637348,3.3211636937637348,-0.0024631510563672835,1.052750588487655,1.044570060626992,-0.0024631510563672835,False,per-seed
aggregated_report,2dplanes,catboost,PureGram,,regression,1.052750588487655,1.0448237862256704,4.3739142822513895,-0.0079268022619845,3.3211636937637348,3.3211636937637348,-0.0023867544610550015,1.052750588487655,1.0448237862256704,-0.002386754461055,False,"independent medians of raw loss, method loss, and per-seed C"
seed,2dplanes,catboost,PureGram,0.0,regression,1.0554507565728168,1.0318704038255497,4.3739142822513895,-0.023580352747267108,3.3184635256785726,3.3184635256785726,-0.007105804407612196,1.0554507565728168,1.0318704038255497,-0.007105804407612196,False,per-seed
