dataset,problem_type,openml_id,openml_version,n_train,n_validation,n_test,training_target_statistic,y_train_sha256,y_validation_sha256,y_test_sha256,train_indices_sha256,validation_indices_sha256,test_indices_sha256,snapshot_path,split_seed,trivial_fit_labels
mfeat-fourier,classification,14,1,1024,256,400,"[102,102,103,103,102,102,103,103,102,102]",2b742a50c5f6e0ddcdff27783905ebc3bfb36a8b1e802355733ffe88da92cfc3,dad7953d02d665200eff819c2ca0a2cae54b472f5139c10d3a21b40852426763,ee154034eb4630849c9be7e10fd10aa979aec49e36cd01699886842eb9e69a72,7a68888e323c0f27b037e15aa9b69d3f39c26c082f4c9d7077c0b8961276fa3a,1d95811aef8540da25ad7aa44fee9a7d0c3ad3df5a819c1dad14994282c52f24,7bb47ebd20981e006611ffc50464493c90ec883214ed13133241ed37288df551,/home/byunhanjoon/byunhanjoon.github.io/experiments/road-to-iclr-day-10/results/audit/targets/mfeat-fourier.npz,20260901,training only
waveform-5000,classification,60,1,1024,256,512,"[347,338,339]",2d6510ce403f5499ff5837de81a2bacdeb01bf7f2a847822480ebe69b590b04c,68a8b24596a228ae15ae7fb1ac4d56b5a75f16fa8dd722a3940f58f3a061718d,982878d03464a4dedd6685ce623f016d6b2b90fd5801026fa0e695e1dc27bce8,7455f0c637e3706cab14986138ceb354dfeb6ef01e8831b21585f1019c11a84b,1b7c59d3fef4ac6cb843f7cd9178e938fb7117ac3ad8468587afe71c45554078,3d8a686076a1c41549aa94953ff53592b5c0616c8de48a02604365715047ef36,/home/byunhanjoon/byunhanjoon.github.io/experiments/road-to-iclr-day-10/results/audit/targets/waveform-5000.npz,20260901,training only
JapaneseVowels,classification,375,1,1024,256,512,"[113,102,166,151,80,99,120,104,89]",c2932dbb1255ff998d304421eff766f3022e77e001034d1295590b9975cb2310,3ed0f45f3fe92fec94df1b86e34ecd5ef5f051553a2fd3f7142e269eb69d607c,00ee2d2274d2a3b803e2884062d051dce3c93e8a19c4586cc8646f39bb962066,c2dc070e2e7bbbc978651aaae10704a91ec07abc3dbcc9dfbff50063f88e6662,2af6a4e26ffbd742bcc4aa67fa6e540378ef77cdaeb1bb5790292e4f68510012,23ff7606c31bc6c4f5d521c2b160e637e23d936c6d470deb2d6af509d8026df7,/home/byunhanjoon/byunhanjoon.github.io/experiments/road-to-iclr-day-10/results/audit/targets/JapaneseVowels.npz,20260901,training only
ada_prior,classification,1037,1,1024,256,512,"[770,254]",08fe666517484c3738877670a07e1a54c6dbb911185c3bebacc83c158f631315,9fe12bcc94f0f7db758f5dbc02fa0645b584be82befa6e76eb0d9e3268309b7b,afefb5cf339b569be0dbf91ee7a52ce6e618f03f2f37a6d1c82b6eae73da62d7,65efe5270c47107748ae30b12393a40d833bcd383ca9e8dbf9026facd7edc722,fb3d2a811f6361653f90e495b25579336f2b94c871ed6878ff26dccd2f9fd1b0,d375e9d0611984c2b28552973b077bdf42f8fd1979e28536074d87ca1e0a6fe8,/home/byunhanjoon/byunhanjoon.github.io/experiments/road-to-iclr-day-10/results/audit/targets/ada_prior.npz,20260901,training only
eye_movements,classification,1044,1,1024,256,512,"[356,399,269]",3660feecbc0e9cc492cef7f831aa8ebeaf0e9a5b5b7bf12dcae8dcb1092dfb77,7a69b3f3bf3e9032fa69ad49715e61b01e2a45173592bdf8e26e6dd821bb7f08,7d44f84fd201bfb6b8e583540158d39c74bb368c75239783e119f3be47a18be1,0d4aab260eb80d85d4f574f037871c327b209ba7d4713dc94f125f03658f6c30,322662f838aed611e2ce0e144d449ff7bbb05d6f1a202feca6eb09178fda5b4f,3ffe74fd6bcb158b8fb154a85c1cb5501fd18db1f366ed1ebe20850907f6e31e,/home/byunhanjoon/byunhanjoon.github.io/experiments/road-to-iclr-day-10/results/audit/targets/eye_movements.npz,20260901,training only
mozilla4,classification,1046,1,1024,256,512,"[336,688]",4ff4df8fd598408fc1a7a3f22ceed06389dcfb76273d00d50f26ed1cf3641835,421039c4855d0a7f8801f8dffb4cc4311f2abc60063a9268b03a461279bf0ecf,f57f12ecf90d01bb59944bb1a9b11483995fcb95e193de766570a557f37cebdd,53764f37fad97864ab4a616ff3dfeb59ac8a0920847d679c9cae1eb3ab1e1fcb,d89bfbcedd4d783931f4ffdd08843e0e3eb3e68d802badebb9045c5a51ad4a9a,cf81cc2684f837f2504b28fd73c978dcaf7396fa2e90d5ab1ef1e902fd5a3779,/home/byunhanjoon/byunhanjoon.github.io/experiments/road-to-iclr-day-10/results/audit/targets/mozilla4.npz,20260901,training only
2dplanes,regression,215,1,1024,256,512,mean=0.042481849568359355,ecb95561248e8b18265709cb1695ffcc0a8a53d169ea764936a108068a7dafbb,b95b81fcf268a142c0e21348ccd6e0c0c7a567ad9229e0e712411e172810ae78,46181ca13778be13db75aa523db46a8a62533a94b7824e17637ea46a2416e2ba,d36485770b3ce389f8b6029431b79e4c45b74ceb059fef5ef9a7b1cdbef34ad0,ebfc77def180a3ab4a49b478bc4ee1717453e04b54211f28d9c4a424217e28ca,14246559af3937dc56e32835712a82fb501aafe45c9c0117b9a9cd614542362a,/home/byunhanjoon/byunhanjoon.github.io/experiments/road-to-iclr-day-10/results/audit/targets/2dplanes.npz,20260901,training only
puma8NH,regression,225,1,1024,256,512,mean=1.1867895546875,1875b68b78acfb83706a3e2f3ac36bf3bbb969ff6870d9531006b2985645af14,7b4c50d683846327071945809322b6978affc1a9c0bcf4380d788bb49a74e044,5007ba53db2c31f76c7e3557fb8e2c3d0d66e2accbb9ef28bf9ba5b04bc5612d,abe06503fd42813c8ec4db16a1d9658ea1d302d4e22515b2e497ca98c229cce9,8bd22d7babd87eaba731397b3bf5c872de0de65ad72137b22c50b851ed412f0a,7ead365e84f5b40f735a84b0fa3bbdcf13271185d73ec7e5159160066742eace,/home/byunhanjoon/byunhanjoon.github.io/experiments/road-to-iclr-day-10/results/audit/targets/puma8NH.npz,20260901,training only
bank32nh,regression,558,1,1024,256,512,mean=0.084574027343749997,a97862e0121682512e4cb960bb45eda7cf9af4f357b0d8afb4eea5f7d0ebb7ba,67eed5eb18ef167d425996c71a59b56b704019c4e6b77e81b3c03376744edad3,f0982083a588d6191b63ebd1409a452904e35a49025bd17c590f0243ea3edd63,abe06503fd42813c8ec4db16a1d9658ea1d302d4e22515b2e497ca98c229cce9,8bd22d7babd87eaba731397b3bf5c872de0de65ad72137b22c50b851ed412f0a,7ead365e84f5b40f735a84b0fa3bbdcf13271185d73ec7e5159160066742eace,/home/byunhanjoon/byunhanjoon.github.io/experiments/road-to-iclr-day-10/results/audit/targets/bank32nh.npz,20260901,training only
OnlineNewsPopularity,regression,4545,1,1024,256,512,mean=3272.64453125,16117b760900a5c3e122f0e3ae52ff4ace1f0de82d4dfeb248e102b7e23e6338,2387bf1f73d68c44084171e0109e28e5e21c1953988fbce593588256dd28dc01,41ee6afc55b3e25b4ef8106dfc4fcfd1f5d9dcf3299da1387be4b578fa39c356,55cf0647871bf33a3f5de64562bdd86abab99d355ff2074041ff200f557b0314,ef43e729227bcc04a31f68b05a94229a2b9dbd1b8d9464f8b1c4c1b4c56c98bd,d6481ee792668b62d61791393ea40c6142203b3dabb26e8df0f2131e68a83d60,/home/byunhanjoon/byunhanjoon.github.io/experiments/road-to-iclr-day-10/results/audit/targets/OnlineNewsPopularity.npz,20260901,training only
