scope,dataset,model,method,seed,problem_type,n_test,raw_loss_recomputed,raw_loss_stored,method_loss_recomputed,method_loss_stored,absolute_loss_mismatch,raw_loss_mismatch,method_loss_mismatch,loss_matches_tolerance
general,mfeat-fourier,controlled_mlp,Raw,0,classification,400,0.588789536684125,0.588789536684125,0.588789536684125,0.588789536684125,0.0,0.0,0.0,True
general,mfeat-fourier,controlled_mlp,Raw+Gram@0.5,0,classification,400,0.588789536684125,0.588789536684125,0.5848318727966317,0.5848318727966317,0.0,0.0,0.0,True
general,mfeat-fourier,controlled_mlp,Raw+Gram@0.75,0,classification,400,0.588789536684125,0.588789536684125,0.6168454260697952,0.6168454260697952,0.0,0.0,0.0,True
general,mfeat-fourier,controlled_mlp,PureGram,0,classification,400,0.588789536684125,0.588789536684125,0.6931816067213841,0.6931816067213841,0.0,0.0,0.0,True
general,mfeat-fourier,controlled_mlp,GuardedGram-G2-g0p0-t01,0,classification,400,0.588789536684125,0.588789536684125,0.6168454260697952,0.6168454260697952,0.0,0.0,0.0,True
general,mfeat-fourier,controlled_mlp,SafeGram-t01,0,classification,400,0.588789536684125,0.588789536684125,0.5848318727966317,0.5848318727966317,0.0,0.0,0.0,True
general,mfeat-fourier,controlled_mlp,SafeRankGram-t01,0,classification,400,0.588789536684125,0.588789536684125,0.5868084113298996,0.5868084113298996,0.0,0.0,0.0,True
general,mfeat-fourier,controlled_mlp,BlockGuard-Greedy-t01,0,classification,400,0.588789536684125,0.588789536684125,0.625781185678483,0.625781185678483,0.0,0.0,0.0,True
general,mfeat-fourier,controlled_mlp,Raw,1,classification,400,0.6478278904374973,0.6478278904374973,0.6478278904374973,0.6478278904374973,0.0,0.0,0.0,True
general,mfeat-fourier,controlled_mlp,Raw+Gram@0.5,1,classification,400,0.6478278904374973,0.6478278904374973,0.5858385974828222,0.5858385974828222,0.0,0.0,0.0,True
general,mfeat-fourier,controlled_mlp,Raw+Gram@0.75,1,classification,400,0.6478278904374973,0.6478278904374973,0.5943099589144679,0.5943099589144679,0.0,0.0,0.0,True
general,mfeat-fourier,controlled_mlp,PureGram,1,classification,400,0.6478278904374973,0.6478278904374973,0.669489963894979,0.669489963894979,0.0,0.0,0.0,True
general,mfeat-fourier,controlled_mlp,GuardedGram-G2-g0p0-t01,1,classification,400,0.6478278904374973,0.6478278904374973,0.5943099589144679,0.5943099589144679,0.0,0.0,0.0,True
general,mfeat-fourier,controlled_mlp,SafeGram-t01,1,classification,400,0.6478278904374973,0.6478278904374973,0.5968250164235926,0.5968250164235926,0.0,0.0,0.0,True
general,mfeat-fourier,controlled_mlp,SafeRankGram-t01,1,classification,400,0.6478278904374973,0.6478278904374973,0.5759185682312988,0.5759185682312988,0.0,0.0,0.0,True
general,mfeat-fourier,controlled_mlp,BlockGuard-Greedy-t01,1,classification,400,0.6478278904374973,0.6478278904374973,0.6375822488340023,0.6375822488340023,0.0,0.0,0.0,True
general,mfeat-fourier,controlled_mlp,Raw,2,classification,400,0.624761809712978,0.624761809712978,0.624761809712978,0.624761809712978,0.0,0.0,0.0,True
