scope,dataset,model,method,seed,split,n_rows,training_classes,probability_columns,class_ordering,row_sum_min,row_sum_max,maximum_row_sum_deviation,minimum_probability,maximum_probability,entries_clipped_at_epsilon,entries_clipped_at_one,clipping_epsilon,renormalized_after_clipping,sample_weights_used
general,mfeat-fourier,controlled_mlp,Raw+Gram@0.75,1,validation,256,10,10,training-only LabelEncoder sorted classes; encoded columns 0..K-1,0.9999998831101513,1.0000001453894487,1.4538944870245984e-07,1.2801202345428614e-16,0.9999991655349731,237,0,1e-08,True,False
general,mfeat-fourier,controlled_mlp,Raw+Gram@0.75,1,test,400,10,10,training-only LabelEncoder sorted classes; encoded columns 0..K-1,0.9999998867012163,1.000000127551857,1.2755185707646888e-07,4.505043131377666e-16,0.9999991953372955,360,0,1e-08,True,False
general,mfeat-fourier,controlled_mlp,PureGram,1,validation,256,10,10,training-only LabelEncoder sorted classes; encoded columns 0..K-1,0.9999998670214154,1.0000001729267751,1.729267751215957e-07,1.0391557774822448e-18,1.0,335,0,1e-08,True,False
general,mfeat-fourier,controlled_mlp,PureGram,1,test,400,10,10,training-only LabelEncoder sorted classes; encoded columns 0..K-1,0.9999998534403858,1.0000001449734555,1.4655961422249675e-07,2.336144992668187e-17,1.0,508,0,1e-08,True,False
general,mfeat-fourier,controlled_mlp,GuardedGram-G2-g0p0-t01,1,validation,256,10,10,training-only LabelEncoder sorted classes; encoded columns 0..K-1,0.9999998831101513,1.0000001453894487,1.4538944870245984e-07,1.2801202345428614e-16,0.9999991655349731,237,0,1e-08,True,False
general,mfeat-fourier,controlled_mlp,GuardedGram-G2-g0p0-t01,1,test,400,10,10,training-only LabelEncoder sorted classes; encoded columns 0..K-1,0.9999998867012163,1.000000127551857,1.2755185707646888e-07,4.505043131377666e-16,0.9999991953372955,360,0,1e-08,True,False
general,mfeat-fourier,controlled_mlp,SafeGram-t01,1,validation,256,10,10,training-only LabelEncoder sorted classes; encoded columns 0..K-1,0.9999998847373774,1.0000001189517003,1.1895170026754442e-07,3.766843529491025e-16,0.9999974966049194,244,0,1e-08,True,False
general,mfeat-fourier,controlled_mlp,SafeGram-t01,1,test,400,10,10,training-only LabelEncoder sorted classes; encoded columns 0..K-1,0.999999891013374,1.0000001531954616,1.531954616496023e-07,9.448989917049968e-16,0.9999975860118866,356,0,1e-08,True,False
general,mfeat-fourier,controlled_mlp,SafeRankGram-t01,1,validation,256,10,10,training-only LabelEncoder sorted classes; encoded columns 0..K-1,0.9999998864907753,1.0000001170293855,1.1702938551572117e-07,2.515804665723425e-16,0.9999982714653015,213,0,1e-08,True,False
general,mfeat-fourier,controlled_mlp,SafeRankGram-t01,1,test,400,10,10,training-only LabelEncoder sorted classes; encoded columns 0..K-1,0.9999998804181303,1.0000001291767315,1.291767315336756e-07,6.757601920194063e-16,0.9999983310699463,345,0,1e-08,True,False
general,mfeat-fourier,controlled_mlp,BlockGuard-Greedy-t01,1,validation,256,10,10,training-only LabelEncoder sorted classes; encoded columns 0..K-1,0.9999998471514289,1.0000001587694882,1.5876948822324266e-07,3.841552392751792e-19,1.0,534,0,1e-08,True,False
general,mfeat-fourier,controlled_mlp,BlockGuard-Greedy-t01,1,test,400,10,10,training-only LabelEncoder sorted classes; encoded columns 0..K-1,0.9999998733542117,1.0000001398493161,1.3984931612753826e-07,4.446262055775647e-18,1.0,814,0,1e-08,True,False
general,mfeat-fourier,controlled_mlp,Raw,2,validation,256,10,10,training-only LabelEncoder sorted classes; encoded columns 0..K-1,0.9999998774914616,1.0000001355081314,1.3550813138252238e-07,6.210011994278654e-16,0.9999852180480957,258,0,1e-08,True,False
general,mfeat-fourier,controlled_mlp,Raw,2,test,400,10,10,training-only LabelEncoder sorted classes; encoded columns 0..K-1,0.9999998324539208,1.000000162509384,1.675460792327499e-07,1.5447825844230162e-15,0.999990701675415,378,0,1e-08,True,False
general,mfeat-fourier,controlled_mlp,Raw+Gram@0.5,2,validation,256,10,10,training-only LabelEncoder sorted classes; encoded columns 0..K-1,0.9999999015310266,1.000000097903012,9.846897341958538e-08,3.1053150592165347e-16,0.9999926090240479,240,0,1e-08,True,False
general,mfeat-fourier,controlled_mlp,Raw+Gram@0.5,2,test,400,10,10,training-only LabelEncoder sorted classes; encoded columns 0..K-1,0.9999998821726717,1.0000001054755059,1.1782732833864884e-07,7.746428784592629e-16,0.9999953508377075,371,0,1e-08,True,False
general,mfeat-fourier,controlled_mlp,Raw+Gram@0.75,2,validation,256,10,10,training-only LabelEncoder sorted classes; encoded columns 0..K-1,0.9999998876385556,1.0000001236829479,1.2368294788345224e-07,1.552966591685475e-16,0.9999963045120239,255,0,1e-08,True,False
general,mfeat-fourier,controlled_mlp,Raw+Gram@0.75,2,test,400,10,10,training-only LabelEncoder sorted classes; encoded columns 0..K-1,0.999999879007281,1.0000001374153902,1.3741539017786408e-07,3.8957302547738626e-16,0.9999976754188538,402,0,1e-08,True,False
general,mfeat-fourier,controlled_mlp,PureGram,2,validation,256,10,10,training-only LabelEncoder sorted classes; encoded columns 0..K-1,0.9999998495460858,1.0000001524887185,1.5248871854112167e-07,3.076357399505735e-20,1.0,454,0,1e-08,True,False
general,mfeat-fourier,controlled_mlp,PureGram,2,test,400,10,10,training-only LabelEncoder sorted classes; encoded columns 0..K-1,0.9999998551866405,1.0000001693552747,1.693552746928617e-07,4.082390939481493e-19,1.0,767,0,1e-08,True,False
general,mfeat-fourier,controlled_mlp,GuardedGram-G2-g0p0-t01,2,validation,256,10,10,training-only LabelEncoder sorted classes; encoded columns 0..K-1,0.9999998876385556,1.0000001236829479,1.2368294788345224e-07,1.552966591685475e-16,0.9999963045120239,255,0,1e-08,True,False
general,mfeat-fourier,controlled_mlp,GuardedGram-G2-g0p0-t01,2,test,400,10,10,training-only LabelEncoder sorted classes; encoded columns 0..K-1,0.999999879007281,1.0000001374153902,1.3741539017786408e-07,3.8957302547738626e-16,0.9999976754188538,402,0,1e-08,True,False
general,mfeat-fourier,controlled_mlp,SafeGram-t01,2,validation,256,10,10,training-only LabelEncoder sorted classes; encoded columns 0..K-1,0.9999999015310266,1.000000097903012,9.846897341958538e-08,3.1053150592165347e-16,0.9999926090240479,240,0,1e-08,True,False
general,mfeat-fourier,controlled_mlp,SafeGram-t01,2,test,400,10,10,training-only LabelEncoder sorted classes; encoded columns 0..K-1,0.9999998821726717,1.0000001054755059,1.1782732833864884e-07,7.746428784592629e-16,0.9999953508377075,371,0,1e-08,True,False
general,mfeat-fourier,controlled_mlp,SafeRankGram-t01,2,validation,256,10,10,training-only LabelEncoder sorted classes; encoded columns 0..K-1,0.9999998895112441,1.0000001318948608,1.318948608108883e-07,4.658434358718221e-16,0.9999889135360718,209,0,1e-08,True,False
general,mfeat-fourier,controlled_mlp,SafeRankGram-t01,2,test,400,10,10,training-only LabelEncoder sorted classes; encoded columns 0..K-1,0.9999998607744176,1.0000001449707128,1.4497071276764473e-07,1.160729594597716e-15,0.9999930262565613,310,0,1e-08,True,False
general,mfeat-fourier,controlled_mlp,BlockGuard-Greedy-t01,2,validation,256,10,10,training-only LabelEncoder sorted classes; encoded columns 0..K-1,0.9999998402964536,1.000000175568264,1.755682639270617e-07,1.864189441139804e-21,1.0,431,0,1e-08,True,False
general,mfeat-fourier,controlled_mlp,BlockGuard-Greedy-t01,2,test,400,10,10,training-only LabelEncoder sorted classes; encoded columns 0..K-1,0.9999998256253853,1.0000001348308878,1.7437461474756333e-07,3.3384611684308476e-21,1.0,618,0,1e-08,True,False
general,mfeat-fourier,tabm_d,Raw,0,validation,256,10,10,training-only LabelEncoder sorted classes; encoded columns 0..K-1,0.9999998584216607,1.0000002014458005,2.0144580048508942e-07,2.3687805765558543e-16,0.9999996423721313,308,0,1e-08,True,False
general,mfeat-fourier,tabm_d,Raw,0,test,400,10,10,training-only LabelEncoder sorted classes; encoded columns 0..K-1,0.9999997937138119,1.000000201532771,2.062861881313438e-07,3.6074569417255135e-16,0.9999997615814209,432,0,1e-08,True,False
general,mfeat-fourier,tabm_d,Raw+Gram@0.5,0,validation,256,10,10,training-only LabelEncoder sorted classes; encoded columns 0..K-1,0.9999998201890903,1.000000149850444,1.7981090971730396e-07,1.314464257622156e-16,0.9999997615814209,285,0,1e-08,True,False
general,mfeat-fourier,tabm_d,Raw+Gram@0.5,0,test,400,10,10,training-only LabelEncoder sorted classes; encoded columns 0..K-1,0.9999998805360648,1.0000001622371362,1.6223713616980717e-07,4.876287018072936e-16,0.9999997615814209,422,0,1e-08,True,False
general,mfeat-fourier,tabm_d,Raw+Gram@0.75,0,validation,256,10,10,training-only LabelEncoder sorted classes; encoded columns 0..K-1,0.9999997853544899,1.0000001756322034,2.1464551014371835e-07,7.873060981553068e-17,0.9999998211860657,299,0,1e-08,True,False
general,mfeat-fourier,tabm_d,Raw+Gram@0.75,0,test,400,10,10,training-only LabelEncoder sorted classes; encoded columns 0..K-1,0.9999998356950313,1.0000002029154385,2.0291543845196713e-07,5.510702056246647e-16,0.9999998509883881,435,0,1e-08,True,False
general,mfeat-fourier,tabm_d,PureGram,0,validation,256,10,10,training-only LabelEncoder sorted classes; encoded columns 0..K-1,0.9999997424793664,1.0000002014139628,2.575206335952984e-07,2.6014793868845768e-17,0.9999998807907104,354,0,1e-08,True,False
general,mfeat-fourier,tabm_d,PureGram,0,test,400,10,10,training-only LabelEncoder sorted classes; encoded columns 0..K-1,0.9999997484080474,1.0000002435937407,2.515919526047128e-07,2.786677515973564e-17,1.0,562,0,1e-08,True,False
general,mfeat-fourier,tabm_d,GuardedGram-G2-g0p0-t01,0,validation,256,10,10,training-only LabelEncoder sorted classes; encoded columns 0..K-1,0.9999998201890903,1.000000149850444,1.7981090971730396e-07,1.314464257622156e-16,0.9999997615814209,285,0,1e-08,True,False
general,mfeat-fourier,tabm_d,GuardedGram-G2-g0p0-t01,0,test,400,10,10,training-only LabelEncoder sorted classes; encoded columns 0..K-1,0.9999998805360648,1.0000001622371362,1.6223713616980717e-07,4.876287018072936e-16,0.9999997615814209,422,0,1e-08,True,False
general,mfeat-fourier,tabm_d,SafeGram-t01,0,validation,256,10,10,training-only LabelEncoder sorted classes; encoded columns 0..K-1,0.9999998550236906,1.000000166822442,1.6682244208254815e-07,1.8416224170890051e-16,0.9999997019767761,282,0,1e-08,True,False
general,mfeat-fourier,tabm_d,SafeGram-t01,0,test,400,10,10,training-only LabelEncoder sorted classes; encoded columns 0..K-1,0.9999998443032845,1.000000142580017,1.5569671552029263e-07,4.2418719798992247e-16,0.9999997615814209,415,0,1e-08,True,False
general,mfeat-fourier,tabm_d,SafeRankGram-t01,0,validation,256,10,10,training-only LabelEncoder sorted classes; encoded columns 0..K-1,0.9999998659970254,1.0000001485435008,1.4854350083304269e-07,1.184440673185936e-16,0.9999998211860657,332,0,1e-08,True,False
general,mfeat-fourier,tabm_d,SafeRankGram-t01,0,test,400,10,10,training-only LabelEncoder sorted classes; encoded columns 0..K-1,0.999999842653515,1.0000001601219166,1.6012191661474162e-07,1.8037399228845027e-16,0.9999998807907104,480,0,1e-08,True,False
general,mfeat-fourier,tabm_d,BlockGuard-Greedy-t01,0,validation,256,10,10,training-only LabelEncoder sorted classes; encoded columns 0..K-1,0.999999790877041,1.0000002269729333,2.2697293333706625e-07,1.2860715537497697e-14,0.9999991655349731,198,0,1e-08,True,False
