scope,method,field,reported,recomputed,absolute_difference
general,BlockGuard-Greedy-t01,median_disagreement_reduction,0.7219026058640082,0.7219026058640082,0.0
general,BlockGuard-Greedy-t01,median_C,0.0,0.0,0.0
general,BlockGuard-Greedy-t01,p90_C,0.0334918771495189,0.033491877149518914,1.3877787807814457e-17
general,BlockGuard-Greedy-t01,p95_C,0.0475669832466446,0.04756698324664463,2.7755575615628914e-17
general,BlockGuard-Greedy-t01,max_C,2.163545391795535,2.163545391795535,0.0
general,BlockGuard-Greedy-t01,fraction_C_gt_0p01,0.1833333333333333,0.18333333333333332,2.7755575615628914e-17
general,BlockGuard-Greedy-t01,fraction_C_gt_0p05,0.05,0.05,0.0
general,BlockGuard-Greedy-t01,fallback_rate,0.2666666666666666,0.26666666666666666,5.551115123125783e-17
general,BlockGuard-Greedy-t01,mean_predictive_rank,5.258333333333334,5.258333333333334,0.0
general,GuardedGram-G2-g0p0-t01,median_disagreement_reduction,0.75,0.75,0.0
general,GuardedGram-G2-g0p0-t01,median_C,-0.0025697508931633,-0.0025697508931633107,1.0842021724855044e-17
general,GuardedGram-G2-g0p0-t01,p90_C,0.0106685690721992,0.010668569072199218,1.734723475976807e-17
general,GuardedGram-G2-g0p0-t01,p95_C,0.017501829990038,0.017501829990038027,2.7755575615628914e-17
general,GuardedGram-G2-g0p0-t01,max_C,0.2469469521718461,0.24694695217184615,5.551115123125783e-17
general,GuardedGram-G2-g0p0-t01,fraction_C_gt_0p01,0.1166666666666666,0.11666666666666667,6.938893903907228e-17
general,GuardedGram-G2-g0p0-t01,fraction_C_gt_0p05,0.0166666666666666,0.016666666666666666,6.591949208711867e-17
general,GuardedGram-G2-g0p0-t01,fallback_rate,0.1333333333333333,0.13333333333333333,2.7755575615628914e-17
general,GuardedGram-G2-g0p0-t01,mean_predictive_rank,3.725,3.725,0.0
general,PureGram,median_disagreement_reduction,1.0,1.0,0.0
general,PureGram,median_C,0.0069299635481337,0.006929963548133743,4.336808689942018e-17
general,PureGram,p90_C,0.1226668083073359,0.12266680830733594,4.163336342344337e-17
general,PureGram,p95_C,0.1808341690654031,0.1808341690654031,0.0
general,PureGram,max_C,4.503634112751238,4.503634112751238,0.0
general,PureGram,fraction_C_gt_0p01,0.4,0.4,0.0
general,PureGram,fraction_C_gt_0p05,0.2166666666666666,0.21666666666666667,8.326672684688674e-17
general,PureGram,fallback_rate,0.0,0.0,0.0
general,PureGram,mean_predictive_rank,6.241666666666666,6.241666666666666,0.0
general,Raw,median_disagreement_reduction,0.0,0.0,0.0
general,Raw,median_C,0.0,0.0,0.0
