scope,dataset,problem_type,model,method,family,seeds_included,selected_alpha,invariant_feature_fraction,disagreement_reduction,normalized_excess_risk,raw_task_error,method_task_error,trivial_task_error,raw_fallback,inference_multiplier,validation_C,predictive_rank,task_outcome
general,2dplanes,regression,catboost,BlockGuard-Greedy-t01,BlockGuard-Greedy,3,,1.0,1.0,-0.001812290262328673,1.052750588487655,1.0448237862256704,4.3739142822513895,False,1.0,-0.0035900061767902306,5.0,W
general,2dplanes,regression,catboost,GuardedGram-G2-g0p0-t01,G2,3,0.75,,0.75,-0.0018702990805873863,1.052750588487655,1.044570060626992,4.3739142822513895,False,2.0,-0.003195539990107073,2.5,W
general,2dplanes,regression,catboost,PureGram,fixed,3,1.0,,1.0,-0.001812290262328673,1.052750588487655,1.0448237862256704,4.3739142822513895,False,1.0,-0.0035900061767902306,5.0,W
general,2dplanes,regression,catboost,Raw,fixed,3,0.0,,0.0,0.0,1.052750588487655,1.052750588487655,4.3739142822513895,True,1.0,0.0,8.0,T
general,2dplanes,regression,catboost,Raw+Gram@0.5,fixed,3,0.5,,0.4999999999999999,-0.0015865384786214267,1.052750588487655,1.0458112051766713,4.3739142822513895,False,2.0,-0.002463380592704559,7.0,W
general,2dplanes,regression,catboost,Raw+Gram@0.75,fixed,3,0.75,,0.75,-0.0018702990805873863,1.052750588487655,1.044570060626992,4.3739142822513895,False,2.0,-0.003195539990107073,2.5,W
general,2dplanes,regression,catboost,SafeGram-t01,safety_reference,3,1.0,,1.0,-0.001812290262328673,1.052750588487655,1.0448237862256704,4.3739142822513895,False,1.0,-0.0035900061767902306,5.0,W
general,2dplanes,regression,catboost,SafeRankGram-t01,safety_reference,3,1.0,,1.0,-0.0028904132522061914,1.052750588487655,1.0386304342464274,4.3739142822513895,False,1.0,-0.002403541846484491,1.0,W
general,2dplanes,regression,controlled_mlp,BlockGuard-Greedy-t01,BlockGuard-Greedy,3,,0.7,0.14288586524595204,0.006482380374841788,0.9825998145996574,1.0041510424264766,4.3739142822513895,False,1.0,0.006385772414473119,5.0,L
general,2dplanes,regression,controlled_mlp,GuardedGram-G2-g0p0-t01,G2,3,0.75,,0.75,0.0074333792171966786,0.9825998145996574,1.0118121648686933,4.3739142822513895,False,2.0,0.0042072094752324575,6.5,L
general,2dplanes,regression,controlled_mlp,PureGram,fixed,3,1.0,,1.0,0.014836171850003613,0.9825998145996574,1.0406898102706368,4.3739142822513895,False,1.0,0.00958862276026183,8.0,L
general,2dplanes,regression,controlled_mlp,Raw,fixed,3,0.0,,0.0,0.0,0.9825998145996574,0.9825998145996574,4.3739142822513895,True,1.0,0.0,1.0,T
general,2dplanes,regression,controlled_mlp,Raw+Gram@0.5,fixed,3,0.5,,0.5,0.0020282872371886577,0.9825998145996574,0.9914713691149051,4.3739142822513895,False,2.0,0.0007637638725578824,2.5,L
general,2dplanes,regression,controlled_mlp,Raw+Gram@0.75,fixed,3,0.75,,0.75,0.0074333792171966786,0.9825998145996574,1.0118121648686933,4.3739142822513895,False,2.0,0.0042072094752324575,6.5,L
general,2dplanes,regression,controlled_mlp,SafeGram-t01,safety_reference,3,0.5,,0.5,0.0020282872371886577,0.9825998145996574,0.9914713691149051,4.3739142822513895,False,2.0,0.0007637638725578824,2.5,L
general,2dplanes,regression,controlled_mlp,SafeRankGram-t01,safety_reference,3,0.5,,0.5,0.0009325478764556277,0.9825998145996574,0.9925667768332815,4.3739142822513895,False,2.0,-0.00030444788836566955,4.0,L
general,2dplanes,regression,tabicl_v2,BlockGuard-Greedy-t01,BlockGuard-Greedy,3,,1.0,1.0,0.0011055585788950616,0.9847244247204872,0.9895600431785818,4.3739142822513895,False,1.0,0.00020145082127444815,7.0,L
