scope,dataset,model,method,seed,problem_type,L_raw,L_method,L_trivial,numerator,raw_headroom,denominator_used,denominator_clipped,C_recomputed,C_stored,C_difference,C_matches_tolerance,C_stable,delta_L,delta_sigma,delta_logloss
general,mfeat-fourier,controlled_mlp,Raw,0,classification,0.588789536684125,0.588789536684125,2.302596522337036,0.0,1.7138069856529112,1.7138069856529112,False,0.0,0.0,0.0,True,0.0,0.0,,0.0
general,mfeat-fourier,controlled_mlp,Raw+Gram@0.5,0,classification,0.588789536684125,0.5848318727966317,2.302596522337036,-0.003957663887493301,1.7138069856529112,1.7138069856529112,False,-0.002309282154072645,-0.002309282154072645,0.0,True,-0.001718783056041639,-0.003957663887493301,,-0.003957663887493301
general,mfeat-fourier,controlled_mlp,Raw+Gram@0.75,0,classification,0.588789536684125,0.6168454260697952,2.302596522337036,0.028055889385670163,1.7138069856529112,1.7138069856529112,False,0.016370507076082244,0.016370507076082244,0.0,True,0.012184457465085827,0.028055889385670163,,0.028055889385670163
general,mfeat-fourier,controlled_mlp,PureGram,0,classification,0.588789536684125,0.6931816067213841,2.302596522337036,0.10439207003725903,1.7138069856529112,1.7138069856529112,False,0.06091238448155155,0.06091238448155155,0.0,True,0.045336674933959153,0.10439207003725903,,0.10439207003725903
general,mfeat-fourier,controlled_mlp,GuardedGram-G2-g0p0-t01,0,classification,0.588789536684125,0.6168454260697952,2.302596522337036,0.028055889385670163,1.7138069856529112,1.7138069856529112,False,0.016370507076082244,0.016370507076082244,0.0,True,0.012184457465085827,0.028055889385670163,,0.028055889385670163
general,mfeat-fourier,controlled_mlp,SafeGram-t01,0,classification,0.588789536684125,0.5848318727966317,2.302596522337036,-0.003957663887493301,1.7138069856529112,1.7138069856529112,False,-0.002309282154072645,-0.002309282154072645,0.0,True,-0.001718783056041639,-0.003957663887493301,,-0.003957663887493301
general,mfeat-fourier,controlled_mlp,SafeRankGram-t01,0,classification,0.588789536684125,0.5868084113298996,2.302596522337036,-0.0019811253542254548,1.7138069856529112,1.7138069856529112,False,-0.001155979273518192,-0.001155979273518192,0.0,True,-0.000860387538592605,-0.0019811253542254548,,-0.0019811253542254548
general,mfeat-fourier,controlled_mlp,BlockGuard-Greedy-t01,0,classification,0.588789536684125,0.625781185678483,2.302596522337036,0.03699164899435792,1.7138069856529112,1.7138069856529112,False,0.021584489562729355,0.021584489562729355,0.0,True,0.01606518929196201,0.03699164899435792,,0.03699164899435792
general,mfeat-fourier,controlled_mlp,Raw,1,classification,0.6478278904374973,0.6478278904374973,2.302596522337036,0.0,1.6547686318995387,1.6547686318995387,False,0.0,0.0,0.0,True,0.0,0.0,,0.0
general,mfeat-fourier,controlled_mlp,Raw+Gram@0.5,1,classification,0.6478278904374973,0.5858385974828222,2.302596522337036,-0.061989292954675146,1.6547686318995387,1.6547686318995387,False,-0.03746100316363655,-0.03746100316363655,0.0,True,-0.02692147423716192,-0.061989292954675146,,-0.061989292954675146
general,mfeat-fourier,controlled_mlp,Raw+Gram@0.75,1,classification,0.6478278904374973,0.5943099589144679,2.302596522337036,-0.053517931523029416,1.6547686318995387,1.6547686318995387,False,-0.0323416400887387,-0.0323416400887387,0.0,True,-0.023242426974879223,-0.053517931523029416,,-0.053517931523029416
general,mfeat-fourier,controlled_mlp,PureGram,1,classification,0.6478278904374973,0.669489963894979,2.302596522337036,0.021662073457481612,1.6547686318995387,1.6547686318995387,False,0.013090696209666077,0.013090696209666077,0.0,True,0.009407672272298728,0.021662073457481612,,0.021662073457481612
