variant,true_prior,scale,noise,tasks,mse_model,se_model,mse_zero,se_zero,mse_always_smooth,se_always_smooth,mse_hard_route,se_hard_route,mse_bayes_mixture,se_bayes_mixture,mse_regime_oracle,se_regime_oracle,trust_posterior_correlation,trust_regime_auroc,trust_mean,posterior_mean,seed
set,0.1,0.3,0.1,4096,1.0062857866287231,0.006423174403607845,1.0052003860473633,0.006419384852051735,1.093130350112915,0.0070707108825445175,1.029059886932373,0.006645864341408014,1.0160496234893799,0.0065132263116538525,0.9958365559577942,0.006384717300534248,0.1544682845840682,0.5372126556586218,0.03526565432548523,0.41285207867622375,20260831
set,0.1,0.3,0.3,4096,0.9996795058250427,0.006572880316525698,0.9987642765045166,0.006574762053787708,1.078608512878418,0.007228470407426357,1.0225486755371094,0.006840102840214968,1.0087902545928955,0.006694824434816837,0.9888187050819397,0.006540736649185419,0.1743895605118745,0.5248429947093974,0.03362182900309563,0.4283096492290497,20260831
set,0.1,0.3,1.0,4096,1.0065464973449707,0.006510552484542131,1.0064414739608765,0.00651188101619482,1.0448473691940308,0.0067617399618029594,1.020508885383606,0.006600426975637674,1.0117263793945312,0.006529519334435463,0.9997439384460449,0.006456374656409025,0.16055807599633992,0.5390882433060394,0.0392298698425293,0.47416287660598755,20260831
set,0.1,1.0,0.1,4096,0.9947198629379272,0.006544839590787888,0.992487907409668,0.006530259270220995,1.6880757808685303,0.013836832717061043,0.9627090692520142,0.007320249453186989,0.9540166258811951,0.007097508292645216,0.9336569309234619,0.006867409683763981,0.25616260730329626,0.5956473886952648,0.02205881103873253,0.15017111599445343,20260831
set,0.1,1.0,0.3,4096,1.0129461288452148,0.0065038492903113365,1.0096235275268555,0.006483645644038916,1.566469669342041,0.01222315151244402,1.0058298110961914,0.007540379650890827,0.9914109706878662,0.007165377028286457,0.9578570127487183,0.00671428581699729,0.21882798527902791,0.593984438984439,0.028149336576461792,0.1778670698404312,20260831
set,0.1,1.0,1.0,4096,1.0034732818603516,0.006601670756936073,1.0008525848388672,0.0065867542289197445,1.2181404829025269,0.008524922654032707,1.054436445236206,0.007526361849159002,1.0233142375946045,0.006975761614739895,0.9705684781074524,0.006566616706550121,0.18910215440250977,0.5285726161998648,0.04485512152314186,0.37910589575767517,20260831
set,0.1,3.0,0.1,4096,1.0029305219650269,0.006753790192306042,1.0064760446548462,0.006736136972904205,2.504115581512451,0.028244655579328537,0.9158850908279419,0.00753403315320611,0.9158851504325867,0.007534040603786707,0.9158850908279419,0.00753403315320611,0.4130178808341247,0.7164614790665752,0.026489511132240295,0.09179510176181793,20260831
set,0.1,3.0,0.3,4096,0.9989592432975769,0.006695965304970741,0.9990401268005371,0.006623007822781801,1.6108425855636597,0.014112426899373531,0.919551432132721,0.007286475971341133,0.9189372062683105,0.00726780341938138,0.9168665409088135,0.00723606999963522,0.33078663025256677,0.6723374440429226,0.03758378326892853,0.10099349915981293,20260831
set,0.1,3.0,1.0,4096,0.9864346981048584,0.006688237190246582,0.9850864410400391,0.006674732081592083,1.2543648481369019,0.009768844582140446,1.00527024269104,0.007779635488986969,0.979172945022583,0.007196799386292696,0.926809549331665,0.006678765174001455,0.2334726308847119,0.5805881100781641,0.06445878744125366,0.2899605631828308,20260831
set,0.5,0.3,0.1,4096,0.9982609152793884,0.006284188944846392,0.9993064999580383,0.006287046708166599,1.0053966045379639,0.006717486307024956,0.9811244010925293,0.006336814723908901,0.9690393209457397,0.006202449556440115,0.9472765922546387,0.006063683424144983,0.15012450649599202,0.5211424966435656,0.03905809670686722,0.4977003037929535,20260831
