dataset,model,seed,parameters,capacity_relative_gap,train_seconds,temperature,latency_ms_per_context,crps_point,coverage50_point,coverage90_point,crps_difference,coverage50_difference,coverage90_difference,crps_dense,coverage50_dense,coverage90_dense,crps_scaled_dense,coverage50_scaled_dense,coverage90_scaled_dense,macro_crps,coverage50,coverage90,coverage_error
Electricity,mlp_k4,20261301,136580,0.0,,1.3525465726852417,0.011834533097498934,0.1651826947927475,0.5283203125,0.91015625,0.23185423016548157,0.548828125,0.90234375,0.17474380135536194,0.5205078125,0.9052734375,0.2646750211715698,0.5341796875,0.9111328125,0.2091139256954193,0.532958984375,0.9072265625,0.02009277343749999
Electricity,mlp_k4,20261302,136580,0.0,,1.3428235054016113,0.004416296860654256,0.1749851107597351,0.5009765625,0.900390625,0.22236424684524536,0.564453125,0.91015625,0.18576562404632568,0.4833984375,0.8828125,0.28561243414878845,0.513671875,0.8798828125,0.21718184649944305,0.515625,0.893310546875,0.011157226562500011
Electricity,mlp_k4,20261303,136580,0.0,,1.4273544549942017,0.004389723699205206,0.17333506047725677,0.5078125,0.89453125,0.23173373937606812,0.5380859375,0.904296875,0.17640012502670288,0.51171875,0.8837890625,0.2707797586917877,0.513671875,0.896484375,0.21306216716766357,0.517822265625,0.894775390625,0.011523437500000011
Electricity,mlp_k8,20261301,136495,0.0006223458778737736,14.294116713106632,1.491132140159607,0.0044468408759712474,0.17236840724945068,0.51953125,0.908203125,0.24157029390335083,0.5478515625,0.9013671875,0.17698366940021515,0.533203125,0.9091796875,0.27154844999313354,0.509765625,0.9072265625,0.21561771631240845,0.527587890625,0.906494140625,0.01704101562499999
Electricity,mlp_k8,20261302,136495,0.0006223458778737736,14.622681146953255,1.3347309827804565,0.004368657300801715,0.1804666966199875,0.51171875,0.9013671875,0.22793972492218018,0.5673828125,0.896484375,0.18880075216293335,0.501953125,0.888671875,0.2846881151199341,0.55078125,0.8916015625,0.22047381103038788,0.532958984375,0.89453125,0.01921386718750001
Electricity,mlp_k8,20261303,136495,0.0006223458778737736,14.40036603808403,1.5344479084014893,0.004375649496068945,0.17845146358013153,0.5107421875,0.892578125,0.23991499841213226,0.556640625,0.9013671875,0.18023887276649475,0.5234375,0.896484375,0.27700600028038025,0.517578125,0.8994140625,0.2189028412103653,0.527099609375,0.8974609375,0.014819335937500011
Electricity,attention_k4,20261301,134494,0.015273100014643432,28.365005458937958,1.2218087911605835,0.008397872079513036,0.16427448391914368,0.53125,0.8896484375,0.23305751383304596,0.53515625,0.880859375,0.18158504366874695,0.486328125,0.8642578125,0.26879966259002686,0.5009765625,0.8720703125,0.21192917227745056,0.513427734375,0.876708984375,0.01835937500000001
Electricity,attention_k4,20261302,134494,0.015273100014643432,28.2138430159539,1.4934022426605225,0.00788407896834542,0.18709498643875122,0.505859375,0.8818359375,0.23412853479385376,0.568359375,0.90625,0.1882566213607788,0.5224609375,0.8876953125,0.28734105825424194,0.5361328125,0.8896484375,0.22420528531074524,0.533203125,0.891357421875,0.02092285156250001
Electricity,attention_k4,20261303,134494,0.015273100014643432,28.265130629995838,1.1808322668075562,0.007924578312668018,0.1728387176990509,0.5078125,0.869140625,0.23380209505558014,0.5283203125,0.8935546875,0.17803719639778137,0.5078125,0.8896484375,0.27177172899246216,0.525390625,0.8916015625,0.21411244571208954,0.517333984375,0.885986328125,0.01567382812500001
Electricity,attention_k8,20261301,137396,0.005974520427588227,28.287593222921714,1.3413937091827393,0.00794972379480896,0.17033877968788147,0.5107421875,0.8974609375,0.24231401085853577,0.544921875,0.900390625,0.1783829927444458,0.533203125,0.90234375,0.27567771077156067,0.50390625,0.890625,0.21667836606502533,0.523193359375,0.897705078125,0.012744140625000011
Electricity,attention_k8,20261302,137396,0.005974520427588227,28.373145167017356,1.3674836158752441,0.007834062671463471,0.17660123109817505,0.482421875,0.8974609375,0.22233811020851135,0.560546875,0.91015625,0.1825152486562729,0.5263671875,0.8779296875,0.2808150053024292,0.529296875,0.8935546875,0.21556739509105682,0.524658203125,0.894775390625,0.014941406250000011
Electricity,attention_k8,20261303,137396,0.005974520427588227,28.310420646099374,1.3185123205184937,0.007794296834617853,0.18164917826652527,0.474609375,0.861328125,0.24503719806671143,0.521484375,0.8837890625,0.18924281001091003,0.50390625,0.861328125,0.29247164726257324,0.4794921875,0.876953125,0.22710023820400238,0.494873046875,0.870849609375,0.01713867187500001
