model,seed,temperature,validation_nll_before,validation_nll_after
mlp_k4,20261301,1.3525465726852417,0.2500513195991516,0.23359495401382446
mlp_k4,20261302,1.3428235054016113,0.27991241216659546,0.2639767527580261
mlp_k4,20261303,1.4273544549942017,0.27632731199264526,0.2530127763748169
mlp_k8,20261301,1.491132140159607,0.2795397639274597,0.2533431053161621
mlp_k8,20261302,1.3347309827804565,0.2791150212287903,0.26527899503707886
mlp_k8,20261303,1.5344479084014893,0.29081037640571594,0.260512113571167
attention_k4,20261301,1.2218087911605835,0.24514755606651306,0.23775628209114075
attention_k4,20261302,1.4934022426605225,0.311515748500824,0.27829116582870483
attention_k4,20261303,1.1808322668075562,0.2482980340719223,0.24289269745349884
attention_k8,20261301,1.3413937091827393,0.2910388112068176,0.2763410806655884
attention_k8,20261302,1.3674836158752441,0.28868016600608826,0.2701229155063629
attention_k8,20261303,1.3185123205184937,0.2973487079143524,0.2833022177219391
