dataset,task,seed,test_proper_loss_baseline_tabm,test_proper_loss_measure_orbit_tabm,test_metric_baseline_tabm,test_metric_measure_orbit_tabm,train_seconds_baseline_tabm,train_seconds_measure_orbit_tabm,relative_proper_loss_reduction,official_gain,runtime_ratio
adult,binclass,0,0.3008238057612254,0.2865350540386652,0.8610036238560285,0.8686812849333579,16.565967311151326,15.912452647928149,0.04749873995644385,0.7677661077329478,0.9605507694812807
adult,binclass,1,0.3011215752314289,0.2861131737175625,0.8586696148885203,0.8710152939008661,10.231713738059623,15.214436982991174,0.04984166777930673,1.2345679012345734,1.486988140256208
adult,binclass,2,0.3010538005757793,0.285826057359667,0.8611264664332657,0.8715066642098152,7.1096467489842325,17.346411084057763,0.050581468119613664,1.0380197776549416,2.439841485308124
black-friday,regression,0,0.4911626279354095,0.4888080060482025,0.6999329553216853,0.6982531842341047,34.03289713407867,45.891068486031145,0.00479397607489921,0.23999028404208345,1.3484326152203587
black-friday,regression,1,0.4864800274372101,0.4879966676235199,0.6965884738200359,0.6976734375964284,47.37103127990849,45.24269519094378,-0.003117579552647857,-0.15575390882405798,0.955070936151069
black-friday,regression,2,0.4884353578090668,0.4890290200710296,0.6979869734359028,0.6984109939000334,44.85493415594101,45.15171420783736,-0.0012154367051267045,-0.06074905123849431,1.0066164415906749
california,regression,0,0.1721279770135879,0.1651715785264969,0.4815092712439011,0.4716790728292608,6.347338530933484,7.531923122005537,0.04041410703700925,2.041538761911179,1.1866269752746021
california,regression,1,0.1610550135374069,0.1621111035346985,0.4657641646264459,0.4672887470973315,7.830168473068625,7.642662764992565,-0.006557324569385749,-0.32732927663259725,0.9760534260889822
california,regression,2,0.1663854271173477,0.168059304356575,0.4734090751307782,0.4757844256727281,7.909832913894206,7.364829167956486,-0.010060239458632256,-0.5017543318732837,0.931097944562093
churn,binclass,0,0.3645750599546512,0.3564698814467129,0.8525,0.8555,4.025659064063802,3.878939173882827,0.02223185126526904,0.30000000000000027,0.9635538211641635
churn,binclass,1,0.3612446231899707,0.3540310205036844,0.85,0.8595,4.067716250894591,4.020372702972964,0.019968747555566563,0.9500000000000064,0.9883611478772112
churn,binclass,2,0.363435590681074,0.3544589668773208,0.854,0.8575,3.833285267930478,3.5126906549558043,0.024699352605866434,0.35000000000000586,0.9163655740268564
diamond,regression,0,0.0201595444232225,0.0208618305623531,0.1416503244077436,0.1440964980836261,18.308633986860517,20.9382168459706,-0.03483640921575642,-1.7269100414066962,1.1436252896309602
diamond,regression,1,0.0198487825691699,0.0219406187534332,0.1405543056384672,0.1477752357420856,20.709797729970887,15.007501885993406,-0.10538863917590799,-5.137466312979435,0.7246570962049904
diamond,regression,2,0.0245790798217058,0.0228670500218868,0.1564083867583559,0.1508628374330234,12.423241762910038,14.429213699884713,0.06965394197984194,3.545557524290641,1.161469282757063
higgs-small,binclass,0,0.5432322480725348,0.5411119560746189,0.7215196328403876,0.7218255991840897,39.00580584583804,43.238100424874574,0.0039031040690955935,0.03059663437021687,1.1085042210322165
higgs-small,binclass,1,0.5396704624208105,0.5402652160015782,0.7229474757776645,0.7227944926058134,40.18053681985475,41.14447413710877,-0.0011020680622388739,-0.015298317185108434,1.023990155272831
higgs-small,binclass,2,0.539578550971868,0.5412252568355077,0.7224885262621111,0.7217746047934727,35.40472479700111,35.55833842721768,-0.003051837143403315,-0.07139214686384676,1.004338788992072
house,regression,0,0.3968285918235779,0.3874489068984985,32826.815944152186,32436.538596740924,7.983833396807313,7.636120698880404,0.02363661570346076,1.1888979670621587,0.9564479015724505
house,regression,1,0.3898211121559143,0.3832269012928009,32535.686579699395,32259.32644738117,8.166937974980101,7.88650364195928,0.0169159921242951,0.8494061794001333,0.9656622428283467
house,regression,2,0.3935217559337616,0.3862386643886566,32689.755606317893,32385.83866485185,8.745283049996942,8.763659591088071,0.018507468609514147,0.9297008675320451,1.0021013088983022
microsoft,regression,0,0.839435875415802,0.836913526058197,0.7547294508860318,0.7535947108323278,39.154720379039645,40.45613335398957,0.0030048148184702883,0.15035057295987458,1.033237703202871
microsoft,regression,1,0.8388155698776245,0.8344894647598267,0.7544505653551141,0.7525025401017409,44.335252054966986,56.09934932086617,0.005157397255309639,0.25820449249134175,1.265344093483759
microsoft,regression,2,0.8422384262084961,0.834500789642334,0.7559883146408204,0.7525076464565323,40.4851501728408,51.8452166269999,0.009186990673169141,0.4604129610047953,1.280598352869145
