order,seed,key,n_bins,min_samples_leaf,min_impurity_decrease,total_tree_bins,val_log_loss,val_auc,val_accuracy
0,0,b32_leaf32_gain0,32,32,0.0,145,0.28816621467022846,0.9243274230824786,0.8653462306156917
1,0,b32_leaf64_gain1e-05,32,64,1e-05,111,0.2965801815899149,0.9196061007820723,0.8615077537233226
2,0,b32_leaf256_gain0.0001,32,256,0.0001,38,0.30010420295468987,0.9172438919956255,0.8587440503608168
3,0,b64_leaf32_gain0,64,32,0.0,222,0.28988332311129894,0.9229145601617793,0.8665745432212498
4,0,b64_leaf64_gain1e-05,64,64,1e-05,143,0.2968848136201875,0.9194814515796208,0.8599723629663749
5,0,b64_leaf256_gain0.0001,64,256,0.0001,38,0.30010420295468987,0.9172438919956255,0.8587440503608168
6,0,b128_leaf32_gain0,128,32,0.0,286,0.29288837174048804,0.9200589133530055,0.8595117457392907
7,0,b128_leaf64_gain1e-05,128,64,1e-05,207,0.29720436793329724,0.9188214492065785,0.8595117457392907
8,0,b128_leaf256_gain0.0001,128,256,0.0001,38,0.30010420295468987,0.9172438919956255,0.8587440503608168
0,1,b32_leaf32_gain0,32,32,0.0,145,0.2863569462939709,0.9240835414044284,0.8670351604483341
1,1,b32_leaf64_gain1e-05,32,64,1e-05,111,0.29478507412884813,0.920965570252368,0.8661139259941655
2,1,b32_leaf256_gain0.0001,32,256,0.0001,38,0.30136487843560333,0.9162790697674419,0.8602794411177644
3,1,b64_leaf32_gain0,64,32,0.0,222,0.28805724038044517,0.9231967458368585,0.8659603869184708
4,1,b64_leaf64_gain1e-05,64,64,1e-05,143,0.29806627430770244,0.9191407781515033,0.8613542146476278
5,1,b64_leaf256_gain0.0001,64,256,0.0001,38,0.30136487843560333,0.9162790697674419,0.8602794411177644
6,1,b128_leaf32_gain0,128,32,0.0,286,0.29211241380549857,0.9202590743071748,0.8639643789344388
7,1,b128_leaf64_gain1e-05,128,64,1e-05,207,0.29911732585725176,0.9179056354594415,0.8587440503608168
8,1,b128_leaf256_gain0.0001,128,256,0.0001,38,0.30136487843560333,0.9162790697674419,0.8602794411177644
