system,family,seed,part,accuracy,auc,log_loss,brier,input_features,parameters
Q-PLE,qple,0,val,0.8601259020420697,0.9183205309424075,0.296582106313928,0.09560397772565571,350,1319425
Q-PLE,qple,0,test,0.8616792580308335,0.914268967220289,0.2996808489250813,0.09551598715391882,350,1319425
Q-PLE,qple,1,val,0.8596652848149854,0.9179296238212171,0.29718951202055305,0.09586306564514717,350,1319425
Q-PLE,qple,1,test,0.860573674835698,0.9131855905518891,0.3031168455831833,0.09647821439762733,350,1319425
Q-PLE,qple,2,val,0.8576692768309535,0.9175719908792638,0.29765126049673374,0.09616056495166518,350,1319425
Q-PLE,qple,2,test,0.8583010871568085,0.9139680368075199,0.30145073342685125,0.09592524661736815,350,1319425
Q-PLE,qple,3,val,0.8576692768309535,0.9188627195064073,0.29616718397271985,0.09605235920858249,350,1319425
Q-PLE,qple,3,test,0.858731036177139,0.9136239490592893,0.30342355296091444,0.09687003368700448,350,1319425
Q-PLE + full identity,qple_full_identity,0,val,0.8704130201136189,0.9301656228720002,0.2764838107678833,0.08921163531011514,647,1320100
Q-PLE + full identity,qple_full_identity,0,test,0.8692954978195443,0.9249635807708143,0.28485389315145976,0.09005362829780238,647,1320100
Q-PLE + full identity,qple_full_identity,1,val,0.8705665591893137,0.9298722168341553,0.2769388775884123,0.08910027455853764,647,1320100
Q-PLE + full identity,qple_full_identity,1,test,0.8704625023032984,0.9264111915501952,0.2794312609957775,0.08929451714989958,647,1320100
Q-PLE + full identity,qple_full_identity,2,val,0.8679563949025026,0.9294934328635397,0.27710091413053667,0.08955801958854391,647,1320100
Q-PLE + full identity,qple_full_identity,2,test,0.8726122474049506,0.9269126655697512,0.27658558057825944,0.08828204746721323,647,1320100
Q-PLE + full identity,qple_full_identity,3,val,0.8696453247351451,0.9297001712717443,0.27532310172797203,0.08878002614109962,647,1320100
Q-PLE + full identity,qple_full_identity,3,test,0.873042196425281,0.9271594297627956,0.2771280427248655,0.08808993862776533,647,1320100
