contrast,part,mean_member_log_loss_delta,mean_member_auc_delta_pp,ensemble_accuracy_delta_pp,ensemble_auc_delta_pp,ensemble_log_loss_delta
full identity over Q-PLE,val,-0.020435839647282572,1.1636644673035934,0.8905266390296318,1.0967195270423669,-0.021161211453826934
full identity over Q-PLE,test,-0.02241830086141705,1.2600081003642294,1.1731466126159384,1.2349772639880352,-0.023674205353426958
T-PLE over Q-PLE,val,-0.009402025170391848,0.5669185014754108,0.49132504222324513,0.5092626029178038,-0.009066576829085404
T-PLE over Q-PLE,test,-0.007646626968218273,0.4382819261302795,0.5159388243965446,0.395598453612489,-0.0076056503831222755
full identity over T-PLE,val,-0.012743564756234893,0.6845710984090259,0.7062797481959149,0.6361429809537467,-0.011403923459203047
full identity over T-PLE,test,-0.0168154468784244,0.8594415348789242,0.7800503654566637,0.8308498001359244,-0.015760845827629155
atom-only indicators over Q-PLE,val,-0.00010426876807256846,0.0336514155712786,-0.06141563027790564,0.03409958523348244,-0.00040051213022185284
atom-only indicators over Q-PLE,test,-3.802412635489638e-05,-0.005449815901770183,0.06142128861863494,0.011675899283691837,-0.0005559304741857285
atom-bracketing over Q-PLE,val,0.0001863666792621954,0.026983682755199467,0.10747735298634042,0.0667805039103464,-0.0007711764771480834
atom-bracketing over Q-PLE,test,0.00014994538632939758,-0.036466275699675865,0.3071064430931747,0.022076315300334493,-0.0008293639978246836
