system,family,part,accuracy,auc,log_loss,brier
Q-PLE,qple,val,0.8602794411177644,0.9198922845174471,0.29331043914692473,0.09471448934683901
Q-PLE,qple,test,0.8606965174129353,0.9155150934626044,0.29813209562657184,0.094991872882783
Q-PLE + full identity,qple_full_identity,val,0.8691847075080608,0.9308594797878708,0.2721492276930978,0.08806113807466034
Q-PLE + full identity,qple_full_identity,test,0.8724279835390947,0.9278648661024848,0.2744578902731449,0.08778243610472812
T-PLE,tple,val,0.8651926915399969,0.9249849105466251,0.2842438623178393,0.09135797462154387
T-PLE,tple,test,0.8658559056569007,0.9194710779987293,0.29052644524344956,0.09259603645213323
T-PLE + full identity,tple_full_identity,val,0.872255489021956,0.9313463403561626,0.2728399388586363,0.08800188916563162
T-PLE + full identity,tple_full_identity,test,0.8736564093114674,0.9277795760000885,0.2747655994158204,0.08768212978716065
Q-PLE + atom-only indicators,qple_atom_identity,val,0.8596652848149854,0.9202332803697819,0.2929099270167029,0.0946743285898627
Q-PLE + atom-only indicators,qple_atom_identity,test,0.8613107302991216,0.9156318524554413,0.2975761651523861,0.09506108142433865
Atom-bracketed Q-PLE,atom_bracketed_ple,val,0.8613542146476278,0.9205600895565506,0.29253926266977665,0.09450079389594555
Atom-bracketed Q-PLE,atom_bracketed_ple,test,0.863767581843867,0.9157358566156077,0.29730273162874715,0.09485300716039821
