order,key,n_bins,min_samples_leaf,min_impurity_decrease,total_tree_bins,val_log_loss,val_auc,val_accuracy
0,b32_leaf32_gain0,32,32,0.0,145,0.2872615804820997,0.9242054822434536,0.8661906955320129
3,b64_leaf32_gain0,64,32,0.0,222,0.288970281745872,0.9230556529993189,0.8662674650698603
6,b128_leaf32_gain0,128,32,0.0,286,0.29250039277299333,0.9201589938300901,0.8617380623368647
1,b32_leaf64_gain1e-05,32,64,1e-05,111,0.2956826278593815,0.9202858355172201,0.8638108398587441
4,b64_leaf64_gain1e-05,64,64,1e-05,143,0.29747554396394493,0.919311114865562,0.8606632888070014
7,b128_leaf64_gain1e-05,128,64,1e-05,207,0.2981608468952745,0.91836354233301,0.8591278980500537
2,b32_leaf256_gain0.0001,32,256,0.0001,38,0.3007345406951466,0.9167614808815336,0.8595117457392907
5,b64_leaf256_gain0.0001,64,256,0.0001,38,0.3007345406951466,0.9167614808815336,0.8595117457392907
8,b128_leaf256_gain0.0001,128,256,0.0001,38,0.3007345406951466,0.9167614808815336,0.8595117457392907
